cell_id,zone_id,zone_name,latitude,longitude,population,rainfall_mm_day,flood_index,flood_severity,affected_rate,affected_population,evacuation_priority
Z01-032,Z01,North Chennai,13.093992682491832,80.31014277514147,12533,10.9,1.345,High,0.041731707290293185,523,2-High
Z01-033,Z01,North Chennai,13.114595124893734,80.28220507928374,4867,7.8,0.945,Moderate,0.030705330342183035,149,3-Medium
Z01-034,Z01,North Chennai,13.13249464623089,80.28477817508589,9951,2.8,0.306,Low,0.013327763426826574,133,4-Low
Z01-035,Z01,North Chennai,13.129088609965647,80.30112462578649,10525,10.2,1.152,High,0.032193124406030775,339,2-High
Z01-036,Z01,North Chennai,13.12215033851945,80.26311496074656,14817,11.6,1.294,High,0.023761499142485078,352,2-High
Z01-037,Z01,North Chennai,13.139443604107651,80.335100312017,12024,8.6,1.096,High,0.040674511089515225,489,3-Medium
Z01-038,Z01,North Chennai,13.10986151619367,80.29097703945132,11131,8.7,1.074,High,0.034175656478345647,380,3-Medium
Z01-039,Z01,North Chennai,13.11143909156102,80.29201251050551,9230,2.3,0.291,Low,0.005,46,4-Low
Z01-040,Z01,North Chennai,13.131111922225312,80.28775362526545,9168,15.9,1.683,Severe,0.040048107359132876,367,1-Critical
Z01-041,Z01,North Chennai,13.091040425562879,80.29003711726841,12527,21.0,2.744,Severe,0.06313360447793576,791,1-Critical
Z01-042,Z01,North Chennai,13.077258246596005,80.25776859371373,10198,11.4,1.453,Severe,0.04405730030765026,449,2-High
Z01-043,Z01,North Chennai,13.125752003470774,80.31502342362538,9591,9.5,1.193,High,0.028003684810134283,269,2-High
Z01-044,Z01,North Chennai,13.106437782272131,80.30071873330813,12203,14.8,1.454,Severe,0.039482607480531784,482,2-High
Z01-045,Z01,North Chennai,13.13130438053782,80.23993820803798,10666,18.8,2.289,Severe,0.05442243065457444,580,1-Critical
Z01-046,Z01,North Chennai,13.128522284613894,80.23824205696795,11369,8.4,0.884,Moderate,0.028675145598160163,326,3-Medium
Z01-047,Z01,North Chennai,13.117187661697104,80.315151137751,7894,10.6,1.215,High,0.03288958460199511,260,2-High
Z01-048,Z01,North Chennai,13.10205550969146,80.30582555853086,10076,8.1,1.064,High,0.027165931963524168,274,3-Medium
Z01-049,Z01,North Chennai,13.148879074910186,80.29107263003159,8420,14.2,1.486,Severe,0.029928149564716993,252,2-High
Z01-050,Z01,North Chennai,13.120354303316738,80.27800496191595,7394,2.9,0.301,Low,0.01717177570376182,127,4-Low
Z01-051,Z01,North Chennai,13.147385298948727,80.32980123166178,10483,3.4,0.352,Low,0.009127501467695056,96,4-Low
Z01-052,Z01,North Chennai,13.12225083580496,80.29236029738534,8829,8.2,0.87,Moderate,0.024796302254526333,219,3-Medium
Z01-053,Z01,North Chennai,13.10871631231659,80.24802862945718,7300,15.5,1.92,Severe,0.04643485661260014,339,1-Critical
Z01-054,Z01,North Chennai,13.108601016559572,80.3016544998264,9721,3.4,0.434,Low,0.029042816136226404,282,4-Low
Z01-055,Z01,North Chennai,13.075537386257144,80.28751096674065,14128,11.7,1.509,Severe,0.038216901965977566,540,1-Critical
Z01-056,Z01,North Chennai,13.11880589586986,80.27564052234747,7133,2.9,0.344,Low,0.01423319694822111,102,4-Low
Z01-057,Z01,North Chennai,13.1103465788561,80.27794964275995,7756,3.1,0.386,Low,0.022056767364888034,171,4-Low
Z01-058,Z01,North Chennai,13.138534018472429,80.28053063907883,12290,9.3,1.093,High,0.030100034515620433,370,3-Medium
Z01-059,Z01,North Chennai,13.120235622317177,80.26516817005579,8770,3.5,0.431,Low,0.01958338567652088,172,4-Low
Z01-060,Z01,North Chennai,13.128712752985727,80.27273511669209,10265,10.3,1.24,High,0.04535833606331145,466,2-High
Z01-061,Z01,North Chennai,13.12785065070048,80.25015221299849,10654,7.7,0.94,Moderate,0.03198299406324556,341,3-Medium
Z01-062,Z01,North Chennai,13.112996052312935,80.29643136539711,14800,8.4,1.018,High,0.035442278511280165,525,3-Medium
Z01-063,Z01,North Chennai,13.082097053498615,80.29300561756544,11354,2.4,0.261,Low,0.005,57,4-Low
Z01-064,Z01,North Chennai,13.147581672325849,80.30679417537087,12608,16.8,1.975,Severe,0.04150586305721482,523,1-Critical
Z01-065,Z01,North Chennai,13.119262651999488,80.27490075781841,8497,3.3,0.375,Low,0.024829170797065023,211,4-Low
Z01-066,Z01,North Chennai,13.109557666577139,80.26062779042608,11650,18.3,1.966,Severe,0.05364524770789254,625,1-Critical
Z01-067,Z01,North Chennai,13.09556661895119,80.28236143131755,9099,10.1,1.308,High,0.01683479543704718,153,2-High
Z01-068,Z01,North Chennai,13.094222708958311,80.28736340961929,14852,3.4,0.396,Low,0.013269627870755155,197,4-Low
Z01-069,Z01,North Chennai,13.122682945040046,80.3015878672311,12018,2.9,0.339,Low,0.01015945541635829,122,4-Low
Z01-070,Z01,North Chennai,13.102433976061247,80.27343325778051,11101,9.6,1.08,High,0.03680136659794495,409,3-Medium
Z01-071,Z01,North Chennai,13.137796791951056,80.2906265166996,9001,2.8,0.283,Low,0.012580521897666126,113,4-Low
Z01-072,Z01,North Chennai,13.101539344776786,80.30297591557755,15551,2.7,0.309,Low,0.01559751048231363,243,4-Low
Z01-073,Z01,North Chennai,13.109428566612872,80.31696344019646,18974,9.1,1.076,High,0.02152092697864037,408,3-Medium
Z01-074,Z01,North Chennai,13.081789867240422,80.27349367193591,8937,10.9,1.118,High,0.03390200765059827,303,3-Medium
Z01-075,Z01,North Chennai,13.123084539987904,80.2754338897171,9692,9.0,1.104,High,0.03771903311763676,366,3-Medium
Z01-076,Z01,North Chennai,13.125075505191914,80.290119553854,9190,2.9,0.377,Low,0.01666507353433939,153,4-Low
Z01-077,Z01,North Chennai,13.133496101888863,80.27862862362265,8630,8.3,0.859,Moderate,0.023611657305139123,204,3-Medium
Z01-078,Z01,North Chennai,13.113463163447175,80.27149183071676,9701,2.8,0.306,Low,0.011554930972507472,112,4-Low
Z01-079,Z01,North Chennai,13.112533105090023,80.28695463704693,10643,10.4,1.337,High,0.034984944709466205,372,2-High
Z01-080,Z01,North Chennai,13.101443500104256,80.28515063029107,7455,11.3,1.226,High,0.03087070062137036,230,2-High
Z01-081,Z01,North Chennai,13.106484362631877,80.2998514999249,7214,15.9,2.003,Severe,0.040166625574056286,290,1-Critical
Z01-082,Z01,North Chennai,13.12511508847743,80.2791875435923,8177,18.7,2.35,Severe,0.063987483453763,523,1-Critical
Z01-083,Z01,North Chennai,13.137933430692781,80.3017542097372,7588,15.9,1.816,Severe,0.04083399063629089,310,1-Critical
Z01-084,Z01,North Chennai,13.102815936188295,80.28360844063985,10181,11.0,1.178,High,0.030931652575044707,315,2-High
Z01-085,Z01,North Chennai,13.135503048702867,80.27783921983088,9179,9.0,0.927,Moderate,0.024083771194693078,221,3-Medium
Z01-086,Z01,North Chennai,13.124457239273719,80.28111458098569,12167,3.3,0.38,Low,0.029648897061847992,361,4-Low
Z01-087,Z01,North Chennai,13.121179056661626,80.28138230466595,12615,2.7,0.337,Low,0.024808444062630726,313,4-Low
Z01-088,Z01,North Chennai,13.11853720049128,80.26315833911133,10693,2.7,0.329,Low,0.0071277780128635275,76,4-Low
Z01-089,Z01,North Chennai,13.092074141755129,80.29756668634381,9383,7.7,0.898,Moderate,0.03621882066371459,340,3-Medium
Z01-090,Z01,North Chennai,13.087790366223242,80.31905641791265,8629,3.5,0.359,Low,0.020641399499586988,178,4-Low
Z01-091,Z01,North Chennai,13.093943460142368,80.235101563109,11075,2.8,0.29,Low,0.02146712122508309,238,4-Low
Z01-092,Z01,North Chennai,13.1474484781046,80.30033402905538,11816,9.6,1.001,High,0.034766114612444464,411,3-Medium
Z01-093,Z01,North Chennai,13.116415872540806,80.28371283375898,9396,3.3,0.341,Low,0.015386860256668067,145,4-Low
Z01-094,Z01,North Chennai,13.118318162635942,80.26194365767284,11555,2.5,0.316,Low,0.005,58,4-Low
Z01-095,Z01,North Chennai,13.126738365321165,80.25596363291613,8717,2.3,0.252,Low,0.005803148077897988,51,4-Low
Z01-096,Z01,North Chennai,13.11019387416725,80.29295361643175,7025,7.8,0.997,Moderate,0.02542834947689476,179,3-Medium
Z01-097,Z01,North Chennai,13.12876171020992,80.2804813780695,10848,10.8,1.42,Severe,0.024235296058950303,263,2-High
Z01-098,Z01,North Chennai,13.133657493994582,80.30249983857749,16142,21.7,2.4,Severe,0.06015948982243178,971,1-Critical
Z01-099,Z01,North Chennai,13.11802719036933,80.27391653875499,7562,8.7,1.144,High,0.028132201908470378,213,3-Medium
Z01-100,Z01,North Chennai,13.119621097420463,80.29292255450679,11553,11.4,1.476,Severe,0.03477456341105663,402,2-High
Z02-001,Z02,Central Chennai,13.09376640630886,80.23213342064281,13884,9.8,1.049,High,0.036134499028113234,502,3-Medium
Z02-002,Z02,Central Chennai,13.1107298287315,80.24560984431375,10164,2.6,0.269,Low,0.020074353976191568,204,4-Low
Z02-003,Z02,Central Chennai,13.099126032475883,80.27507248494706,8082,3.5,0.365,Low,0.01643890206169588,133,4-Low
Z02-004,Z02,Central Chennai,13.063300639818806,80.27526126522345,9639,2.7,0.301,Low,0.029051263246364017,280,4-Low
Z02-005,Z02,Central Chennai,13.082044679925819,80.25917080463707,8681,7.8,0.728,Moderate,0.016083111122027923,140,4-Low
Z02-006,Z02,Central Chennai,13.096494930118114,80.25141978922098,11205,2.6,0.227,Low,0.005021104667955053,56,4-Low
Z02-007,Z02,Central Chennai,13.074639044272674,80.25732963083809,10893,10.2,1.13,High,0.03788900310770178,413,3-Medium
Z02-008,Z02,Central Chennai,13.037124154194505,80.26313992635359,8594,11.3,1.24,High,0.0314802886245512,271,2-High
Z02-009,Z02,Central Chennai,13.101265614444282,80.26787289231096,7395,3.4,0.308,Low,0.020997882382216594,155,4-Low
Z02-010,Z02,Central Chennai,13.068040884234659,80.2666484295479,8585,9.1,0.859,Moderate,0.03228163424061588,277,3-Medium
Z02-011,Z02,Central Chennai,13.08156525691827,80.26705125852251,7904,3.0,0.297,Low,0.006094647073470299,48,4-Low
Z02-012,Z02,Central Chennai,13.085022228174857,80.23259212756062,12341,21.4,2.234,Severe,0.03893701626425007,481,1-Critical
Z02-013,Z02,Central Chennai,13.087205952937982,80.26335771101043,8178,2.7,0.263,Low,0.025649572153342237,210,4-Low
Z02-014,Z02,Central Chennai,13.080638622597215,80.25877901417911,10978,11.9,1.157,High,0.03802058804853164,417,2-High
Z02-015,Z02,Central Chennai,13.086308537921921,80.2429738630831,8268,3.2,0.319,Low,0.005,41,4-Low
Z02-016,Z02,Central Chennai,13.07473388433423,80.30008031460024,10511,16.7,1.562,Severe,0.04544088234145311,478,1-Critical
Z02-017,Z02,Central Chennai,13.100327083903949,80.27597689672596,12519,10.3,0.895,Moderate,0.030607542913828424,383,3-Medium
Z02-018,Z02,Central Chennai,13.065711875169852,80.27710670616996,15908,11.4,0.987,Moderate,0.03502999045363825,557,3-Medium
Z02-019,Z02,Central Chennai,13.05642513074325,80.24258982728055,8963,10.2,1.165,High,0.02939682599448166,263,2-High
Z02-020,Z02,Central Chennai,13.052040293332043,80.27898131623485,8239,2.7,0.271,Low,0.012390038645014015,102,4-Low
Z02-021,Z02,Central Chennai,13.10998123487569,80.26903867221638,10262,2.8,0.258,Low,0.025182511208239614,258,4-Low
Z02-022,Z02,Central Chennai,13.076569240954727,80.26983628716911,11517,8.1,0.899,Moderate,0.02493148937927903,287,3-Medium
Z02-023,Z02,Central Chennai,13.073374216989567,80.26482139163868,9345,3.5,0.362,Low,0.0205745703292422,192,4-Low
Z02-024,Z02,Central Chennai,13.077606985156043,80.29223033228303,10435,10.1,1.093,High,0.02629520417699607,274,3-Medium
Z02-025,Z02,Central Chennai,13.054865243625372,80.26908846255938,10368,2.9,0.248,Low,0.016967610371408176,176,4-Low
Z02-026,Z02,Central Chennai,13.036755138693707,80.27700816577305,5135,3.5,0.341,Low,0.017806056732377274,91,4-Low
Z02-027,Z02,Central Chennai,13.09248682441677,80.29681858313127,14797,8.1,0.921,Moderate,0.018074435893912846,267,3-Medium
Z02-028,Z02,Central Chennai,13.11253390990362,80.25357929092357,10595,16.6,1.669,Severe,0.04289206049333574,454,1-Critical
Z02-029,Z02,Central Chennai,13.086232431670808,80.25869224134044,9865,3.1,0.323,Low,0.013284930571606499,131,4-Low
Z02-030,Z02,Central Chennai,13.062490099492267,80.25834187611548,10389,11.2,0.98,Moderate,0.021783766257418145,226,3-Medium
Z02-031,Z02,Central Chennai,13.069813611183903,80.28214401392667,8548,10.1,0.956,Moderate,0.029584784119867712,253,3-Medium
Z02-032,Z02,Central Chennai,13.106821379665536,80.26781556187196,7834,8.3,0.775,Moderate,0.028222380311939077,221,3-Medium
Z02-033,Z02,Central Chennai,13.062652870111895,80.25491053886637,10926,2.5,0.255,Low,0.01603082492907856,175,4-Low
Z02-034,Z02,Central Chennai,13.078856633576125,80.29419867322115,9936,10.0,0.886,Moderate,0.02201488598134856,219,3-Medium
Z02-035,Z02,Central Chennai,13.08974866871079,80.27251058824488,8327,8.0,0.863,Moderate,0.021000821968113922,175,3-Medium
Z02-036,Z02,Central Chennai,13.078315251203435,80.29915666049617,7520,18.3,1.69,Severe,0.04089711139877829,308,1-Critical
Z02-037,Z02,Central Chennai,13.051304198491746,80.25078036292993,5386,11.8,1.16,High,0.032420291635541706,175,2-High
Z02-038,Z02,Central Chennai,13.042742710174222,80.2920209029945,7027,11.2,0.999,Moderate,0.033169982716672826,233,3-Medium
Z02-039,Z02,Central Chennai,13.081383655825672,80.28788947307012,10295,2.8,0.285,Low,0.014371488464145425,148,4-Low
Z02-040,Z02,Central Chennai,13.046054330260231,80.2703618725937,8890,8.2,0.839,Moderate,0.034546355164612415,307,3-Medium
Z02-041,Z02,Central Chennai,13.065545298134337,80.30476989740552,8229,10.6,1.068,High,0.027937960934547618,230,3-Medium
Z02-042,Z02,Central Chennai,13.072350069559292,80.28211090547275,5634,15.7,1.787,Severe,0.036358962738319685,205,1-Critical
Z02-043,Z02,Central Chennai,13.076270196279701,80.26774224880319,8869,8.6,0.98,Moderate,0.02410121141723641,214,3-Medium
Z02-044,Z02,Central Chennai,13.02752537573175,80.27885805987387,8673,10.6,0.958,Moderate,0.023576429393911212,204,3-Medium
Z02-045,Z02,Central Chennai,13.060770731886809,80.2818101476048,9296,15.0,1.352,Severe,0.022732750756797614,211,2-High
Z02-046,Z02,Central Chennai,13.074924323563875,80.27675487546333,12711,17.9,1.768,Severe,0.037556305488711215,477,1-Critical
Z02-047,Z02,Central Chennai,13.086615118716438,80.27498197248185,7437,8.5,0.926,Moderate,0.03212508370462763,239,3-Medium
Z02-048,Z02,Central Chennai,13.037040700943809,80.29490086088416,9122,3.0,0.297,Low,0.01855142645421224,169,4-Low
Z02-049,Z02,Central Chennai,13.054263325609051,80.28536535040202,8856,2.4,0.229,Low,0.021776114239458248,193,4-Low
Z02-050,Z02,Central Chennai,13.073498923965182,80.23203315834783,8435,11.7,1.274,High,0.025134511809266485,212,2-High
Z02-051,Z02,Central Chennai,13.085647413833271,80.26131968913819,9003,3.3,0.369,Low,0.023683269742691887,213,4-Low
Z02-052,Z02,Central Chennai,13.073959360275486,80.27492276523404,14587,9.0,0.962,Moderate,0.038354839309258426,559,3-Medium
Z02-053,Z02,Central Chennai,13.088080450850015,80.3012508840639,8078,8.9,0.95,Moderate,0.022979951560734103,186,3-Medium
Z02-054,Z02,Central Chennai,13.10303205693757,80.30118909417601,8513,2.6,0.25,Low,0.012647940720253551,108,4-Low
Z02-055,Z02,Central Chennai,13.054533400303416,80.28700950616725,7577,19.1,2.171,Severe,0.049398206332578326,374,1-Critical
Z02-056,Z02,Central Chennai,13.104485666692575,80.25092901149452,9891,19.0,1.783,Severe,0.04005700141228842,396,1-Critical
Z02-057,Z02,Central Chennai,13.06033777138476,80.29916476229644,9171,9.2,0.99,Moderate,0.02644296185384336,243,3-Medium
Z02-058,Z02,Central Chennai,13.097710785780828,80.26927275665368,10699,11.4,1.025,High,0.03227453829624233,345,3-Medium
Z02-059,Z02,Central Chennai,13.073142095788397,80.29208653229986,10329,7.7,0.85,Moderate,0.023657201194165436,244,3-Medium
Z02-060,Z02,Central Chennai,13.076504100422042,80.25294869331294,9833,8.8,0.901,Moderate,0.019060284344367916,187,3-Medium
Z02-061,Z02,Central Chennai,13.0558484130333,80.27970900829467,7761,11.4,1.133,High,0.04272217045264252,332,3-Medium
Z02-062,Z02,Central Chennai,13.099181568130774,80.2521075609402,12275,11.2,1.111,High,0.027955230283216566,343,3-Medium
Z02-063,Z02,Central Chennai,13.090659496853633,80.22405535804344,11843,17.9,1.973,Severe,0.04188662046946729,496,1-Critical
Z02-064,Z02,Central Chennai,13.079543995111612,80.28195752011595,7585,16.4,1.634,Severe,0.036550257035179515,277,1-Critical
Z02-065,Z02,Central Chennai,13.087806839513663,80.27187601460346,13765,11.6,1.296,High,0.027757860505777623,382,2-High
Z02-066,Z02,Central Chennai,13.084775629464067,80.2756065722407,15436,2.3,0.245,Low,0.015793129379067357,244,4-Low
Z02-067,Z02,Central Chennai,13.045871897827057,80.24018038795899,9073,9.5,1.074,High,0.02039395652069626,185,3-Medium
Z02-068,Z02,Central Chennai,13.088569527321507,80.30870263649294,8379,11.1,1.254,High,0.037370107234136016,313,2-High
Z02-069,Z02,Central Chennai,13.07959253804526,80.30631586864408,11440,8.9,0.792,Moderate,0.034663497148650496,397,3-Medium
Z02-070,Z02,Central Chennai,13.083052991514565,80.32437458407195,8451,9.5,0.862,Moderate,0.015457384343826652,131,3-Medium
Z02-071,Z02,Central Chennai,13.064432845475839,80.28066734934083,9288,15.9,1.368,Severe,0.027560697601275292,256,2-High
Z02-072,Z02,Central Chennai,13.069640764490362,80.2779815311781,9585,11.3,1.124,High,0.02075860031438045,199,3-Medium
Z02-073,Z02,Central Chennai,13.089068348660748,80.29678665059741,7493,10.3,1.026,High,0.03127197130269884,234,3-Medium
Z02-074,Z02,Central Chennai,13.089020474427489,80.2743113511988,8062,8.2,0.733,Moderate,0.015697278470029878,127,4-Low
Z02-075,Z02,Central Chennai,13.090692574858075,80.26553742996703,14972,19.7,1.743,Severe,0.04091116314796257,613,1-Critical
Z02-076,Z02,Central Chennai,13.06670812749129,80.26380017097839,8150,3.4,0.349,Low,0.01021441442324976,83,4-Low
Z02-077,Z02,Central Chennai,13.086498322773862,80.24309498396607,8493,14.9,1.521,Severe,0.02971959584240705,252,1-Critical
Z02-078,Z02,Central Chennai,13.074414318464651,80.25223915297455,13039,19.0,1.854,Severe,0.04132596432835256,539,1-Critical
Z02-079,Z02,Central Chennai,13.0581750247008,80.25476874911433,11243,11.7,1.207,High,0.025732018911338292,289,2-High
Z02-080,Z02,Central Chennai,13.072423782246451,80.30020974348515,10328,8.2,0.721,Moderate,0.033133089181944506,342,4-Low
Z02-081,Z02,Central Chennai,13.0854553550675,80.27752555704662,7984,10.2,0.964,Moderate,0.018410778206690338,147,3-Medium
Z02-082,Z02,Central Chennai,13.088761632594704,80.28136733237639,12485,9.7,0.85,Moderate,0.034893233727120776,436,3-Medium
Z02-083,Z02,Central Chennai,13.0757627454667,80.24879785932197,11466,19.9,2.073,Severe,0.051258375532283414,588,1-Critical
Z02-084,Z02,Central Chennai,13.094824223706103,80.23853975132029,8945,2.6,0.26,Low,0.0222530733928669,199,4-Low
Z02-085,Z02,Central Chennai,13.08463833655048,80.2659393350888,10342,2.8,0.276,Low,0.016308668611890276,169,4-Low
Z02-086,Z02,Central Chennai,13.074579681455688,80.2857437534281,10591,10.4,1.117,High,0.024892852369411647,264,3-Medium
Z02-087,Z02,Central Chennai,13.09726823594152,80.24863462289574,13456,10.3,1.02,High,0.04104153150139353,552,3-Medium
Z02-088,Z02,Central Chennai,13.071925539607472,80.29698479588603,7358,21.4,2.28,Severe,0.056715053326286013,417,1-Critical
Z02-089,Z02,Central Chennai,13.045496803494906,80.24425767270921,8731,3.2,0.358,Low,0.010140199385101243,89,4-Low
Z02-090,Z02,Central Chennai,13.073919933324955,80.28744940681558,13557,11.4,1.006,High,0.028416438481782224,385,3-Medium
Z02-091,Z02,Central Chennai,13.048272350889363,80.24991850069915,10155,2.7,0.255,Low,0.0170337270192444,173,4-Low
Z02-092,Z02,Central Chennai,13.078989225934995,80.26439187864541,12239,7.8,0.674,Moderate,0.02372112500763988,290,4-Low
Z02-093,Z02,Central Chennai,13.056653321853318,80.25158177802975,10168,2.3,0.235,Low,0.016393739373210654,167,4-Low
Z02-094,Z02,Central Chennai,13.086381606623073,80.24777653052031,8673,11.2,1.226,High,0.035775621781636735,310,2-High
Z02-095,Z02,Central Chennai,13.067777323336442,80.26224189782936,7105,18.0,1.678,Severe,0.042896572102573735,305,1-Critical
Z02-096,Z02,Central Chennai,13.07994959927376,80.26123699327937,9498,11.0,0.994,Moderate,0.023396054583517366,222,3-Medium
Z02-097,Z02,Central Chennai,13.075426448467583,80.27374766478042,10700,2.5,0.252,Low,0.018837590122615037,202,4-Low
Z02-098,Z02,Central Chennai,13.08375123274394,80.29321257960815,10147,18.7,1.676,Severe,0.03912213655134494,397,1-Critical
Z02-099,Z02,Central Chennai,13.062727611404911,80.25935802895133,6344,19.0,1.67,Severe,0.03324740463325605,211,1-Critical
Z02-100,Z02,Central Chennai,13.061595531051701,80.23769029301648,10557,8.0,0.901,Moderate,0.024395303308983547,258,3-Medium
Z03-001,Z03,Adyar,12.999233010569963,80.25667035320352,7928,9.1,0.919,Moderate,0.028380108158922383,225,3-Medium
Z03-002,Z03,Adyar,13.000038844948207,80.2500915276785,9472,2.8,0.271,Low,0.01944903788767645,184,4-Low
Z03-003,Z03,Adyar,13.031327796091324,80.25573545211196,12047,3.1,0.373,Low,0.013843717117632255,167,4-Low
Z03-004,Z03,Adyar,13.010271317013576,80.25854683526033,7854,2.9,0.364,Low,0.024177740633404006,190,4-Low
Z03-005,Z03,Adyar,13.016379976401366,80.25469654871797,9297,3.3,0.317,Low,0.009999333578696899,93,4-Low
Z03-006,Z03,Adyar,12.994228796334914,80.23880240144027,6858,8.4,0.975,Moderate,0.017468610293941894,120,3-Medium
Z03-007,Z03,Adyar,13.025807511193312,80.22913115986046,8306,2.9,0.277,Low,0.03172543195433285,264,4-Low
Z03-008,Z03,Adyar,12.998811971065773,80.22643283585505,7813,9.8,1.115,High,0.026438800553672013,207,3-Medium
Z03-009,Z03,Adyar,13.030440707883791,80.25343964601892,11601,8.6,0.974,Moderate,0.03561138884537271,413,3-Medium
Z03-010,Z03,Adyar,12.986240921038224,80.26636068861248,6351,20.9,1.997,Severe,0.04718775304737377,300,1-Critical
Z03-011,Z03,Adyar,12.951546444662599,80.24858400560667,7302,16.2,1.526,Severe,0.04778937325161071,349,1-Critical
Z03-012,Z03,Adyar,13.013045167112189,80.2749735926371,9147,2.7,0.319,Low,0.015853244031431173,145,4-Low
Z03-013,Z03,Adyar,13.010377002957048,80.23692967789319,8255,2.8,0.345,Low,0.02825971155400144,233,4-Low
Z03-014,Z03,Adyar,13.029336446036694,80.24643419352529,14343,7.7,0.916,Moderate,0.030041403903311788,431,3-Medium
Z03-015,Z03,Adyar,12.992322493751642,80.25338274802512,7131,11.7,1.29,High,0.040284308659983475,287,2-High
Z03-016,Z03,Adyar,13.015135572849777,80.23229395203164,7930,14.4,1.564,Severe,0.04843676234554385,384,1-Critical
Z03-017,Z03,Adyar,13.022496166541304,80.25552561304438,6538,8.2,0.848,Moderate,0.025153137116974516,164,3-Medium
Z03-018,Z03,Adyar,13.00576672959899,80.24579169147844,12004,2.6,0.311,Low,0.005,60,4-Low
Z03-019,Z03,Adyar,12.971230868327346,80.25751852887016,9565,10.2,1.104,High,0.025547906016422876,244,3-Medium
Z03-020,Z03,Adyar,12.987140127873232,80.2332437362537,11559,10.7,1.063,High,0.020986039919546142,243,3-Medium
