fuel_id,name,zone_id,latitude,longitude,storage_capacity_litres,current_stock_litres,status
FUEL-023,Emergency Fuel Point 023,Z03,13.008964,80.249709,21743,18836,Open
FUEL-024,Emergency Fuel Point 024,Z04,12.997086,80.211354,11995,4433,Low Stock
FUEL-025,Emergency Fuel Point 025,Z05,13.019401,80.187199,22226,20591,Open
FUEL-026,Emergency Fuel Point 026,Z01,13.122504,80.280982,23157,18925,Open
FUEL-027,Emergency Fuel Point 027,Z02,13.089422,80.25322,15121,8550,Open
FUEL-028,Emergency Fuel Point 028,Z03,13.013611,80.267007,15818,14767,Low Stock
FUEL-029,Emergency Fuel Point 029,Z04,12.977051,80.2287,12251,9438,Low Stock
FUEL-030,Emergency Fuel Point 030,Z05,13.029821,80.175862,16839,11564,Open
FUEL-031,Emergency Fuel Point 031,Z01,13.115829,80.282945,8004,5070,Open
FUEL-032,Emergency Fuel Point 032,Z02,13.074883,80.27853,25581,9136,Priority Emergency
FUEL-033,Emergency Fuel Point 033,Z03,13.011147,80.251131,15785,9497,Low Stock
FUEL-034,Emergency Fuel Point 034,Z04,12.995249,80.224064,17439,11021,Open
FUEL-035,Emergency Fuel Point 035,Z05,13.020855,80.174967,11612,7671,Open
FUEL-036,Emergency Fuel Point 036,Z01,13.109986,80.297876,12609,6226,Priority Emergency
FUEL-037,Emergency Fuel Point 037,Z02,13.054369,80.241994,24149,19813,Open
FUEL-038,Emergency Fuel Point 038,Z03,13.009835,80.259174,15900,4317,Low Stock
FUEL-039,Emergency Fuel Point 039,Z04,12.969395,80.225625,19929,5914,Closed
FUEL-040,Emergency Fuel Point 040,Z05,13.024363,80.178308,13641,3984,Open
FUEL-041,Emergency Fuel Point 041,Z01,13.112154,80.293301,14588,9624,Low Stock
FUEL-042,Emergency Fuel Point 042,Z02,13.081351,80.264227,17025,4412,Priority Emergency
FUEL-043,Emergency Fuel Point 043,Z03,12.993327,80.246898,18848,14034,Open
FUEL-044,Emergency Fuel Point 044,Z04,13.007608,80.236817,26736,16256,Low Stock
FUEL-045,Emergency Fuel Point 045,Z05,13.02944,80.164449,9203,4415,Open
FUEL-046,Emergency Fuel Point 046,Z01,13.121419,80.29224,23918,16978,Low Stock
FUEL-047,Emergency Fuel Point 047,Z02,13.064135,80.274973,28131,24562,Open
FUEL-048,Emergency Fuel Point 048,Z03,13.008596,80.265951,20643,12426,Open
FUEL-049,Emergency Fuel Point 049,Z04,12.976506,80.23333,13263,11941,Priority Emergency
FUEL-050,Emergency Fuel Point 050,Z05,13.017703,80.17578,27045,14738,Low Stock
FUEL-051,Emergency Fuel Point 051,Z01,13.096181,80.2802,8139,3902,Low Stock
FUEL-052,Emergency Fuel Point 052,Z02,13.082499,80.270995,11451,10222,Priority Emergency
FUEL-053,Emergency Fuel Point 053,Z03,13.003109,80.247915,28497,20482,Open
FUEL-054,Emergency Fuel Point 054,Z04,12.985123,80.221534,13508,9888,Low Stock
FUEL-055,Emergency Fuel Point 055,Z05,13.012629,80.164002,9003,3177,Open
FUEL-056,Emergency Fuel Point 056,Z01,13.099051,80.259921,19207,9262,Low Stock
FUEL-057,Emergency Fuel Point 057,Z02,13.084285,80.29759,19230,18028,Open
FUEL-058,Emergency Fuel Point 058,Z03,13.015494,80.237815,25300,15779,Low Stock
FUEL-059,Emergency Fuel Point 059,Z04,12.988103,80.240859,25739,10133,Low Stock
FUEL-060,Emergency Fuel Point 060,Z05,12.994359,80.184313,8531,8040,Open
FUEL-061,Emergency Fuel Point 061,Z01,13.116333,80.302609,11848,8675,Priority Emergency
FUEL-062,Emergency Fuel Point 062,Z02,13.085477,80.257339,25385,13531,Open
FUEL-063,Emergency Fuel Point 063,Z03,13.023156,80.267139,8728,5110,Open
FUEL-064,Emergency Fuel Point 064,Z04,12.965608,80.215622,27925,13461,Open
FUEL-065,Emergency Fuel Point 065,Z05,13.024284,80.146679,19482,9852,Low Stock
FUEL-066,Emergency Fuel Point 066,Z01,13.114603,80.27428,29314,10894,Open
FUEL-067,Emergency Fuel Point 067,Z02,13.074709,80.280607,22051,14912,Priority Emergency
FUEL-068,Emergency Fuel Point 068,Z03,13.014521,80.25913,13296,9411,Open
FUEL-069,Emergency Fuel Point 069,Z04,12.990359,80.210263,17003,9214,Priority Emergency
FUEL-070,Emergency Fuel Point 070,Z05,12.997031,80.177057,20077,12867,Low Stock
FUEL-071,Emergency Fuel Point 071,Z01,13.098008,80.285568,22321,12904,Priority Emergency
FUEL-072,Emergency Fuel Point 072,Z02,13.091776,80.285305,9442,2823,Open
FUEL-073,Emergency Fuel Point 073,Z03,13.012015,80.272041,27614,10976,Open
FUEL-074,Emergency Fuel Point 074,Z04,12.992247,80.218414,29953,21718,Low Stock
FUEL-075,Emergency Fuel Point 075,Z05,13.028498,80.185214,8431,6330,Low Stock
FUEL-076,Emergency Fuel Point 076,Z01,13.13748,80.275851,28146,12445,Open
FUEL-077,Emergency Fuel Point 077,Z02,13.072456,80.284853,9073,5771,Open
FUEL-078,Emergency Fuel Point 078,Z03,13.015391,80.266398,29504,16071,Priority Emergency
FUEL-079,Emergency Fuel Point 079,Z04,12.994814,80.226334,10865,6794,Open
FUEL-080,Emergency Fuel Point 080,Z05,13.004387,80.157053,24545,17076,Low Stock
FUEL-081,Emergency Fuel Point 081,Z01,13.116987,80.286575,21045,10024,Open
FUEL-082,Emergency Fuel Point 082,Z02,13.062002,80.271206,27997,21550,Open
FUEL-083,Emergency Fuel Point 083,Z03,13.008053,80.230445,26564,21175,Open
FUEL-084,Emergency Fuel Point 084,Z04,12.99393,80.201652,9065,5625,Open
FUEL-085,Emergency Fuel Point 085,Z05,13.023358,80.18331,18059,8304,Open
FUEL-086,Emergency Fuel Point 086,Z01,13.097489,80.294981,9069,5496,Low Stock
FUEL-087,Emergency Fuel Point 087,Z02,13.067562,80.244859,19183,7720,Open
FUEL-088,Emergency Fuel Point 088,Z03,13.018655,80.247927,29165,7584,Open
FUEL-089,Emergency Fuel Point 089,Z04,12.980388,80.211985,24886,17056,Open
FUEL-090,Emergency Fuel Point 090,Z05,13.005061,80.175024,8737,6381,Open
FUEL-091,Emergency Fuel Point 091,Z01,13.120303,80.281296,14118,3835,Low Stock
FUEL-092,Emergency Fuel Point 092,Z02,13.092757,80.25731,12931,4559,Priority Emergency
FUEL-093,Emergency Fuel Point 093,Z03,13.009215,80.249933,23600,11928,Open
FUEL-094,Emergency Fuel Point 094,Z04,12.971947,80.221643,20968,17967,Open
FUEL-095,Emergency Fuel Point 095,Z05,13.031347,80.220344,21624,18246,Priority Emergency
FUEL-096,Emergency Fuel Point 096,Z01,13.103623,80.29151,22087,6198,Open
FUEL-097,Emergency Fuel Point 097,Z02,13.067118,80.301548,25989,22521,Open
FUEL-098,Emergency Fuel Point 098,Z03,13.001037,80.259632,9421,7804,Low Stock
FUEL-099,Emergency Fuel Point 099,Z04,12.985567,80.209951,22158,5626,Open
FUEL-100,Emergency Fuel Point 100,Z05,12.997417,80.146492,18752,4923,Open
