incident_id,zone_id,zone_name,latitude,longitude,incident_type,severity,timestamp
I00057,Z02,Central Chennai,13.086604,80.270615,Flooded Road,Moderate,2026-09-24 04:01:00
I00058,Z04,Velachery,12.983596,80.212533,Household Evacuation,Moderate,2026-09-24 16:13:00
I00059,Z03,Adyar,13.013306,80.276762,Medical Emergency,Critical,2026-09-24 09:41:00
I00060,Z01,North Chennai,13.121793,80.266089,Shelter Request,High,2026-09-24 02:12:00
I00061,Z03,Adyar,13.003481,80.294332,Flooded Road,Critical,2026-09-24 22:59:00
I00062,Z05,South-West Chennai,13.022542,80.180124,Household Evacuation,High,2026-09-24 15:14:00
I00063,Z01,North Chennai,13.093573,80.278401,Water Rescue,Low,2026-09-24 22:48:00
I00064,Z05,South-West Chennai,12.998186,80.156924,Shelter Request,High,2026-09-24 13:22:00
I00065,Z01,North Chennai,13.098133,80.306395,Medical Emergency,Moderate,2026-09-24 00:56:00
I00066,Z04,Velachery,12.990246,80.215245,Flooded Road,High,2026-09-24 10:13:00
I00067,Z04,Velachery,12.966611,80.22805,Flooded Road,High,2026-09-24 20:55:00
I00068,Z03,Adyar,12.965354,80.258268,Medical Emergency,Critical,2026-09-24 04:48:00
I00069,Z03,Adyar,12.992875,80.260557,Shelter Request,Low,2026-09-24 04:02:00
I00070,Z02,Central Chennai,13.106601,80.26946,Flooded Road,Moderate,2026-09-24 03:49:00
I00071,Z01,North Chennai,13.130555,80.297828,Flooded Road,Critical,2026-09-24 05:20:00
I00072,Z01,North Chennai,13.095091,80.288182,Medical Emergency,High,2026-09-24 08:06:00
I00073,Z04,Velachery,12.986905,80.200306,Water Rescue,High,2026-09-24 13:16:00
I00074,Z03,Adyar,13.007808,80.265225,Household Evacuation,Critical,2026-09-24 05:04:00
I00075,Z01,North Chennai,13.090193,80.289578,Flooded Road,Critical,2026-09-24 14:17:00
I00076,Z05,South-West Chennai,13.024617,80.163915,Medical Emergency,Low,2026-09-24 09:44:00
I00077,Z04,Velachery,12.96078,80.238713,Flooded Road,Critical,2026-09-24 16:33:00
I00078,Z04,Velachery,12.984542,80.196422,Medical Emergency,Critical,2026-09-24 04:18:00
I00079,Z04,Velachery,12.976371,80.210265,Shelter Request,High,2026-09-24 09:45:00
I00080,Z03,Adyar,13.015716,80.292413,Medical Emergency,Critical,2026-09-24 23:16:00
I00081,Z03,Adyar,13.013003,80.291574,Flooded Road,Moderate,2026-09-24 15:11:00
I00082,Z02,Central Chennai,13.062213,80.278579,Flooded Road,High,2026-09-24 08:08:00
I00083,Z01,North Chennai,13.104552,80.292182,Flooded Road,High,2026-09-24 20:54:00
I00084,Z01,North Chennai,13.061269,80.289242,Flooded Road,High,2026-09-24 19:24:00
I00085,Z02,Central Chennai,13.063869,80.280159,Shelter Request,Critical,2026-09-24 19:36:00
I00086,Z05,South-West Chennai,13.034994,80.180702,Flooded Road,High,2026-09-24 21:38:00
I00087,Z01,North Chennai,13.123899,80.321607,Shelter Request,High,2026-09-24 22:21:00
I00088,Z02,Central Chennai,13.049125,80.250248,Household Evacuation,Moderate,2026-09-24 13:09:00
I00089,Z04,Velachery,12.990157,80.2415,Flooded Road,Moderate,2026-09-24 23:34:00
I00090,Z01,North Chennai,13.130512,80.271397,Flooded Road,Moderate,2026-09-24 01:12:00
I00091,Z04,Velachery,12.989224,80.199004,Medical Emergency,Moderate,2026-09-24 03:39:00
I00092,Z02,Central Chennai,13.081277,80.282472,Household Evacuation,High,2026-09-24 08:50:00
I00093,Z01,North Chennai,13.10833,80.279954,Flooded Road,Moderate,2026-09-24 17:19:00
I00094,Z03,Adyar,13.018444,80.234173,Shelter Request,Moderate,2026-09-24 02:51:00
I00095,Z01,North Chennai,13.14399,80.313601,Medical Emergency,Low,2026-09-24 15:32:00
I00096,Z05,South-West Chennai,13.002105,80.18204,Water Rescue,High,2026-09-24 06:04:00
I00097,Z03,Adyar,13.017372,80.247525,Flooded Road,High,2026-09-24 10:31:00
I00098,Z04,Velachery,12.963947,80.220367,Medical Emergency,High,2026-09-24 08:26:00
I00099,Z02,Central Chennai,13.066158,80.260533,Flooded Road,Moderate,2026-09-24 14:44:00
I00100,Z03,Adyar,13.035482,80.273343,Shelter Request,Low,2026-09-24 23:26:00
I00101,Z03,Adyar,13.021243,80.253967,Water Rescue,Moderate,2026-09-24 17:04:00
I00102,Z02,Central Chennai,13.059943,80.295505,Flooded Road,Moderate,2026-09-24 18:58:00
I00103,Z04,Velachery,12.9885,80.240883,Flooded Road,Low,2026-09-24 14:27:00
I00104,Z02,Central Chennai,13.090636,80.293608,Flooded Road,Low,2026-09-24 01:51:00
I00105,Z01,North Chennai,13.083861,80.301103,Household Evacuation,Critical,2026-09-24 05:34:00
I00106,Z01,North Chennai,13.115621,80.263718,Household Evacuation,High,2026-09-24 07:26:00
I00107,Z05,South-West Chennai,12.998446,80.203142,Household Evacuation,Moderate,2026-09-24 13:58:00
I00108,Z01,North Chennai,13.108477,80.317209,Medical Emergency,High,2026-09-24 08:13:00
I00109,Z05,South-West Chennai,13.027923,80.175356,Medical Emergency,High,2026-09-24 07:36:00
I00110,Z05,South-West Chennai,12.992276,80.157537,Flooded Road,High,2026-09-24 14:49:00
I00111,Z03,Adyar,13.017521,80.244636,Flooded Road,High,2026-09-24 23:54:00
I00112,Z03,Adyar,13.029087,80.242476,Household Evacuation,Critical,2026-09-24 15:50:00
I00113,Z01,North Chennai,13.109194,80.324238,Household Evacuation,Moderate,2026-09-24 19:36:00
I00114,Z04,Velachery,13.000489,80.240469,Shelter Request,High,2026-09-24 22:26:00
I00115,Z05,South-West Chennai,13.031616,80.152055,Flooded Road,Low,2026-09-24 20:07:00
I00116,Z01,North Chennai,13.141327,80.279423,Shelter Request,High,2026-09-24 09:28:00
I00117,Z04,Velachery,12.976269,80.174352,Shelter Request,High,2026-09-24 16:47:00
I00118,Z05,South-West Chennai,13.012809,80.187832,Household Evacuation,Moderate,2026-09-24 23:19:00
I00119,Z03,Adyar,13.025767,80.242718,Flooded Road,Low,2026-09-24 06:27:00
I00120,Z02,Central Chennai,13.079804,80.267133,Household Evacuation,Moderate,2026-09-24 02:06:00
I00121,Z03,Adyar,13.019454,80.269188,Flooded Road,High,2026-09-24 21:43:00
I00122,Z01,North Chennai,13.109475,80.298751,Flooded Road,Moderate,2026-09-24 01:24:00
I00123,Z03,Adyar,13.027171,80.249239,Shelter Request,High,2026-09-24 00:20:00
I00124,Z03,Adyar,13.028466,80.247352,Household Evacuation,Moderate,2026-09-24 23:38:00
I00125,Z01,North Chennai,13.142645,80.33591,Household Evacuation,High,2026-09-24 11:27:00
I00126,Z02,Central Chennai,13.064398,80.276455,Shelter Request,Critical,2026-09-24 19:32:00
I00127,Z03,Adyar,13.023656,80.258661,Household Evacuation,Critical,2026-09-24 07:08:00
I00128,Z03,Adyar,13.03543,80.286549,Household Evacuation,Moderate,2026-09-24 08:17:00
I00129,Z04,Velachery,12.975332,80.198373,Flooded Road,High,2026-09-24 13:05:00
I00130,Z04,Velachery,12.967686,80.196319,Flooded Road,Low,2026-09-24 10:02:00
I00131,Z03,Adyar,13.042575,80.252091,Medical Emergency,Critical,2026-09-24 19:42:00
I00132,Z05,South-West Chennai,13.043145,80.159478,Medical Emergency,Moderate,2026-09-24 22:08:00
I00133,Z05,South-West Chennai,13.018991,80.18041,Flooded Road,High,2026-09-24 23:47:00
I00134,Z05,South-West Chennai,12.997022,80.189981,Flooded Road,Moderate,2026-09-24 15:48:00
I00135,Z03,Adyar,13.010324,80.230233,Flooded Road,Critical,2026-09-24 23:24:00
I00136,Z05,South-West Chennai,13.043322,80.189293,Medical Emergency,Low,2026-09-24 23:04:00
I00137,Z04,Velachery,12.988145,80.181901,Flooded Road,High,2026-09-24 18:03:00
I00138,Z01,North Chennai,13.128001,80.280556,Shelter Request,High,2026-09-24 14:14:00
I00139,Z03,Adyar,13.018171,80.249061,Medical Emergency,High,2026-09-24 02:54:00
I00140,Z05,South-West Chennai,12.991581,80.20622,Medical Emergency,Low,2026-09-24 01:35:00
I00141,Z01,North Chennai,13.096596,80.287607,Water Rescue,High,2026-09-24 13:59:00
I00142,Z02,Central Chennai,13.10249,80.243892,Shelter Request,Critical,2026-09-24 09:10:00
I00143,Z05,South-West Chennai,13.04239,80.167643,Household Evacuation,High,2026-09-24 20:07:00
I00144,Z05,South-West Chennai,13.02245,80.180387,Flooded Road,High,2026-09-24 06:49:00
I00145,Z05,South-West Chennai,13.034443,80.178113,Household Evacuation,High,2026-09-24 09:02:00
I00146,Z05,South-West Chennai,13.021461,80.176319,Medical Emergency,Low,2026-09-24 12:57:00
I00147,Z05,South-West Chennai,13.014312,80.222979,Water Rescue,High,2026-09-24 04:06:00
I00148,Z01,North Chennai,13.102801,80.309639,Medical Emergency,High,2026-09-24 14:06:00
I00149,Z02,Central Chennai,13.059646,80.250363,Household Evacuation,Moderate,2026-09-24 20:22:00
I00150,Z04,Velachery,13.027348,80.252412,Household Evacuation,High,2026-09-24 07:08:00
I00151,Z05,South-West Chennai,13.024161,80.14847,Shelter Request,Critical,2026-09-24 04:34:00
I00152,Z05,South-West Chennai,13.007908,80.211187,Water Rescue,High,2026-09-24 06:17:00
I00153,Z04,Velachery,12.972112,80.208808,Water Rescue,Critical,2026-09-24 03:32:00
I00154,Z03,Adyar,12.984535,80.235282,Shelter Request,High,2026-09-24 21:09:00
I00155,Z05,South-West Chennai,12.989178,80.185715,Flooded Road,Low,2026-09-24 06:40:00
I00156,Z03,Adyar,13.036044,80.247695,Shelter Request,High,2026-09-24 02:05:00
I00157,Z03,Adyar,13.002231,80.236607,Flooded Road,High,2026-09-24 00:26:00
I00158,Z03,Adyar,13.029659,80.241501,Medical Emergency,Moderate,2026-09-24 10:33:00
I00159,Z02,Central Chennai,13.061007,80.276039,Medical Emergency,Low,2026-09-24 16:15:00
I00160,Z01,North Chennai,13.120544,80.29905,Flooded Road,High,2026-09-24 22:46:00
I00161,Z05,South-West Chennai,13.011615,80.179455,Flooded Road,High,2026-09-24 18:52:00
I00162,Z04,Velachery,12.98162,80.186145,Water Rescue,Moderate,2026-09-24 23:48:00
I00163,Z05,South-West Chennai,13.006487,80.140575,Flooded Road,Moderate,2026-09-24 04:43:00
I00164,Z03,Adyar,12.987764,80.260137,Flooded Road,High,2026-09-24 22:59:00
I00165,Z05,South-West Chennai,13.019506,80.167617,Shelter Request,High,2026-09-24 23:03:00
I00166,Z05,South-West Chennai,13.038799,80.210727,Household Evacuation,High,2026-09-24 23:14:00
I00167,Z03,Adyar,13.028417,80.254108,Water Rescue,Low,2026-09-24 18:06:00
I00168,Z01,North Chennai,13.13584,80.24464,Household Evacuation,Critical,2026-09-24 02:19:00
I00169,Z03,Adyar,13.01496,80.247378,Flooded Road,High,2026-09-24 09:11:00
I00170,Z02,Central Chennai,13.07896,80.25899,Flooded Road,Critical,2026-09-24 03:21:00
I00171,Z01,North Chennai,13.10519,80.270523,Flooded Road,High,2026-09-24 13:50:00
I00172,Z02,Central Chennai,13.060185,80.275047,Shelter Request,Critical,2026-09-24 09:45:00
I00173,Z03,Adyar,12.982906,80.231348,Household Evacuation,Moderate,2026-09-24 16:55:00
I00174,Z01,North Chennai,13.115695,80.270014,Flooded Road,Critical,2026-09-24 13:38:00
I00175,Z04,Velachery,12.957583,80.237388,Shelter Request,Critical,2026-09-24 21:22:00
I00176,Z01,North Chennai,13.106802,80.315504,Flooded Road,Low,2026-09-24 04:33:00
I00177,Z02,Central Chennai,13.108459,80.269258,Medical Emergency,Moderate,2026-09-24 05:40:00
I00178,Z05,South-West Chennai,13.004616,80.214715,Flooded Road,Moderate,2026-09-24 14:06:00
I00179,Z01,North Chennai,13.131693,80.24977,Flooded Road,High,2026-09-24 20:02:00
I00180,Z04,Velachery,12.965455,80.198964,Flooded Road,High,2026-09-24 04:55:00
I00181,Z04,Velachery,12.973897,80.220532,Flooded Road,High,2026-09-24 15:22:00
I00182,Z04,Velachery,12.994457,80.195692,Shelter Request,High,2026-09-24 02:40:00
I00183,Z04,Velachery,12.959242,80.22893,Household Evacuation,Critical,2026-09-24 18:17:00
I00184,Z05,South-West Chennai,13.021295,80.148627,Household Evacuation,Moderate,2026-09-24 22:24:00
I00185,Z03,Adyar,13.036691,80.268493,Household Evacuation,Moderate,2026-09-24 15:11:00
I00186,Z03,Adyar,13.023805,80.249454,Shelter Request,High,2026-09-24 19:32:00
I00187,Z02,Central Chennai,13.074423,80.304598,Water Rescue,High,2026-09-24 03:19:00
I00188,Z02,Central Chennai,13.064309,80.253298,Flooded Road,Moderate,2026-09-24 22:51:00
I00189,Z05,South-West Chennai,13.015198,80.155734,Medical Emergency,Moderate,2026-09-24 16:03:00
I00190,Z02,Central Chennai,13.094724,80.255094,Flooded Road,Critical,2026-09-24 05:31:00
I00191,Z03,Adyar,13.026671,80.238043,Water Rescue,Critical,2026-09-24 21:37:00
I00192,Z01,North Chennai,13.115117,80.275358,Medical Emergency,Moderate,2026-09-24 02:24:00
I00193,Z02,Central Chennai,13.078795,80.300926,Shelter Request,Moderate,2026-09-24 23:47:00
I00194,Z05,South-West Chennai,13.044451,80.20786,Medical Emergency,High,2026-09-24 08:52:00
I00195,Z02,Central Chennai,13.099939,80.271652,Shelter Request,High,2026-09-24 05:14:00
I00196,Z02,Central Chennai,13.050539,80.273593,Household Evacuation,Critical,2026-09-24 00:21:00
I00197,Z04,Velachery,12.999038,80.2069,Household Evacuation,Moderate,2026-09-24 04:11:00
I00198,Z05,South-West Chennai,12.993493,80.174159,Water Rescue,High,2026-09-24 06:36:00
I00199,Z02,Central Chennai,13.111575,80.251015,Shelter Request,High,2026-09-24 22:56:00
I00200,Z01,North Chennai,13.106731,80.282536,Flooded Road,High,2026-09-24 05:14:00
I00201,Z03,Adyar,13.003615,80.287056,Household Evacuation,Critical,2026-09-24 19:09:00
I00202,Z04,Velachery,12.993146,80.184452,Flooded Road,Moderate,2026-09-24 11:50:00
I00203,Z03,Adyar,13.000051,80.267981,Household Evacuation,High,2026-09-24 20:36:00
I00204,Z03,Adyar,13.028055,80.306645,Household Evacuation,High,2026-09-24 13:12:00
I00205,Z05,South-West Chennai,13.035968,80.189286,Household Evacuation,Moderate,2026-09-24 00:51:00
I00206,Z05,South-West Chennai,12.978246,80.169104,Flooded Road,Low,2026-09-24 02:51:00
I00207,Z01,North Chennai,13.122545,80.266842,Household Evacuation,High,2026-09-24 23:07:00
I00208,Z04,Velachery,13.016181,80.193543,Household Evacuation,Moderate,2026-09-24 23:21:00
I00209,Z03,Adyar,13.013864,80.227743,Flooded Road,High,2026-09-24 15:18:00
I00210,Z02,Central Chennai,13.06082,80.292513,Household Evacuation,Low,2026-09-24 06:01:00
I00211,Z02,Central Chennai,13.073677,80.272497,Flooded Road,High,2026-09-24 16:24:00
I00212,Z02,Central Chennai,13.090293,80.297842,Flooded Road,Moderate,2026-09-24 10:51:00
I00213,Z01,North Chennai,13.124074,80.257779,Medical Emergency,High,2026-09-24 21:07:00
I00214,Z03,Adyar,12.99529,80.257654,Flooded Road,High,2026-09-24 02:22:00
I00215,Z04,Velachery,12.987168,80.204952,Shelter Request,Critical,2026-09-24 23:45:00
I00216,Z02,Central Chennai,13.061504,80.278374,Household Evacuation,High,2026-09-24 18:10:00
I00217,Z04,Velachery,12.949754,80.216029,Household Evacuation,Moderate,2026-09-24 05:06:00
I00218,Z02,Central Chennai,13.072948,80.279739,Household Evacuation,High,2026-09-24 09:41:00
I00219,Z02,Central Chennai,13.083466,80.260421,Household Evacuation,Moderate,2026-09-24 23:14:00
I00220,Z02,Central Chennai,13.087656,80.253222,Shelter Request,High,2026-09-24 06:47:00
I00221,Z01,North Chennai,13.151209,80.290107,Household Evacuation,High,2026-09-24 21:03:00
I00222,Z04,Velachery,12.978224,80.245632,Shelter Request,Low,2026-09-24 14:56:00
I00223,Z02,Central Chennai,13.098845,80.252917,Flooded Road,Low,2026-09-24 08:50:00
I00224,Z02,Central Chennai,13.090185,80.286804,Water Rescue,High,2026-09-24 16:01:00
I00225,Z04,Velachery,13.007112,80.180372,Flooded Road,Moderate,2026-09-24 12:23:00
I00226,Z04,Velachery,13.023261,80.215206,Shelter Request,Moderate,2026-09-24 06:33:00
I00227,Z02,Central Chennai,13.065802,80.259942,Shelter Request,High,2026-09-24 10:58:00
I00228,Z04,Velachery,12.967899,80.250239,Flooded Road,Moderate,2026-09-24 18:46:00
I00229,Z04,Velachery,12.971492,80.194556,Flooded Road,Moderate,2026-09-24 09:23:00
I00230,Z04,Velachery,12.938155,80.231623,Shelter Request,High,2026-09-24 19:24:00
I00231,Z03,Adyar,13.0307,80.255158,Flooded Road,Low,2026-09-24 14:29:00
I00232,Z05,South-West Chennai,13.017419,80.19037,Shelter Request,High,2026-09-24 10:55:00
I00233,Z01,North Chennai,13.115886,80.280347,Water Rescue,Critical,2026-09-24 15:22:00
I00234,Z01,North Chennai,13.129112,80.279159,Household Evacuation,Moderate,2026-09-24 14:24:00
I00235,Z04,Velachery,12.996695,80.219959,Household Evacuation,Critical,2026-09-24 12:09:00
I00236,Z03,Adyar,12.985647,80.26414,Household Evacuation,High,2026-09-24 14:37:00
I00237,Z02,Central Chennai,13.079662,80.287443,Flooded Road,High,2026-09-24 07:29:00
I00238,Z04,Velachery,12.958664,80.19978,Household Evacuation,Moderate,2026-09-24 10:58:00
I00239,Z05,South-West Chennai,13.033095,80.18232,Flooded Road,High,2026-09-24 16:58:00
I00240,Z01,North Chennai,13.122677,80.303421,Water Rescue,High,2026-09-24 01:11:00
I00241,Z04,Velachery,12.969026,80.192401,Water Rescue,Low,2026-09-24 08:53:00
I00242,Z02,Central Chennai,13.088888,80.281874,Shelter Request,Moderate,2026-09-24 06:44:00
I00243,Z04,Velachery,12.97003,80.238114,Household Evacuation,Moderate,2026-09-24 15:05:00
I00244,Z01,North Chennai,13.147897,80.277014,Flooded Road,Critical,2026-09-24 11:01:00
I00245,Z05,South-West Chennai,12.998473,80.15167,Shelter Request,Moderate,2026-09-24 07:39:00
I00246,Z05,South-West Chennai,13.027444,80.186911,Flooded Road,High,2026-09-24 02:01:00
I00247,Z04,Velachery,12.976904,80.201068,Household Evacuation,Moderate,2026-09-24 05:08:00
I00248,Z01,North Chennai,13.093373,80.280725,Flooded Road,Critical,2026-09-24 23:09:00
I00249,Z04,Velachery,13.000314,80.195893,Household Evacuation,High,2026-09-24 08:26:00
I00250,Z01,North Chennai,13.081022,80.294729,Household Evacuation,High,2026-09-24 17:23:00
I00251,Z01,North Chennai,13.111146,80.296103,Water Rescue,Critical,2026-09-24 02:28:00
I00252,Z01,North Chennai,13.17984,80.286759,Household Evacuation,Critical,2026-09-24 12:49:00
I00253,Z03,Adyar,12.99867,80.226657,Medical Emergency,Critical,2026-09-24 13:06:00
I00254,Z01,North Chennai,13.109689,80.321159,Water Rescue,High,2026-09-24 08:54:00
I00255,Z04,Velachery,12.957678,80.220574,Household Evacuation,Critical,2026-09-24 07:54:00
I00256,Z01,North Chennai,13.081597,80.270862,Flooded Road,High,2026-09-24 09:52:00
I00257,Z01,North Chennai,13.110988,80.320976,Household Evacuation,High,2026-09-24 05:46:00
I00258,Z01,North Chennai,13.134527,80.273977,Household Evacuation,High,2026-09-24 07:06:00
I00259,Z04,Velachery,13.006521,80.193948,Flooded Road,High,2026-09-24 13:04:00
I00260,Z04,Velachery,12.972098,80.251805,Medical Emergency,High,2026-09-24 00:15:00
I00261,Z04,Velachery,12.994956,80.188506,Household Evacuation,Moderate,2026-09-24 20:22:00
I00262,Z04,Velachery,12.993169,80.198095,Flooded Road,Moderate,2026-09-24 22:51:00
I00263,Z02,Central Chennai,13.076715,80.27068,Medical Emergency,Low,2026-09-24 21:34:00
I00264,Z03,Adyar,13.014935,80.241015,Medical Emergency,Moderate,2026-09-24 20:30:00
I00265,Z03,Adyar,13.012623,80.259522,Shelter Request,High,2026-09-24 11:39:00
I00266,Z04,Velachery,12.98475,80.198916,Water Rescue,Critical,2026-09-24 06:05:00
I00267,Z01,North Chennai,13.113248,80.277583,Medical Emergency,High,2026-09-24 01:02:00
I00268,Z05,South-West Chennai,13.022834,80.174492,Flooded Road,High,2026-09-24 21:11:00
I00269,Z02,Central Chennai,13.050264,80.279984,Water Rescue,Moderate,2026-09-24 11:53:00
I00270,Z03,Adyar,12.967671,80.246519,Shelter Request,Moderate,2026-09-24 21:45:00
I00271,Z04,Velachery,12.983263,80.211329,Water Rescue,Low,2026-09-24 16:38:00
I00272,Z05,South-West Chennai,13.014434,80.146079,Flooded Road,High,2026-09-24 09:13:00
I00273,Z05,South-West Chennai,13.072319,80.187351,Household Evacuation,Moderate,2026-09-24 14:24:00
I00274,Z04,Velachery,12.959614,80.201032,Flooded Road,Critical,2026-09-24 17:25:00
I00275,Z01,North Chennai,13.106811,80.286836,Water Rescue,Critical,2026-09-24 09:37:00
I00276,Z02,Central Chennai,13.065683,80.261636,Household Evacuation,Moderate,2026-09-24 20:35:00
I00277,Z05,South-West Chennai,13.030809,80.165994,Shelter Request,Moderate,2026-09-24 23:03:00
I00278,Z03,Adyar,13.005286,80.255085,Medical Emergency,Critical,2026-09-24 21:52:00
I00279,Z05,South-West Chennai,13.020673,80.181455,Shelter Request,High,2026-09-24 01:02:00
I00280,Z01,North Chennai,13.090714,80.299795,Household Evacuation,Critical,2026-09-24 07:40:00
I00281,Z04,Velachery,13.005114,80.195558,Flooded Road,High,2026-09-24 21:47:00
I00282,Z03,Adyar,13.016342,80.246847,Flooded Road,High,2026-09-24 14:01:00
I00283,Z04,Velachery,12.992114,80.202806,Flooded Road,High,2026-09-24 17:40:00
I00284,Z02,Central Chennai,13.065902,80.265529,Shelter Request,High,2026-09-24 07:45:00
I00285,Z05,South-West Chennai,13.005798,80.190683,Water Rescue,Moderate,2026-09-24 00:39:00
I00286,Z04,Velachery,12.970999,80.180974,Flooded Road,High,2026-09-24 06:30:00
I00287,Z04,Velachery,12.992155,80.212537,Water Rescue,Moderate,2026-09-24 06:00:00
I00288,Z05,South-West Chennai,12.979767,80.178164,Household Evacuation,Critical,2026-09-24 20:23:00
I00289,Z02,Central Chennai,13.095208,80.246422,Flooded Road,High,2026-09-24 15:10:00
I00290,Z01,North Chennai,13.127319,80.301233,Flooded Road,High,2026-09-24 15:40:00
