vehicle_id,vehicle_type,zone_id,latitude,longitude,passenger_capacity,status,capability
EV-103,Utility Vehicle,Z03,13.020217,80.25609,6,Maintenance,Standard
EV-104,Mini Bus,Z04,12.988519,80.237001,25,Assigned,Standard
EV-105,Mini Bus,Z05,13.015783,80.1824,25,Available,Standard
EV-106,City Bus,Z01,13.117077,80.294581,45,Available,Standard
EV-107,City Bus,Z02,13.05919,80.247299,45,Available,Standard
EV-108,City Bus,Z03,13.015388,80.280609,45,Moving,Standard
EV-109,City Bus,Z04,13.004535,80.213864,45,Moving,Standard
EV-110,Van,Z05,13.02208,80.219926,12,Assigned,Flood-capable
EV-111,City Bus,Z01,13.115157,80.296026,45,Moving,Standard
EV-112,Van,Z02,13.093117,80.26501,12,Moving,Flood-capable
EV-113,City Bus,Z03,13.009776,80.273417,45,Assigned,Standard
EV-114,Mini Bus,Z04,12.991351,80.226394,25,Assigned,Standard
EV-115,Mini Bus,Z05,13.016893,80.182121,25,Assigned,Flood-capable
EV-116,City Bus,Z01,13.137553,80.298717,45,Moving,Standard
EV-117,Utility Vehicle,Z02,13.079358,80.267813,6,Assigned,Standard
EV-118,City Bus,Z03,13.010693,80.269694,45,Available,Standard
EV-119,Mini Bus,Z04,12.962033,80.232419,25,Available,Standard
EV-120,Mini Bus,Z05,13.01973,80.154796,25,Assigned,Standard
EV-121,City Bus,Z01,13.10531,80.29836,45,Available,Standard
EV-122,Van,Z02,13.071612,80.279368,12,Assigned,Flood-capable
EV-123,Mini Bus,Z03,13.019073,80.245704,25,Available,Standard
EV-124,City Bus,Z04,12.96962,80.241469,45,Moving,Standard
EV-125,City Bus,Z05,13.034541,80.171459,45,Available,Standard
EV-126,City Bus,Z01,13.11179,80.280224,45,Available,Standard
EV-127,Utility Vehicle,Z02,13.079337,80.278118,6,Maintenance,Standard
EV-128,City Bus,Z03,12.998695,80.273335,45,Available,Flood-capable
EV-129,Mini Bus,Z04,12.980584,80.219906,25,Available,Standard
EV-130,City Bus,Z05,13.025166,80.176083,45,Assigned,Standard
EV-131,City Bus,Z01,13.110381,80.261352,45,Assigned,Standard
EV-132,City Bus,Z02,13.066428,80.260872,45,Moving,Standard
EV-133,Utility Vehicle,Z03,13.001093,80.280114,6,Moving,Standard
EV-134,City Bus,Z04,12.980731,80.231262,45,Available,Standard
EV-135,City Bus,Z05,13.034477,80.176464,45,Available,Standard
EV-136,Mini Bus,Z01,13.122626,80.291156,25,Moving,Standard
EV-137,Van,Z02,13.085669,80.265659,12,Assigned,Standard
EV-138,City Bus,Z03,12.998029,80.272437,45,Moving,Standard
EV-139,City Bus,Z04,12.969429,80.211077,45,Available,Standard
EV-140,Utility Vehicle,Z05,13.021549,80.194684,6,Available,Standard
EV-141,Van,Z01,13.112646,80.300182,12,Moving,Standard
EV-142,Mini Bus,Z02,13.077327,80.275539,25,Moving,Standard
EV-143,City Bus,Z03,13.000054,80.25387,45,Available,Standard
EV-144,Utility Vehicle,Z04,12.968395,80.239814,6,Maintenance,Standard
EV-145,Van,Z05,13.031602,80.169191,12,Assigned,Standard
EV-146,Utility Vehicle,Z01,13.107878,80.286095,6,Moving,Standard
EV-147,Van,Z02,13.049066,80.281532,12,Available,Standard
EV-148,City Bus,Z03,13.00798,80.249256,45,Available,Standard
EV-149,Utility Vehicle,Z04,12.987569,80.217348,6,Assigned,Standard
EV-150,Utility Vehicle,Z05,13.013041,80.191111,6,Available,Standard
EV-151,City Bus,Z01,13.126952,80.308041,45,Assigned,Flood-capable
EV-152,Mini Bus,Z02,13.069041,80.273427,25,Available,Standard
EV-153,Utility Vehicle,Z03,12.996426,80.266706,6,Maintenance,Standard
EV-154,Van,Z04,12.965947,80.203201,12,Available,Standard
EV-155,Van,Z05,13.013117,80.193435,12,Assigned,Standard
EV-156,Van,Z01,13.092236,80.271195,12,Available,Standard
EV-157,Mini Bus,Z02,13.050331,80.270128,25,Moving,Standard
EV-158,Utility Vehicle,Z03,13.012712,80.280239,6,Maintenance,Standard
EV-159,Mini Bus,Z04,12.968581,80.204666,25,Available,Standard
EV-160,Mini Bus,Z05,13.018527,80.214773,25,Available,Standard
EV-161,City Bus,Z01,13.109586,80.309324,45,Assigned,Standard
EV-162,Mini Bus,Z02,13.089462,80.273567,25,Assigned,Standard
EV-163,City Bus,Z03,13.007316,80.241777,45,Assigned,Standard
EV-164,Mini Bus,Z04,12.996761,80.231702,25,Available,Flood-capable
EV-165,City Bus,Z05,12.993322,80.169476,45,Moving,Standard
EV-166,City Bus,Z01,13.100113,80.274946,45,Assigned,Standard
EV-167,Van,Z02,13.086416,80.275171,12,Moving,Standard
EV-168,City Bus,Z03,13.00414,80.281904,45,Moving,Standard
EV-169,City Bus,Z04,12.986669,80.200921,45,Available,Standard
EV-170,City Bus,Z05,13.012857,80.186201,45,Maintenance,Standard
EV-171,Van,Z01,13.115482,80.29826,12,Moving,Standard
EV-172,City Bus,Z02,13.057551,80.282408,45,Moving,Standard
EV-173,Utility Vehicle,Z03,13.033015,80.258436,6,Moving,Standard
EV-174,City Bus,Z04,12.97916,80.225736,45,Moving,Standard
EV-175,Utility Vehicle,Z05,13.036559,80.187081,6,Moving,Standard
EV-176,Van,Z01,13.140859,80.280183,12,Available,Standard
EV-177,Van,Z02,13.060633,80.249494,12,Available,Standard
EV-178,City Bus,Z03,12.977766,80.247236,45,Available,Standard
EV-179,City Bus,Z04,12.988037,80.207212,45,Available,Standard
EV-180,Van,Z05,13.023461,80.183016,12,Assigned,Standard
EV-181,City Bus,Z01,13.098893,80.288815,45,Assigned,Standard
EV-182,Van,Z02,13.08578,80.283714,12,Available,Standard
EV-183,Mini Bus,Z03,13.019206,80.277356,25,Available,Standard
EV-184,Van,Z04,12.987022,80.206859,12,Assigned,Standard
EV-185,City Bus,Z05,13.035522,80.189857,45,Available,Standard
EV-186,Utility Vehicle,Z01,13.13048,80.290191,6,Available,Standard
EV-187,City Bus,Z02,13.068326,80.273633,45,Moving,Standard
EV-188,Van,Z03,12.994888,80.257872,12,Moving,Standard
EV-189,City Bus,Z04,12.985371,80.236994,45,Assigned,Flood-capable
EV-190,Van,Z05,13.018858,80.173553,12,Assigned,Standard
EV-191,Mini Bus,Z01,13.100691,80.291208,25,Assigned,Standard
EV-192,Van,Z02,13.084761,80.280044,12,Moving,Standard
EV-193,City Bus,Z03,12.994955,80.259874,45,Moving,Standard
EV-194,Mini Bus,Z04,12.982991,80.230171,25,Moving,Standard
EV-195,Utility Vehicle,Z05,13.008452,80.185404,6,Available,Standard
EV-196,City Bus,Z01,13.131353,80.276651,45,Maintenance,Standard
EV-197,Van,Z02,13.067976,80.272663,12,Available,Standard
EV-198,City Bus,Z03,13.018099,80.272995,45,Available,Standard
EV-199,City Bus,Z04,12.981938,80.237236,45,Available,Standard
EV-200,Utility Vehicle,Z05,13.021931,80.148862,6,Available,Standard
EV-201,City Bus,Z01,13.102572,80.267553,45,Available,Standard
EV-202,City Bus,Z02,13.061762,80.278287,45,Assigned,Standard
EV-203,City Bus,Z03,13.016303,80.255895,45,Assigned,Standard
EV-204,City Bus,Z04,12.982444,80.238102,45,Available,Standard
EV-205,Van,Z05,13.015784,80.174823,12,Available,Standard
EV-206,Mini Bus,Z01,13.109642,80.288835,25,Moving,Standard
EV-207,City Bus,Z02,13.082128,80.267416,45,Moving,Flood-capable
EV-208,Utility Vehicle,Z03,12.982352,80.266788,6,Moving,Flood-capable
EV-209,Utility Vehicle,Z04,12.964393,80.218587,6,Available,Flood-capable
EV-210,City Bus,Z05,13.014522,80.200178,45,Available,Flood-capable
EV-211,Mini Bus,Z01,13.1074,80.290118,25,Available,Flood-capable
EV-212,City Bus,Z02,13.09399,80.271167,45,Available,Standard
EV-213,Van,Z03,13.015238,80.259652,12,Available,Standard
EV-214,Van,Z04,12.994816,80.218123,12,Moving,Flood-capable
EV-215,Utility Vehicle,Z05,13.02602,80.165947,6,Moving,Standard
EV-216,Utility Vehicle,Z01,13.10962,80.297812,6,Moving,Standard
EV-217,Utility Vehicle,Z02,13.065185,80.25144,6,Available,Flood-capable
EV-218,Van,Z03,13.00215,80.267382,12,Available,Standard
EV-219,City Bus,Z04,12.970518,80.20653,45,Assigned,Standard
EV-220,Utility Vehicle,Z05,13.026011,80.152632,6,Moving,Flood-capable
EV-221,City Bus,Z01,13.120408,80.278899,45,Maintenance,Standard
EV-222,City Bus,Z02,13.065421,80.245741,45,Moving,Standard
EV-223,Mini Bus,Z03,13.005578,80.244744,25,Assigned,Standard
EV-224,City Bus,Z04,12.995417,80.219795,45,Available,Flood-capable
EV-225,Mini Bus,Z05,13.021912,80.179695,25,Available,Flood-capable
EV-226,City Bus,Z01,13.119531,80.305897,45,Available,Standard
EV-227,Mini Bus,Z02,13.069538,80.262741,25,Assigned,Standard
EV-228,Utility Vehicle,Z03,13.014122,80.265141,6,Available,Flood-capable
EV-229,City Bus,Z04,12.986664,80.205208,45,Moving,Standard
EV-230,Utility Vehicle,Z05,13.029663,80.181354,6,Maintenance,Standard
EV-231,City Bus,Z01,13.101807,80.293622,45,Moving,Standard
EV-232,Mini Bus,Z02,13.096893,80.281302,25,Available,Standard
EV-233,Utility Vehicle,Z03,13.022807,80.248903,6,Moving,Standard
EV-234,Mini Bus,Z04,12.984039,80.213366,25,Available,Flood-capable
EV-235,Van,Z05,13.018273,80.184375,12,Available,Standard
EV-236,Utility Vehicle,Z01,13.125218,80.285994,6,Available,Standard
EV-237,Van,Z02,13.089237,80.244168,12,Available,Standard
EV-238,Utility Vehicle,Z03,12.973582,80.247997,6,Available,Standard
EV-239,Van,Z04,12.982071,80.19969,12,Assigned,Standard
EV-240,City Bus,Z05,13.016299,80.170776,45,Available,Standard
EV-241,Utility Vehicle,Z01,13.138375,80.280674,6,Moving,Standard
EV-242,Mini Bus,Z02,13.092485,80.24948,25,Assigned,Standard
EV-243,City Bus,Z03,13.020496,80.255247,45,Available,Standard
EV-244,City Bus,Z04,12.959351,80.234239,45,Moving,Flood-capable
EV-245,City Bus,Z05,13.030465,80.179694,45,Available,Standard
EV-246,City Bus,Z01,13.130098,80.283041,45,Assigned,Standard
EV-247,City Bus,Z02,13.05245,80.29547,45,Available,Standard
EV-248,Van,Z03,13.015995,80.273949,12,Available,Standard
EV-249,City Bus,Z04,12.979499,80.22747,45,Moving,Flood-capable
EV-250,City Bus,Z05,13.025007,80.183892,45,Assigned,Standard
