medical_team_id,zone_id,zone_name,doctors,nurses,status,specialization
MT045,Z03,Adyar,2,3,Available,General
MT046,Z01,North Chennai,3,4,Standby,Trauma
MT047,Z01,North Chennai,1,5,Deployed,Trauma
MT048,Z01,North Chennai,1,6,Available,Emergency
MT049,Z02,Central Chennai,1,7,Available,Trauma
MT050,Z05,South-West Chennai,3,7,Available,Emergency
MT051,Z04,Velachery,3,3,Standby,Emergency
MT052,Z05,South-West Chennai,1,5,Available,General
MT053,Z01,North Chennai,3,5,Available,General
MT054,Z05,South-West Chennai,3,4,Deployed,General
MT055,Z05,South-West Chennai,2,5,Standby,General
MT056,Z03,Adyar,1,5,Available,Emergency
MT057,Z03,Adyar,2,4,Available,General
MT058,Z03,Adyar,3,7,Deployed,General
MT059,Z02,Central Chennai,1,5,Standby,Trauma
MT060,Z01,North Chennai,1,5,Available,Emergency
MT061,Z01,North Chennai,3,4,Available,Trauma
MT062,Z04,Velachery,1,5,Available,General
MT063,Z04,Velachery,2,2,Available,General
MT064,Z03,Adyar,1,7,Available,Trauma
MT065,Z05,South-West Chennai,3,2,Available,Emergency
MT066,Z02,Central Chennai,3,3,Available,Trauma
MT067,Z01,North Chennai,1,6,Available,Pediatric
MT068,Z02,Central Chennai,3,4,Available,Trauma
MT069,Z01,North Chennai,2,2,Deployed,Trauma
MT070,Z01,North Chennai,3,4,Available,General
MT071,Z05,South-West Chennai,2,4,Deployed,Emergency
MT072,Z03,Adyar,1,3,Deployed,Trauma
MT073,Z03,Adyar,3,2,Available,Trauma
MT074,Z02,Central Chennai,3,5,Available,General
MT075,Z04,Velachery,2,4,Available,General
MT076,Z05,South-West Chennai,3,3,Deployed,Emergency
MT077,Z02,Central Chennai,2,3,Deployed,General
MT078,Z03,Adyar,3,2,Available,General
MT079,Z04,Velachery,2,6,Available,General
MT080,Z02,Central Chennai,1,3,Standby,General
MT081,Z01,North Chennai,1,7,Available,General
MT082,Z05,South-West Chennai,2,5,Available,Emergency
MT083,Z01,North Chennai,3,4,Available,General
MT084,Z05,South-West Chennai,3,3,Available,General
MT085,Z05,South-West Chennai,3,4,Standby,Emergency
MT086,Z03,Adyar,2,5,Available,Emergency
MT087,Z04,Velachery,2,3,Standby,Emergency
MT088,Z04,Velachery,1,7,Deployed,Pediatric
MT089,Z04,Velachery,2,7,Available,General
MT090,Z02,Central Chennai,1,6,Available,Trauma
MT091,Z03,Adyar,2,6,Deployed,Trauma
MT092,Z04,Velachery,1,3,Available,Emergency
MT093,Z05,South-West Chennai,2,7,Available,Trauma
MT094,Z03,Adyar,3,5,Available,Trauma
MT095,Z01,North Chennai,2,5,Available,Trauma
MT096,Z01,North Chennai,2,3,Standby,Emergency
MT097,Z02,Central Chennai,2,6,Available,Pediatric
MT098,Z02,Central Chennai,3,6,Available,Trauma
MT099,Z05,South-West Chennai,3,2,Available,General
MT100,Z05,South-West Chennai,1,3,Deployed,General
MT101,Z02,Central Chennai,3,7,Available,Pediatric
MT102,Z01,North Chennai,1,7,Deployed,Emergency
MT103,Z01,North Chennai,2,6,Standby,Trauma
MT104,Z03,Adyar,1,5,Deployed,General
MT105,Z03,Adyar,2,2,Deployed,General
MT106,Z01,North Chennai,1,3,Available,General
MT107,Z02,Central Chennai,1,7,Available,Trauma
MT108,Z05,South-West Chennai,3,6,Available,General
MT109,Z03,Adyar,1,2,Available,Emergency
MT110,Z01,North Chennai,1,4,Available,General
MT111,Z01,North Chennai,2,7,Available,General
MT112,Z01,North Chennai,3,3,Available,General
MT113,Z04,Velachery,3,7,Deployed,Emergency
MT114,Z01,North Chennai,3,6,Standby,General
MT115,Z03,Adyar,1,5,Available,Emergency
MT116,Z01,North Chennai,1,2,Deployed,General
MT117,Z02,Central Chennai,1,7,Available,Trauma
MT118,Z03,Adyar,2,5,Deployed,Emergency
MT119,Z02,Central Chennai,1,5,Available,Trauma
MT120,Z05,South-West Chennai,3,3,Standby,Emergency
MT121,Z04,Velachery,3,3,Available,General
MT122,Z05,South-West Chennai,2,2,Available,General
MT123,Z01,North Chennai,3,4,Available,Emergency
MT124,Z01,North Chennai,2,5,Available,Emergency
MT125,Z04,Velachery,1,7,Available,Trauma
MT126,Z01,North Chennai,1,5,Available,General
MT127,Z02,Central Chennai,1,5,Available,General
MT128,Z02,Central Chennai,3,2,Available,Emergency
MT129,Z01,North Chennai,1,6,Deployed,General
MT130,Z01,North Chennai,3,4,Standby,General
MT131,Z02,Central Chennai,3,5,Deployed,Pediatric
MT132,Z04,Velachery,1,4,Available,General
MT133,Z03,Adyar,1,2,Available,Pediatric
MT134,Z03,Adyar,2,6,Available,General
MT135,Z03,Adyar,2,5,Available,Trauma
MT136,Z01,North Chennai,1,4,Available,Emergency
MT137,Z04,Velachery,2,3,Deployed,General
MT138,Z04,Velachery,3,7,Available,General
MT139,Z03,Adyar,2,4,Available,Emergency
MT140,Z01,North Chennai,3,7,Available,Emergency
MT141,Z01,North Chennai,2,7,Standby,Trauma
MT142,Z05,South-West Chennai,1,5,Available,Trauma
MT143,Z02,Central Chennai,1,4,Deployed,Emergency
MT144,Z02,Central Chennai,2,3,Available,Trauma
MT145,Z05,South-West Chennai,2,2,Standby,Emergency
MT146,Z03,Adyar,1,6,Available,General
MT147,Z04,Velachery,1,4,Deployed,General
MT148,Z02,Central Chennai,2,3,Deployed,Emergency
MT149,Z04,Velachery,1,4,Deployed,General
MT150,Z05,South-West Chennai,1,4,Deployed,General
