shelter_id,zone_id,zone_name,latitude,longitude,capacity,occupancy,available_slots,food_packets,water_litres,medical_support
S062,Z02,Central Chennai,13.099182,80.252108,953,338,615,939,3182,Yes
S063,Z05,South-West Chennai,13.032848,80.177488,1182,347,835,1277,2665,Yes
S064,Z05,South-West Chennai,13.036845,80.20861,433,151,282,385,813,Yes
S065,Z02,Central Chennai,13.084638,80.265939,1653,1059,594,1964,4675,Yes
S066,Z05,South-West Chennai,13.04911,80.225581,1231,967,264,1136,3964,Yes
S067,Z01,North Chennai,13.141832,80.282872,1819,636,1183,1821,3669,Yes
S068,Z05,South-West Chennai,12.991793,80.154638,1791,464,1327,1895,5409,No
S069,Z03,Adyar,12.983576,80.249383,1861,719,1142,1630,5213,Yes
S070,Z02,Central Chennai,13.074414,80.252239,1392,711,681,1254,3000,Yes
S071,Z03,Adyar,13.01166,80.290478,2114,1435,679,2122,4574,Yes
S072,Z04,Velachery,12.972367,80.190437,1204,873,331,1064,2989,No
S073,Z04,Velachery,12.973939,80.263488,2186,605,1581,2486,6783,No
S074,Z02,Central Chennai,13.08902,80.274311,1117,386,731,1254,1804,Yes
S075,Z04,Velachery,12.979548,80.231134,1112,680,432,1105,3759,Yes
S076,Z02,Central Chennai,13.086309,80.242974,2396,1428,968,2815,5485,Yes
S077,Z01,North Chennai,13.094223,80.287363,2250,1153,1097,2661,6465,Yes
S078,Z04,Velachery,12.974465,80.219944,950,724,226,860,2489,Yes
S079,Z03,Adyar,13.03996,80.277429,2336,1122,1214,2247,5075,Yes
S080,Z03,Adyar,12.999543,80.277597,335,246,89,397,885,Yes
S081,Z05,South-West Chennai,13.015458,80.185491,462,194,268,471,1595,Yes
S082,Z02,Central Chennai,13.083053,80.324375,1755,498,1257,1541,3006,No
S083,Z03,Adyar,13.023898,80.257135,1768,1059,709,2016,3174,Yes
S084,Z01,North Chennai,13.133657,80.3025,1633,732,901,1578,2453,Yes
S085,Z01,North Chennai,13.118806,80.275641,2191,1287,904,2213,6652,Yes
S086,Z03,Adyar,13.012305,80.243505,1997,563,1434,1680,5530,Yes
S087,Z04,Velachery,12.97857,80.218874,1662,1156,506,1636,5521,No
S088,Z01,North Chennai,13.104147,80.30762,1044,454,590,946,2476,Yes
S089,Z05,South-West Chennai,13.019417,80.183681,988,328,660,1161,2067,Yes
S090,Z03,Adyar,13.015424,80.250528,1075,641,434,1213,2767,Yes
S091,Z04,Velachery,12.937276,80.21638,344,233,111,350,1156,No
S092,Z02,Central Chennai,13.104486,80.250929,2326,1620,706,2593,7198,Yes
S093,Z03,Adyar,13.024367,80.237378,969,350,619,909,2333,Yes
S094,Z05,South-West Chennai,13.011927,80.172752,1480,1091,389,1663,2737,Yes
S095,Z04,Velachery,12.959804,80.230301,2424,1552,872,2604,7296,No
S096,Z02,Central Chennai,13.097268,80.248635,2117,591,1526,2007,5432,No
S097,Z05,South-West Chennai,13.034684,80.176492,679,420,259,771,1735,No
S098,Z01,North Chennai,13.102434,80.273433,2226,1470,756,2066,7067,No
S099,Z01,North Chennai,13.075537,80.287511,1819,1097,722,2017,3018,Yes
S100,Z02,Central Chennai,13.075763,80.248798,695,209,486,683,2072,Yes
S101,Z01,North Chennai,13.129089,80.301125,1970,635,1335,1927,5696,No
S102,Z03,Adyar,13.027357,80.24422,2259,1618,641,2533,5907,Yes
S103,Z01,North Chennai,13.106438,80.300719,976,488,488,1145,1622,Yes
S104,Z03,Adyar,13.017871,80.266051,851,629,222,868,1685,Yes
S105,Z02,Central Chennai,13.085647,80.26132,2249,583,1666,2417,7852,No
S106,Z04,Velachery,12.977023,80.212473,699,244,455,583,1939,No
S107,Z05,South-West Chennai,13.041143,80.161083,933,635,298,892,1936,Yes
S108,Z05,South-West Chennai,13.016278,80.159928,2413,726,1687,2266,4750,No
S109,Z03,Adyar,13.049834,80.238921,1613,972,641,1611,3635,Yes
S110,Z04,Velachery,12.942746,80.242979,2071,1040,1031,2048,5746,Yes
S111,Z03,Adyar,13.031617,80.273924,1222,953,269,1112,1964,Yes
S112,Z04,Velachery,12.985765,80.207684,368,270,98,360,805,No
S113,Z03,Adyar,13.000099,80.268558,2344,1021,1323,1938,5178,Yes
S114,Z05,South-West Chennai,13.00304,80.148721,389,235,154,395,1082,Yes
S115,Z04,Velachery,12.967982,80.251841,992,610,382,1182,2972,No
S116,Z05,South-West Chennai,13.021975,80.147704,1583,851,732,1819,2514,Yes
S117,Z05,South-West Chennai,13.009022,80.188294,2183,564,1619,2052,6354,Yes
S118,Z02,Central Chennai,13.073142,80.292087,2070,693,1377,2266,6786,Yes
S119,Z01,North Chennai,13.093993,80.310143,1760,512,1248,1638,3244,No
S120,Z01,North Chennai,13.113463,80.271492,2203,580,1623,2081,5580,No
S121,Z02,Central Chennai,13.027525,80.278858,606,417,189,532,1831,Yes
S122,Z05,South-West Chennai,13.011927,80.172752,2396,844,1552,2230,6649,Yes
S123,Z03,Adyar,13.021868,80.253674,1994,604,1390,1690,3093,Yes
S124,Z02,Central Chennai,13.099126,80.275072,2320,1318,1002,1903,7037,Yes
S125,Z05,South-West Chennai,13.024277,80.179942,735,317,418,709,1324,Yes
S126,Z04,Velachery,12.97857,80.218874,1485,590,895,1199,4762,No
S127,Z03,Adyar,13.015601,80.23843,1912,605,1307,2293,5168,Yes
S128,Z04,Velachery,13.002481,80.176131,1092,395,697,1200,2971,Yes
S129,Z01,North Chennai,13.106484,80.299851,1166,787,379,1323,2086,No
S130,Z04,Velachery,12.981266,80.214059,629,283,346,653,966,No
S131,Z04,Velachery,12.991367,80.228611,565,367,198,576,1213,Yes
S132,Z01,North Chennai,13.131165,80.291614,1471,613,858,1240,3743,Yes
S133,Z04,Velachery,12.983121,80.219987,341,141,200,409,1010,No
S134,Z02,Central Chennai,13.054263,80.285365,1935,1306,629,2223,4884,No
S135,Z04,Velachery,12.95846,80.23108,1152,563,589,1213,2937,Yes
S136,Z05,South-West Chennai,13.008479,80.220434,2360,1068,1292,1894,7819,No
S137,Z01,North Chennai,13.119621,80.292923,749,440,309,786,1187,Yes
S138,Z04,Velachery,12.987154,80.247599,1944,1231,713,1718,3640,Yes
S139,Z05,South-West Chennai,13.013023,80.145586,1518,637,881,1744,3871,Yes
S140,Z02,Central Chennai,13.099182,80.252108,620,280,340,617,1170,Yes
S141,Z01,North Chennai,13.118806,80.275641,902,507,395,775,1672,Yes
S142,Z03,Adyar,13.025995,80.298114,1959,1554,405,1614,5177,Yes
S143,Z03,Adyar,13.029609,80.293629,2075,754,1321,2053,6574,Yes
S144,Z02,Central Chennai,13.082045,80.259171,1351,610,741,1388,2895,No
S145,Z03,Adyar,13.005725,80.26676,2034,1456,578,2128,7074,No
S146,Z01,North Chennai,13.108716,80.248029,1582,797,785,1444,3428,No
S147,Z02,Central Chennai,13.086309,80.242974,2334,752,1582,2593,5065,Yes
S148,Z04,Velachery,13.002481,80.176131,952,502,450,861,1440,Yes
S149,Z04,Velachery,12.954993,80.219532,967,592,375,1106,3028,Yes
S150,Z05,South-West Chennai,13.04154,80.183379,2180,1217,963,2545,4089,No
