resource_id,zone_id,zone_name,resource_type,unit,quantity,status
RS209,Z01,North Chennai,Water,litres,17244,In Transit
RS210,Z04,Velachery,Food,packets,10014,Available
RS211,Z01,North Chennai,Water,litres,12608,Available
RS212,Z04,Velachery,Food,packets,17363,Available
RS213,Z04,Velachery,Food,packets,1928,Available
RS214,Z05,South-West Chennai,Food,packets,11500,Available
RS215,Z01,North Chennai,Water,litres,14945,Reserved
RS216,Z04,Velachery,Food,packets,2725,Reserved
RS217,Z03,Adyar,Medicine,kits,9169,Available
RS218,Z04,Velachery,Blankets,units,2459,In Transit
RS219,Z04,Velachery,Medicine,kits,10659,Available
RS220,Z01,North Chennai,Water,litres,8161,Available
RS221,Z02,Central Chennai,Food,packets,2471,In Transit
RS222,Z03,Adyar,Food,packets,10828,Available
RS223,Z01,North Chennai,Food,packets,4762,Available
RS224,Z03,Adyar,Medicine,kits,1656,Reserved
RS225,Z01,North Chennai,Medicine,kits,4166,Available
RS226,Z04,Velachery,Food,packets,3866,Available
RS227,Z05,South-West Chennai,Water,litres,8720,Available
RS228,Z03,Adyar,Food,packets,16611,In Transit
RS229,Z05,South-West Chennai,Food,packets,13363,Reserved
RS230,Z05,South-West Chennai,Food,packets,19624,Available
RS231,Z03,Adyar,Food,packets,13487,Available
RS232,Z02,Central Chennai,Food,packets,11651,Available
RS233,Z05,South-West Chennai,Water,litres,736,In Transit
RS234,Z04,Velachery,Blankets,units,15107,Reserved
RS235,Z03,Adyar,Food,packets,8689,Available
RS236,Z03,Adyar,Blankets,units,17607,Available
RS237,Z03,Adyar,Medicine,kits,19440,Available
RS238,Z02,Central Chennai,Food,packets,6742,Available
RS239,Z01,North Chennai,Water,litres,2145,In Transit
RS240,Z04,Velachery,Water,litres,9742,Available
RS241,Z04,Velachery,Water,litres,14245,Available
RS242,Z04,Velachery,Water,litres,1451,Available
RS243,Z01,North Chennai,Food,packets,9695,In Transit
RS244,Z01,North Chennai,Water,litres,8296,Available
RS245,Z05,South-West Chennai,Water,litres,18832,Available
RS246,Z05,South-West Chennai,Food,packets,9579,Available
RS247,Z01,North Chennai,ORS,packets,15974,Available
RS248,Z01,North Chennai,Water,litres,9130,Available
RS249,Z05,South-West Chennai,Water,litres,14506,Reserved
RS250,Z02,Central Chennai,Medicine,kits,9687,Available
RS251,Z04,Velachery,Food,packets,17492,Available
RS252,Z01,North Chennai,Water,litres,10492,Available
RS253,Z01,North Chennai,Water,litres,10837,Available
RS254,Z05,South-West Chennai,Water,litres,1894,Available
RS255,Z01,North Chennai,ORS,packets,11463,Available
RS256,Z04,Velachery,Food,packets,2126,Available
RS257,Z01,North Chennai,Medicine,kits,15577,Available
RS258,Z05,South-West Chennai,Water,litres,19149,Reserved
RS259,Z01,North Chennai,Food,packets,6338,Reserved
RS260,Z04,Velachery,Food,packets,8302,Available
RS261,Z05,South-West Chennai,Water,litres,14264,Reserved
RS262,Z01,North Chennai,Food,packets,13915,Available
RS263,Z03,Adyar,Food,packets,19199,Available
RS264,Z04,Velachery,Food,packets,4767,Available
RS265,Z05,South-West Chennai,Water,litres,2394,Available
RS266,Z01,North Chennai,Water,litres,18071,Available
RS267,Z01,North Chennai,Medicine,kits,19600,In Transit
RS268,Z01,North Chennai,Water,litres,19517,Reserved
RS269,Z02,Central Chennai,Food,packets,16261,Available
RS270,Z05,South-West Chennai,Water,litres,3974,Reserved
RS271,Z03,Adyar,Medicine,kits,3331,Available
RS272,Z02,Central Chennai,ORS,packets,4927,In Transit
RS273,Z03,Adyar,Water,litres,14463,Available
RS274,Z03,Adyar,ORS,packets,18987,Available
RS275,Z02,Central Chennai,Blankets,units,7041,Available
RS276,Z04,Velachery,Medicine,kits,8811,Reserved
RS277,Z03,Adyar,Water,litres,17918,In Transit
RS278,Z02,Central Chennai,Blankets,units,6747,Available
RS279,Z04,Velachery,Food,packets,15274,Available
RS280,Z03,Adyar,Blankets,units,3041,Available
RS281,Z01,North Chennai,Water,litres,17129,Available
RS282,Z05,South-West Chennai,Blankets,units,6535,Available
RS283,Z02,Central Chennai,Food,packets,8387,Available
RS284,Z01,North Chennai,Water,litres,10424,Available
RS285,Z05,South-West Chennai,Medicine,kits,19132,In Transit
RS286,Z04,Velachery,Food,packets,2988,Available
RS287,Z02,Central Chennai,Blankets,units,7078,Available
RS288,Z03,Adyar,Blankets,units,10923,Available
RS289,Z02,Central Chennai,Water,litres,4266,Available
RS290,Z05,South-West Chennai,Medicine,kits,1076,In Transit
RS291,Z02,Central Chennai,Water,litres,13225,Available
RS292,Z01,North Chennai,Blankets,units,10073,Available
RS293,Z05,South-West Chennai,Blankets,units,6128,Available
RS294,Z01,North Chennai,Food,packets,11899,Available
RS295,Z03,Adyar,Blankets,units,17254,Available
RS296,Z05,South-West Chennai,Water,litres,18472,Reserved
RS297,Z04,Velachery,Food,packets,3841,Available
RS298,Z02,Central Chennai,Medicine,kits,15741,Available
RS299,Z04,Velachery,Blankets,units,18662,Available
RS300,Z02,Central Chennai,Food,packets,13773,Available
RS301,Z01,North Chennai,Blankets,units,16719,Reserved
RS302,Z01,North Chennai,Food,packets,6060,In Transit
RS303,Z05,South-West Chennai,Water,litres,19333,In Transit
RS304,Z04,Velachery,Food,packets,5962,Reserved
RS305,Z04,Velachery,Medicine,kits,17310,Available
RS306,Z03,Adyar,Water,litres,16743,Available
RS307,Z04,Velachery,Water,litres,2894,Available
RS308,Z04,Velachery,Blankets,units,6767,Available
RS309,Z03,Adyar,ORS,packets,9405,Available
RS310,Z01,North Chennai,Blankets,units,4946,Available
RS311,Z01,North Chennai,Food,packets,4124,Available
RS312,Z05,South-West Chennai,Water,litres,19162,Available
RS313,Z05,South-West Chennai,Water,litres,8665,Available
RS314,Z03,Adyar,Medicine,kits,5606,Available
RS315,Z02,Central Chennai,Blankets,units,19933,In Transit
RS316,Z01,North Chennai,Blankets,units,18683,Available
RS317,Z03,Adyar,Food,packets,5986,Available
RS318,Z01,North Chennai,Medicine,kits,11610,Available
RS319,Z03,Adyar,Water,litres,5462,Available
RS320,Z04,Velachery,Water,litres,15529,Available
RS321,Z04,Velachery,Water,litres,3635,Reserved
RS322,Z04,Velachery,Food,packets,14170,Available
RS323,Z03,Adyar,Medicine,kits,8889,Available
RS324,Z03,Adyar,Food,packets,15452,In Transit
RS325,Z05,South-West Chennai,Water,litres,4107,Reserved
RS326,Z04,Velachery,Medicine,kits,2265,In Transit
RS327,Z05,South-West Chennai,Blankets,units,7291,Reserved
RS328,Z01,North Chennai,Medicine,kits,18780,Available
RS329,Z02,Central Chennai,Water,litres,14214,Available
RS330,Z01,North Chennai,Food,packets,5853,Available
RS331,Z02,Central Chennai,Medicine,kits,19932,Available
RS332,Z04,Velachery,Food,packets,15893,Available
RS333,Z03,Adyar,Water,litres,19351,Available
RS334,Z04,Velachery,Food,packets,4222,Available
RS335,Z05,South-West Chennai,Water,litres,7503,Available
RS336,Z05,South-West Chennai,Water,litres,14345,Available
RS337,Z04,Velachery,Medicine,kits,981,Reserved
RS338,Z01,North Chennai,ORS,packets,17435,Available
RS339,Z01,North Chennai,Water,litres,2924,Available
RS340,Z05,South-West Chennai,Food,packets,16709,Reserved
RS341,Z05,South-West Chennai,Blankets,units,5577,Available
RS342,Z05,South-West Chennai,Medicine,kits,18631,Available
RS343,Z02,Central Chennai,Medicine,kits,2012,Available
RS344,Z02,Central Chennai,Food,packets,13982,Available
RS345,Z02,Central Chennai,Water,litres,7237,In Transit
RS346,Z05,South-West Chennai,Water,litres,1531,Available
RS347,Z01,North Chennai,Food,packets,15238,Available
RS348,Z02,Central Chennai,Water,litres,11746,Available
RS349,Z04,Velachery,Food,packets,9683,Available
RS350,Z05,South-West Chennai,Water,litres,9327,Available
RS351,Z01,North Chennai,Food,packets,6166,Available
RS352,Z04,Velachery,Blankets,units,19326,Reserved
RS353,Z05,South-West Chennai,Water,litres,6056,Reserved
RS354,Z02,Central Chennai,ORS,packets,8266,Available
RS355,Z04,Velachery,Food,packets,12303,Reserved
RS356,Z02,Central Chennai,Water,litres,9503,Available
RS357,Z01,North Chennai,Blankets,units,821,Available
RS358,Z02,Central Chennai,Medicine,kits,10898,Available
RS359,Z01,North Chennai,Water,litres,2556,Reserved
RS360,Z05,South-West Chennai,Water,litres,18798,Available
RS361,Z01,North Chennai,Food,packets,11011,Available
RS362,Z05,South-West Chennai,ORS,packets,16522,Available
RS363,Z05,South-West Chennai,Water,litres,17464,Available
RS364,Z03,Adyar,Food,packets,11306,Available
RS365,Z01,North Chennai,Medicine,kits,5533,Available
RS366,Z01,North Chennai,Blankets,units,7359,Available
RS367,Z02,Central Chennai,Medicine,kits,1682,Available
RS368,Z01,North Chennai,Water,litres,7837,Available
RS369,Z04,Velachery,Water,litres,5574,In Transit
RS370,Z02,Central Chennai,Food,packets,5763,Reserved
RS371,Z04,Velachery,ORS,packets,17199,Available
RS372,Z01,North Chennai,Food,packets,1760,In Transit
RS373,Z03,Adyar,Food,packets,11692,Available
RS374,Z02,Central Chennai,Medicine,kits,5254,Available
RS375,Z05,South-West Chennai,ORS,packets,6214,In Transit
RS376,Z03,Adyar,Blankets,units,6157,Available
RS377,Z04,Velachery,Water,litres,6188,Available
RS378,Z03,Adyar,Blankets,units,18770,Available
RS379,Z03,Adyar,ORS,packets,3310,Reserved
RS380,Z04,Velachery,Blankets,units,3125,Available
RS381,Z05,South-West Chennai,Blankets,units,9558,In Transit
RS382,Z01,North Chennai,Food,packets,13380,Available
RS383,Z04,Velachery,Water,litres,12249,Available
RS384,Z02,Central Chennai,Blankets,units,19591,In Transit
RS385,Z01,North Chennai,Medicine,kits,13924,Available
RS386,Z01,North Chennai,Blankets,units,6865,Available
RS387,Z04,Velachery,Food,packets,11818,Available
RS388,Z03,Adyar,Medicine,kits,844,Available
RS389,Z04,Velachery,ORS,packets,11625,Reserved
RS390,Z04,Velachery,Blankets,units,2357,Available
RS391,Z03,Adyar,Food,packets,15206,In Transit
RS392,Z01,North Chennai,Medicine,kits,8969,Available
RS393,Z02,Central Chennai,ORS,packets,15602,Reserved
RS394,Z04,Velachery,Water,litres,4863,Available
RS395,Z02,Central Chennai,Water,litres,4138,Reserved
RS396,Z04,Velachery,Water,litres,7448,Available
RS397,Z03,Adyar,Water,litres,2736,Available
RS398,Z05,South-West Chennai,Food,packets,17908,Available
RS399,Z03,Adyar,Water,litres,18591,Reserved
RS400,Z02,Central Chennai,Medicine,kits,16603,Available
RS401,Z05,South-West Chennai,ORS,packets,7568,Available
RS402,Z02,Central Chennai,Food,packets,7058,Available
RS403,Z01,North Chennai,Water,litres,12678,Reserved
RS404,Z04,Velachery,ORS,packets,4502,Available
RS405,Z05,South-West Chennai,Food,packets,9755,Available
RS406,Z03,Adyar,Food,packets,5663,In Transit
RS407,Z04,Velachery,Food,packets,5209,In Transit
RS408,Z01,North Chennai,Food,packets,4291,In Transit
RS409,Z01,North Chennai,Medicine,kits,19378,Available
RS410,Z01,North Chennai,Medicine,kits,9737,In Transit
RS411,Z02,Central Chennai,Blankets,units,17867,Available
RS412,Z03,Adyar,Medicine,kits,8209,Reserved
RS413,Z05,South-West Chennai,Blankets,units,3561,Available
RS414,Z03,Adyar,Water,litres,9585,Available
RS415,Z03,Adyar,Food,packets,8628,Available
RS416,Z05,South-West Chennai,Medicine,kits,18964,Reserved
RS417,Z04,Velachery,Food,packets,18504,In Transit
RS418,Z04,Velachery,Food,packets,12347,Available
RS419,Z01,North Chennai,Food,packets,19119,Available
RS420,Z02,Central Chennai,ORS,packets,6031,Available
RS421,Z05,South-West Chennai,Medicine,kits,7699,Available
RS422,Z01,North Chennai,Food,packets,11607,Reserved
RS423,Z03,Adyar,ORS,packets,9775,Available
RS424,Z04,Velachery,ORS,packets,2361,Available
RS425,Z05,South-West Chennai,Water,litres,16045,Available
RS426,Z03,Adyar,Medicine,kits,2702,Available
RS427,Z03,Adyar,Blankets,units,19165,Reserved
RS428,Z01,North Chennai,Food,packets,10657,Available
RS429,Z02,Central Chennai,Food,packets,4859,In Transit
RS430,Z05,South-West Chennai,Blankets,units,11936,Available
RS431,Z02,Central Chennai,Water,litres,1026,Available
RS432,Z03,Adyar,Food,packets,9368,In Transit
RS433,Z05,South-West Chennai,Food,packets,3319,Available
RS434,Z04,Velachery,Water,litres,3071,Reserved
RS435,Z02,Central Chennai,Water,litres,19211,Available
RS436,Z01,North Chennai,Food,packets,9292,Available
RS437,Z01,North Chennai,Medicine,kits,7484,Available
RS438,Z05,South-West Chennai,Medicine,kits,7061,Available
RS439,Z03,Adyar,Food,packets,9141,Available
RS440,Z02,Central Chennai,Medicine,kits,2460,Reserved
RS441,Z01,North Chennai,Food,packets,15755,Available
RS442,Z01,North Chennai,Medicine,kits,19222,Available
RS443,Z05,South-West Chennai,Water,litres,1560,In Transit
RS444,Z05,South-West Chennai,Water,litres,15341,Available
RS445,Z01,North Chennai,Water,litres,5275,Available
RS446,Z02,Central Chennai,Water,litres,18975,Available
RS447,Z02,Central Chennai,Medicine,kits,6598,Available
RS448,Z05,South-West Chennai,Food,packets,6896,Reserved
RS449,Z03,Adyar,Medicine,kits,6109,Available
RS450,Z05,South-West Chennai,Water,litres,8184,In Transit
RS451,Z01,North Chennai,Water,litres,9230,Available
RS452,Z04,Velachery,Food,packets,5120,Available
RS453,Z03,Adyar,Medicine,kits,11656,In Transit
RS454,Z05,South-West Chennai,Food,packets,14604,Available
RS455,Z01,North Chennai,Medicine,kits,2771,Reserved
RS456,Z03,Adyar,Water,litres,12728,Available
RS457,Z02,Central Chennai,Blankets,units,13404,Reserved
RS458,Z05,South-West Chennai,Medicine,kits,11316,Available
RS459,Z04,Velachery,Food,packets,11682,Available
RS460,Z03,Adyar,Medicine,kits,1846,Available
RS461,Z02,Central Chennai,Food,packets,19172,Available
RS462,Z02,Central Chennai,Medicine,kits,13780,Reserved
RS463,Z05,South-West Chennai,Food,packets,9534,Available
RS464,Z01,North Chennai,Medicine,kits,15290,Available
RS465,Z02,Central Chennai,Medicine,kits,3745,Available
RS466,Z05,South-West Chennai,Food,packets,15714,Available
RS467,Z03,Adyar,Water,litres,11715,In Transit
RS468,Z01,North Chennai,Food,packets,17588,In Transit
RS469,Z05,South-West Chennai,Water,litres,17952,Available
RS470,Z02,Central Chennai,Food,packets,1811,Available
RS471,Z04,Velachery,Blankets,units,16813,Available
RS472,Z03,Adyar,Food,packets,15394,In Transit
RS473,Z04,Velachery,ORS,packets,7976,Available
RS474,Z05,South-West Chennai,Blankets,units,14481,Available
RS475,Z03,Adyar,Medicine,kits,11875,In Transit
RS476,Z05,South-West Chennai,Water,litres,12301,Reserved
RS477,Z03,Adyar,Water,litres,10120,Available
RS478,Z05,South-West Chennai,Medicine,kits,11657,Available
RS479,Z02,Central Chennai,Water,litres,10531,Available
RS480,Z03,Adyar,Water,litres,11322,Available
RS481,Z02,Central Chennai,Food,packets,16243,Available
RS482,Z04,Velachery,Water,litres,18474,In Transit
RS483,Z02,Central Chennai,Medicine,kits,12676,Reserved
RS484,Z04,Velachery,Water,litres,9326,In Transit
RS485,Z05,South-West Chennai,Food,packets,2475,Available
RS486,Z04,Velachery,Blankets,units,16399,Reserved
RS487,Z03,Adyar,Blankets,units,16988,Available
RS488,Z04,Velachery,Blankets,units,5290,In Transit
RS489,Z02,Central Chennai,Water,litres,16626,In Transit
RS490,Z04,Velachery,ORS,packets,8244,In Transit
RS491,Z02,Central Chennai,Food,packets,13650,Reserved
RS492,Z01,North Chennai,Water,litres,3321,Available
RS493,Z03,Adyar,Water,litres,2867,Available
RS494,Z03,Adyar,Medicine,kits,9654,Reserved
RS495,Z02,Central Chennai,Water,litres,4299,Available
RS496,Z04,Velachery,Blankets,units,5894,Available
RS497,Z03,Adyar,Food,packets,9802,In Transit
RS498,Z03,Adyar,Food,packets,19593,Available
RS499,Z02,Central Chennai,Medicine,kits,14405,Available
RS500,Z01,North Chennai,ORS,packets,16771,In Transit
