tower_id,zone_id,latitude,longitude,network_type,status,coverage_radius_km
TOWER-106,Z01,13.116992,80.290382,4G,Operational,2.3
TOWER-107,Z02,13.066429,80.262063,4G/5G,Operational,5.8
TOWER-108,Z03,13.001855,80.250306,4G/5G,Operational,5.4
TOWER-109,Z04,12.998126,80.19519,5G,Operational,4.6
TOWER-110,Z05,13.008092,80.183758,4G,Operational,4.4
TOWER-111,Z01,13.123485,80.289545,4G,Operational,5.4
TOWER-112,Z02,13.090328,80.288719,4G,Degraded,4.5
TOWER-113,Z03,12.993474,80.264095,5G,Degraded,2.5
TOWER-114,Z04,12.999731,80.231626,5G,Operational,4.0
TOWER-115,Z05,13.024059,80.181142,5G,Operational,2.8
TOWER-116,Z01,13.101928,80.286237,4G,Operational,5.5
TOWER-117,Z02,13.069904,80.246458,4G,Operational,5.7
TOWER-118,Z03,13.017794,80.271477,4G/5G,Offline,3.4
TOWER-119,Z04,12.958357,80.220097,4G,Operational,2.4
TOWER-120,Z05,13.030942,80.186983,4G/5G,Degraded,4.2
TOWER-121,Z01,13.108239,80.276765,4G,Degraded,4.0
TOWER-122,Z02,13.077066,80.25598,5G,Operational,2.2
TOWER-123,Z03,13.000213,80.246455,4G,Operational,3.4
TOWER-124,Z04,12.973221,80.212791,4G/5G,Operational,4.6
TOWER-125,Z05,13.011073,80.191962,4G,Operational,3.9
TOWER-126,Z01,13.11203,80.283761,5G,Degraded,3.5
TOWER-127,Z02,13.073663,80.263988,4G,Operational,2.0
TOWER-128,Z03,13.027999,80.27001,4G/5G,Operational,1.8
TOWER-129,Z04,12.991198,80.226341,4G,Operational,1.5
TOWER-130,Z05,12.999509,80.162718,4G,Offline,2.6
TOWER-131,Z01,13.131514,80.275458,4G,Operational,2.4
TOWER-132,Z02,13.04858,80.271136,4G/5G,Operational,5.1
TOWER-133,Z03,12.995673,80.252009,4G,Operational,5.0
TOWER-134,Z04,12.977133,80.202319,4G/5G,Degraded,5.9
TOWER-135,Z05,13.006983,80.184456,5G,Operational,2.0
TOWER-136,Z01,13.124544,80.273899,4G,Degraded,4.7
TOWER-137,Z02,13.064518,80.251807,4G,Operational,3.8
TOWER-138,Z03,13.018136,80.284184,4G/5G,Operational,3.3
TOWER-139,Z04,12.960516,80.216695,4G/5G,Operational,3.2
TOWER-140,Z05,13.037866,80.185451,5G,Operational,6.0
TOWER-141,Z01,13.097621,80.270721,4G,Operational,4.2
TOWER-142,Z02,13.079043,80.272564,4G,Operational,4.5
TOWER-143,Z03,13.004161,80.264251,5G,Operational,3.1
TOWER-144,Z04,12.98995,80.214658,4G/5G,Operational,4.0
TOWER-145,Z05,13.02871,80.175004,4G,Operational,3.0
TOWER-146,Z01,13.114343,80.281802,4G,Operational,5.3
TOWER-147,Z02,13.06589,80.258249,4G,Operational,4.7
TOWER-148,Z03,13.006009,80.269999,4G,Operational,3.7
TOWER-149,Z04,12.991865,80.213485,5G,Operational,5.1
TOWER-150,Z05,13.027033,80.183537,4G,Operational,5.0
