safe_place_id,name,zone_id,latitude,longitude,capacity,occupancy,available_slots,facility_type
SAFE-075,Emergency Safe Centre 075,Z05,13.027907,80.176129,1586,727,1263,School
SAFE-076,Emergency Safe Centre 076,Z01,13.11753,80.281422,1654,391,724,School
SAFE-077,Emergency Safe Centre 077,Z02,13.06638,80.253211,1582,1067,778,Community Hall
SAFE-078,Emergency Safe Centre 078,Z03,13.026007,80.243865,854,411,580,Community Hall
SAFE-079,Emergency Safe Centre 079,Z04,13.000368,80.208799,653,319,306,Community Hall
SAFE-080,Emergency Safe Centre 080,Z05,13.036729,80.153708,1042,361,793,School
SAFE-081,Emergency Safe Centre 081,Z01,13.128917,80.266691,1173,340,719,Corporation Facility
SAFE-082,Emergency Safe Centre 082,Z02,13.078505,80.29554,1464,915,1022,Community Hall
SAFE-083,Emergency Safe Centre 083,Z03,13.008449,80.259314,990,482,616,School
SAFE-084,Emergency Safe Centre 084,Z04,13.009293,80.243732,1402,718,627,School
SAFE-085,Emergency Safe Centre 085,Z05,13.018801,80.165942,1286,662,777,Corporation Facility
SAFE-086,Emergency Safe Centre 086,Z01,13.09269,80.286973,1741,603,1384,Corporation Facility
SAFE-087,Emergency Safe Centre 087,Z02,13.075808,80.235215,530,128,353,Corporation Facility
SAFE-088,Emergency Safe Centre 088,Z03,13.017854,80.253869,1460,395,710,Community Hall
SAFE-089,Emergency Safe Centre 089,Z04,12.974599,80.226882,443,140,300,Corporation Facility
SAFE-090,Emergency Safe Centre 090,Z05,13.031134,80.179957,361,131,187,School
SAFE-091,Emergency Safe Centre 091,Z01,13.11161,80.308731,1261,720,643,Shelter
SAFE-092,Emergency Safe Centre 092,Z02,13.056995,80.271072,1417,651,428,School
SAFE-093,Emergency Safe Centre 093,Z03,13.01662,80.24927,639,379,419,Corporation Facility
SAFE-094,Emergency Safe Centre 094,Z04,12.992603,80.231437,269,85,110,Community Hall
SAFE-095,Emergency Safe Centre 095,Z05,13.01859,80.180781,1476,574,937,Corporation Facility
SAFE-096,Emergency Safe Centre 096,Z01,13.121367,80.286555,260,78,148,School
SAFE-097,Emergency Safe Centre 097,Z02,13.060203,80.278611,1547,590,571,School
SAFE-098,Emergency Safe Centre 098,Z03,13.000068,80.266045,729,455,249,Shelter
SAFE-099,Emergency Safe Centre 099,Z04,12.990902,80.20228,1104,611,843,Corporation Facility
SAFE-100,Emergency Safe Centre 100,Z05,13.006799,80.18649,1194,528,643,Community Hall
