accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
376,Chennai,Tamil Nadu,13.15716,80.108805,2025-03-19,14:00,14,Wednesday,0,urban,6,1,rain,low,25,high,drunk driving,minor,3,0,0,,0.65
382,Chennai,Tamil Nadu,13.144941,80.121944,2023-09-28,4:00,4,Thursday,0,highway,4,0,fog,low,16,low,drunk driving,minor,5,2,0,,0.45
387,Chennai,Tamil Nadu,12.910369,80.297392,2024-09-21,6:00,6,Saturday,1,urban,4,1,clear,high,23,high,overspeeding,major,1,1,0,,0.3
394,Chennai,Tamil Nadu,13.193579,80.177155,2024-03-01,6:00,6,Friday,0,urban,2,0,clear,high,36,high,weather,major,4,3,0,,0.3
421,Chennai,Tamil Nadu,12.808568,80.17975,2023-11-10,16:00,16,Friday,0,urban,5,1,clear,high,22,medium,distraction,minor,3,3,0,,0.1
422,Chennai,Tamil Nadu,13.171356,80.145615,2022-09-09,5:00,5,Friday,0,rural,5,1,clear,high,40,low,distraction,minor,5,3,0,,0.1
424,Chennai,Tamil Nadu,13.087089,80.113956,2023-04-18,9:00,9,Tuesday,0,urban,3,1,rain,medium,38,high,distraction,minor,4,3,1,,0.6
431,Chennai,Tamil Nadu,12.994972,80.274334,2022-11-03,1:00,1,Thursday,0,highway,1,0,clear,high,23,medium,weather,major,1,0,0,,0.1
433,Chennai,Tamil Nadu,12.822978,80.147682,2022-11-03,1:00,1,Thursday,0,rural,1,0,rain,low,15,medium,distraction,minor,5,4,0,,0.45
445,Chennai,Tamil Nadu,12.929043,80.164165,2023-05-28,0:00,0,Sunday,1,rural,6,1,fog,low,25,low,distraction,minor,5,3,0,,0.45
454,Chennai,Tamil Nadu,12.873824,80.12014,2024-02-12,2:00,2,Monday,0,urban,6,0,clear,high,38,low,distraction,minor,3,2,0,,0.1
455,Chennai,Tamil Nadu,13.125771,80.140205,2022-02-09,23:00,23,Wednesday,0,urban,4,1,rain,medium,15,low,weather,minor,3,3,0,,0.25
463,Chennai,Tamil Nadu,13.109903,80.151201,2022-03-29,19:00,19,Tuesday,0,rural,6,0,rain,medium,21,high,overspeeding,minor,1,1,1,,0.6
468,Chennai,Tamil Nadu,12.988869,80.247665,2023-11-21,20:00,20,Tuesday,0,urban,4,0,fog,low,24,medium,distraction,fatal,5,5,0,,0.65
482,Chennai,Tamil Nadu,12.839362,80.263658,2025-02-05,7:00,7,Wednesday,0,rural,1,0,rain,medium,34,medium,distraction,fatal,2,2,0,,0.45
484,Chennai,Tamil Nadu,13.077407,80.263691,2023-03-05,11:00,11,Sunday,1,urban,3,1,rain,low,28,medium,weather,minor,4,1,0,,0.45
495,Chennai,Tamil Nadu,13.004738,80.164282,2023-11-28,14:00,14,Tuesday,0,rural,2,1,rain,medium,21,medium,weather,minor,5,3,0,,0.25
506,Chennai,Tamil Nadu,12.973499,80.109124,2023-09-28,9:00,9,Thursday,0,highway,1,1,fog,low,37,high,poor road,major,2,1,1,,0.8
517,Chennai,Tamil Nadu,12.855499,80.235898,2025-02-22,4:00,4,Saturday,1,urban,4,0,clear,high,29,low,poor road,fatal,4,4,0,,0.3
523,Chennai,Tamil Nadu,12.885732,80.28941,2023-12-08,22:00,22,Friday,0,urban,6,1,clear,high,26,high,drunk driving,minor,4,2,0,,0.3
532,Chennai,Tamil Nadu,12.817504,80.136037,2022-09-10,17:00,17,Saturday,1,rural,6,1,rain,medium,39,medium,weather,minor,4,4,1,,0.4
538,Chennai,Tamil Nadu,13.038197,80.150161,2022-11-28,5:00,5,Monday,0,urban,4,1,fog,low,40,low,poor road,minor,1,1,0,,0.45
545,Chennai,Tamil Nadu,13.194003,80.175637,2023-08-05,2:00,2,Saturday,1,rural,5,0,rain,low,34,low,distraction,minor,1,1,0,,0.45
559,Chennai,Tamil Nadu,12.82867,80.226388,2025-03-16,14:00,14,Sunday,1,urban,3,1,clear,high,23,low,drunk driving,fatal,5,5,0,,0.3
563,Chennai,Tamil Nadu,13.065036,80.225858,2022-11-23,14:00,14,Wednesday,0,rural,1,1,clear,high,39,high,distraction,minor,3,3,0,,0.3
577,Chennai,Tamil Nadu,13.195316,80.29898,2022-02-02,13:00,13,Wednesday,0,rural,4,0,fog,low,39,high,overspeeding,minor,3,1,0,,0.65
593,Chennai,Tamil Nadu,12.935117,80.189321,2022-03-13,1:00,1,Sunday,1,highway,6,0,fog,low,24,low,poor road,minor,4,0,0,,0.45
613,Chennai,Tamil Nadu,12.860229,80.110222,2024-04-17,9:00,9,Wednesday,0,rural,2,0,fog,low,18,medium,weather,major,3,1,1,,0.6
620,Chennai,Tamil Nadu,12.885873,80.174002,2022-11-03,16:00,16,Thursday,0,urban,6,1,rain,medium,36,low,distraction,minor,2,1,0,,0.25
629,Chennai,Tamil Nadu,12.995703,80.246007,2024-07-14,1:00,1,Sunday,1,urban,6,0,rain,low,33,low,drunk driving,minor,4,4,0,,0.45
634,Chennai,Tamil Nadu,13.121114,80.196258,2023-06-07,8:00,8,Wednesday,0,highway,4,1,clear,high,33,medium,poor road,minor,3,0,1,,0.25
636,Chennai,Tamil Nadu,12.968258,80.278025,2022-03-16,2:00,2,Wednesday,0,highway,4,0,clear,high,30,low,drunk driving,major,3,3,0,,0.1
637,Chennai,Tamil Nadu,13.152644,80.13559,2022-05-12,21:00,21,Thursday,0,urban,1,1,clear,high,32,medium,overspeeding,fatal,1,1,0,,0.3
655,Chennai,Tamil Nadu,12.86041,80.120678,2023-06-24,17:00,17,Saturday,1,rural,3,0,rain,medium,38,medium,overspeeding,major,3,3,1,,0.4
656,Chennai,Tamil Nadu,13.034434,80.287617,2023-07-07,15:00,15,Friday,0,rural,1,0,fog,low,15,high,distraction,minor,5,4,0,,0.65
672,Chennai,Tamil Nadu,13.102428,80.140145,2025-03-21,15:00,15,Friday,0,rural,5,0,clear,high,37,high,weather,minor,3,3,0,,0.3
681,Chennai,Tamil Nadu,13.1071,80.190945,2022-09-10,13:00,13,Saturday,1,rural,2,0,clear,high,29,medium,weather,minor,3,0,0,,0.1
682,Chennai,Tamil Nadu,12.932566,80.18442,2023-08-15,17:00,17,Tuesday,0,highway,1,0,clear,high,16,high,poor road,major,5,3,1,,0.45
687,Chennai,Tamil Nadu,12.80732,80.151435,2023-03-08,2:00,2,Wednesday,0,highway,5,0,rain,low,23,medium,poor road,minor,5,1,0,Holi,0.55
741,Chennai,Tamil Nadu,12.87787,80.223929,2025-03-26,15:00,15,Wednesday,0,rural,1,1,fog,low,22,high,drunk driving,minor,1,0,0,,0.65
757,Chennai,Tamil Nadu,12.990145,80.238815,2024-11-07,3:00,3,Thursday,0,rural,4,1,clear,high,33,low,distraction,minor,3,2,0,,0.1
769,Chennai,Tamil Nadu,12.948178,80.233552,2022-06-03,21:00,21,Friday,0,urban,4,1,rain,low,18,high,distraction,fatal,1,1,0,,0.85
779,Chennai,Tamil Nadu,13.155989,80.182345,2024-06-15,20:00,20,Saturday,1,rural,3,0,clear,high,16,low,overspeeding,fatal,4,4,0,,0.3
782,Chennai,Tamil Nadu,12.964008,80.20961,2024-08-25,21:00,21,Sunday,1,highway,3,1,clear,high,17,high,poor road,minor,3,2,0,,0.3
843,Chennai,Tamil Nadu,13.062713,80.22507,2022-06-22,21:00,21,Wednesday,0,rural,4,0,clear,high,32,high,overspeeding,minor,5,2,0,,0.3
846,Chennai,Tamil Nadu,13.010852,80.286373,2024-11-30,23:00,23,Saturday,1,highway,1,1,fog,low,31,low,distraction,minor,3,1,0,,0.45
867,Chennai,Tamil Nadu,13.121184,80.199072,2023-08-20,15:00,15,Sunday,1,rural,3,1,fog,low,39,low,weather,minor,2,2,0,,0.45
870,Chennai,Tamil Nadu,13.177203,80.230773,2022-09-11,6:00,6,Sunday,1,urban,5,1,rain,medium,19,medium,distraction,major,5,5,0,,0.25
874,Chennai,Tamil Nadu,13.178245,80.237615,2024-12-18,22:00,22,Wednesday,0,highway,2,0,rain,low,18,low,overspeeding,major,3,0,0,,0.45
876,Chennai,Tamil Nadu,13.121059,80.174293,2023-08-26,10:00,10,Saturday,1,rural,6,1,rain,medium,24,high,poor road,major,1,1,1,,0.6
878,Chennai,Tamil Nadu,12.968113,80.224685,2023-01-07,12:00,12,Saturday,1,highway,3,0,fog,low,27,low,distraction,major,5,4,0,,0.45
885,Chennai,Tamil Nadu,12.869088,80.124342,2023-07-27,8:00,8,Thursday,0,urban,1,1,rain,medium,39,high,distraction,major,2,2,1,,0.6
898,Chennai,Tamil Nadu,13.122343,80.263315,2023-09-03,19:00,19,Sunday,1,urban,3,0,rain,low,32,high,weather,minor,5,5,1,,0.8
899,Chennai,Tamil Nadu,13.103667,80.23097,2022-02-11,10:00,10,Friday,0,urban,1,0,fog,low,40,medium,overspeeding,minor,4,1,1,,0.6
901,Chennai,Tamil Nadu,13.033398,80.120058,2024-05-21,23:00,23,Tuesday,0,urban,2,1,rain,low,33,medium,overspeeding,minor,5,1,0,,0.45
914,Chennai,Tamil Nadu,13.016902,80.196833,2023-04-11,7:00,7,Tuesday,0,highway,5,0,fog,low,21,low,drunk driving,fatal,5,5,0,,0.65
921,Chennai,Tamil Nadu,13.145444,80.154342,2024-10-10,17:00,17,Thursday,0,highway,2,0,clear,high,27,medium,poor road,major,4,1,1,,0.25
922,Chennai,Tamil Nadu,12.910988,80.218927,2024-08-02,21:00,21,Friday,0,rural,3,1,fog,low,27,high,distraction,minor,1,1,0,,0.65
926,Chennai,Tamil Nadu,12.844104,80.274743,2022-04-28,0:00,0,Thursday,0,urban,4,1,rain,medium,17,medium,overspeeding,major,1,0,0,,0.25
931,Chennai,Tamil Nadu,13.007451,80.178109,2023-12-11,13:00,13,Monday,0,rural,4,0,fog,low,36,medium,drunk driving,major,3,0,0,,0.45
939,Chennai,Tamil Nadu,12.93409,80.168384,2022-04-01,19:00,19,Friday,0,urban,2,0,rain,low,16,high,overspeeding,fatal,3,3,1,,1.0
940,Chennai,Tamil Nadu,12.869936,80.153265,2024-06-24,4:00,4,Monday,0,highway,6,1,clear,high,40,low,weather,major,3,2,0,,0.1
942,Chennai,Tamil Nadu,12.853686,80.188687,2023-11-06,0:00,0,Monday,0,urban,3,0,rain,medium,20,high,weather,minor,5,5,0,,0.45
957,Chennai,Tamil Nadu,12.898188,80.15184,2023-05-25,18:00,18,Thursday,0,rural,6,1,rain,medium,26,high,overspeeding,minor,1,1,1,,0.6
961,Chennai,Tamil Nadu,13.080223,80.245501,2024-01-25,16:00,16,Thursday,0,urban,3,0,clear,high,27,high,drunk driving,minor,1,1,0,,0.3
966,Chennai,Tamil Nadu,12.888951,80.260139,2023-11-13,14:00,14,Monday,0,highway,3,0,fog,low,39,high,poor road,fatal,1,1,0,,0.85
967,Chennai,Tamil Nadu,13.068834,80.22901,2024-04-26,6:00,6,Friday,0,urban,6,0,fog,low,18,high,poor road,minor,1,1,0,,0.65
973,Chennai,Tamil Nadu,12.885642,80.167902,2022-11-14,4:00,4,Monday,0,highway,3,0,clear,high,26,low,drunk driving,minor,3,3,0,,0.1
977,Chennai,Tamil Nadu,13.046156,80.156044,2024-05-09,2:00,2,Thursday,0,highway,3,0,fog,low,17,low,weather,minor,5,3,0,,0.45
989,Chennai,Tamil Nadu,13.101136,80.130029,2023-09-20,20:00,20,Wednesday,0,highway,3,0,rain,low,34,low,weather,minor,2,1,0,,0.45
992,Chennai,Tamil Nadu,13.1682,80.141954,2023-03-12,1:00,1,Sunday,1,rural,3,1,rain,medium,36,medium,distraction,minor,5,1,0,,0.25
998,Chennai,Tamil Nadu,12.885827,80.187077,2024-04-24,7:00,7,Wednesday,0,highway,1,0,fog,low,30,low,distraction,fatal,5,5,0,,0.65
999,Chennai,Tamil Nadu,12.931046,80.165453,2023-06-07,2:00,2,Wednesday,0,highway,6,1,clear,high,27,low,overspeeding,fatal,2,2,0,,0.3
1001,Chennai,Tamil Nadu,13.105252,80.289928,2023-06-28,21:00,21,Wednesday,0,highway,4,0,clear,high,23,medium,weather,fatal,3,3,0,,0.3
1003,Chennai,Tamil Nadu,13.132402,80.2171,2022-10-17,17:00,17,Monday,0,rural,1,0,rain,medium,28,high,poor road,minor,2,1,1,,0.6
1014,Chennai,Tamil Nadu,12.863699,80.222965,2024-05-25,9:00,9,Saturday,1,rural,4,0,clear,high,36,high,poor road,minor,2,0,1,,0.45
1018,Chennai,Tamil Nadu,12.815252,80.242129,2022-01-29,15:00,15,Saturday,1,urban,6,1,rain,medium,26,medium,overspeeding,fatal,3,3,0,,0.45
1019,Chennai,Tamil Nadu,12.924742,80.254927,2025-01-12,13:00,13,Sunday,1,rural,2,1,fog,low,21,high,weather,minor,4,2,0,,0.65
1021,Chennai,Tamil Nadu,12.872674,80.164163,2023-12-06,15:00,15,Wednesday,0,urban,5,1,fog,low,28,medium,poor road,minor,2,0,0,,0.45
1024,Chennai,Tamil Nadu,12.824106,80.168157,2023-04-25,20:00,20,Tuesday,0,urban,6,1,clear,high,21,low,overspeeding,minor,1,1,0,,0.1
1026,Chennai,Tamil Nadu,12.862118,80.250096,2023-07-26,23:00,23,Wednesday,0,highway,5,1,clear,high,27,high,weather,major,5,1,0,,0.3
1040,Chennai,Tamil Nadu,13.050105,80.250811,2022-08-22,23:00,23,Monday,0,highway,5,1,fog,low,28,low,poor road,fatal,1,1,0,,0.65
1041,Chennai,Tamil Nadu,13.0234,80.18927,2022-07-27,10:00,10,Wednesday,0,urban,5,0,fog,low,19,high,overspeeding,minor,5,0,1,,0.8
1047,Chennai,Tamil Nadu,13.104355,80.283238,2024-05-14,0:00,0,Tuesday,0,highway,1,0,fog,low,17,medium,distraction,minor,5,3,0,,0.45
1056,Chennai,Tamil Nadu,12.947432,80.221219,2022-02-14,21:00,21,Monday,0,urban,4,0,clear,high,25,high,weather,major,1,0,0,,0.3
1057,Chennai,Tamil Nadu,12.9592,80.247434,2024-11-19,2:00,2,Tuesday,0,rural,4,0,rain,low,22,low,weather,minor,4,4,0,,0.45
1065,Chennai,Tamil Nadu,13.126374,80.232932,2022-06-15,19:00,19,Wednesday,0,urban,2,1,clear,high,25,high,distraction,minor,5,3,1,,0.45
1066,Chennai,Tamil Nadu,13.134495,80.230798,2024-04-24,22:00,22,Wednesday,0,urban,3,1,clear,high,15,high,poor road,minor,2,2,0,,0.3
1067,Chennai,Tamil Nadu,12.925445,80.229567,2023-05-10,12:00,12,Wednesday,0,urban,5,0,clear,high,24,high,drunk driving,major,2,1,0,,0.3
1076,Chennai,Tamil Nadu,12.859974,80.13642,2022-04-07,19:00,19,Thursday,0,urban,1,0,rain,medium,29,medium,weather,fatal,5,5,1,,0.6
1084,Chennai,Tamil Nadu,12.912737,80.173525,2024-12-09,8:00,8,Monday,0,urban,1,0,clear,high,32,high,drunk driving,fatal,2,2,1,,0.65
1085,Chennai,Tamil Nadu,13.07201,80.27389,2023-01-11,13:00,13,Wednesday,0,rural,2,0,fog,low,24,high,overspeeding,minor,5,4,0,,0.65
1095,Chennai,Tamil Nadu,12.812323,80.16859,2024-12-23,12:00,12,Monday,0,urban,3,0,fog,low,38,low,poor road,major,4,3,0,,0.45
1108,Chennai,Tamil Nadu,13.085771,80.161597,2024-08-26,2:00,2,Monday,0,urban,1,1,fog,low,28,low,poor road,major,4,2,0,,0.45
1113,Chennai,Tamil Nadu,13.153851,80.222886,2022-06-08,19:00,19,Wednesday,0,highway,5,1,fog,low,37,high,overspeeding,minor,4,4,1,,0.8
1114,Chennai,Tamil Nadu,13.121948,80.115833,2022-02-22,2:00,2,Tuesday,0,highway,4,0,fog,low,40,low,weather,minor,5,2,0,,0.45
1119,Chennai,Tamil Nadu,12.919597,80.153443,2022-06-14,3:00,3,Tuesday,0,urban,2,0,fog,low,30,high,weather,fatal,4,4,0,,0.85
1120,Chennai,Tamil Nadu,13.032794,80.212157,2024-05-20,0:00,0,Monday,0,rural,2,0,clear,high,17,low,weather,major,2,0,0,,0.1
1150,Chennai,Tamil Nadu,13.113592,80.299163,2022-11-25,10:00,10,Friday,0,highway,2,1,rain,medium,23,medium,weather,minor,1,0,1,,0.4
1154,Chennai,Tamil Nadu,12.866343,80.196234,2023-03-17,5:00,5,Friday,0,urban,5,0,rain,medium,30,medium,distraction,minor,2,0,0,,0.25
1166,Chennai,Tamil Nadu,13.139816,80.164193,2025-02-04,1:00,1,Tuesday,0,urban,3,1,rain,low,29,medium,overspeeding,minor,5,5,0,,0.45
1187,Chennai,Tamil Nadu,12.82502,80.180172,2022-06-22,3:00,3,Wednesday,0,urban,1,0,rain,medium,19,high,distraction,minor,5,2,0,,0.45
1189,Chennai,Tamil Nadu,12.871585,80.233698,2022-12-31,19:00,19,Saturday,1,urban,2,0,clear,high,35,high,overspeeding,minor,2,0,1,,0.45
1201,Chennai,Tamil Nadu,12.974196,80.262335,2023-04-18,23:00,23,Tuesday,0,highway,4,0,rain,low,39,high,distraction,fatal,5,5,0,,0.85
1202,Chennai,Tamil Nadu,13.029198,80.168271,2024-04-13,13:00,13,Saturday,1,highway,4,0,clear,high,32,high,overspeeding,minor,3,3,0,,0.3
1211,Chennai,Tamil Nadu,13.04075,80.235901,2024-03-17,9:00,9,Sunday,1,rural,1,1,rain,medium,17,high,poor road,major,2,0,1,,0.6
1216,Chennai,Tamil Nadu,13.127776,80.222476,2024-12-05,1:00,1,Thursday,0,rural,6,1,fog,low,39,medium,poor road,minor,4,0,0,,0.45
1220,Chennai,Tamil Nadu,12.891178,80.14983,2025-01-24,14:00,14,Friday,0,urban,2,1,clear,high,26,low,weather,minor,3,3,0,,0.1
1221,Chennai,Tamil Nadu,13.069127,80.267634,2023-07-09,8:00,8,Sunday,1,highway,5,1,rain,low,40,high,overspeeding,fatal,1,1,1,,1.0
1232,Chennai,Tamil Nadu,12.90234,80.177051,2025-01-21,12:00,12,Tuesday,0,rural,3,0,clear,high,20,medium,overspeeding,major,4,0,0,,0.1
1235,Chennai,Tamil Nadu,13.124944,80.175219,2022-11-21,15:00,15,Monday,0,urban,5,1,clear,high,29,low,overspeeding,major,2,1,0,,0.1
1253,Chennai,Tamil Nadu,12.873977,80.170854,2022-01-02,6:00,6,Sunday,1,urban,1,0,rain,medium,18,high,overspeeding,minor,5,5,0,,0.45
