road_id,from_zone,to_zone,from_lat,from_lon,to_lat,to_lon,distance_km,lanes,traffic_density,source_risk_score,road_status,water_depth_m,travel_time_min
R0022,Z04,Z05,12.879266,80.115344,13.009203,80.153276,8.0,4,high,0.8,Open,0.02,31.0
R0023,Z05,Z01,12.988979,80.169063,13.098904,80.299763,8.0,1,medium,0.45,Open,0.11,23.0
R0024,Z04,Z04,12.813072,80.283457,12.811739,80.285293,0.3,5,medium,0.1,Open,0.07,1.0
R0025,Z05,Z01,13.045682,80.130743,13.098904,80.299763,8.0,4,low,0.8,Open,0.08,16.0
R0026,Z05,Z01,12.988979,80.169063,13.138966,80.216937,8.0,3,high,0.1,Open,0.01,27.0
R0027,Z01,Z05,13.18451,80.114959,13.049284,80.173524,8.0,1,low,0.6,Open,0.11,16.0
R0028,Z03,Z01,12.985379,80.270569,13.191099,80.2506,8.0,3,high,0.45,Open,0.06,25.0
R0029,Z05,Z01,13.149261,80.103419,13.100773,80.262566,8.0,3,low,0.45,Open,0.04,17.0
R0030,Z05,Z04,12.957,80.144806,12.886495,80.169046,8.0,5,medium,0.25,Open,0.02,24.0
R0031,Z04,Z04,12.873977,80.170854,12.803447,80.190025,8.0,3,low,0.1,Open,0.11,17.0
R0032,Z04,Z02,12.879417,80.282199,13.066581,80.280339,8.0,3,medium,0.65,Open,0.11,20.0
R0033,Z01,Z05,13.169345,80.289694,13.134323,80.107228,8.0,3,medium,0.3,Open,0.11,19.0
R0034,Z05,Z05,13.04818,80.137772,13.0393,80.215464,8.0,5,medium,0.6,Open,0.09,20.0
R0035,Z05,Z01,12.961216,80.143204,13.138966,80.216937,8.0,2,low,0.45,Open,0.11,16.0
R0036,Z05,Z02,13.171117,80.116406,13.072331,80.216361,8.0,4,low,0.1,Open,0.03,17.0
R0037,Z01,Z01,13.165904,80.143318,13.18632,80.138826,2.89,3,low,0.3,Open,0.03,5.0
R0038,Z05,Z05,13.008102,80.163526,13.154714,80.110486,8.0,4,low,0.6,Open,0.1,16.0
R0039,Z04,Z01,12.879705,80.107007,13.147743,80.284721,8.0,3,high,0.1,Open,0.01,31.0
R0040,Z05,Z05,13.128577,80.12399,13.034166,80.209832,8.0,2,medium,0.65,Open,0.04,19.0
R0041,Z05,Z01,12.997809,80.156798,13.172928,80.157062,8.0,5,high,0.85,Open,0.11,26.0
R0042,Z05,Z01,13.152326,80.110816,13.103774,80.258784,8.0,3,medium,0.3,Open,0.01,19.0
R0043,Z04,Z05,12.804397,80.225323,13.080232,80.131154,8.0,6,low,0.65,Open,0.02,15.0
R0044,Z01,Z05,13.192716,80.153085,12.950767,80.119943,8.0,2,medium,0.45,Open,0.08,22.0
R0045,Z04,Z02,12.99687,80.202554,13.108131,80.205146,8.0,4,medium,0.1,Open,0.07,22.0
R0046,Z04,Z01,12.879266,80.115344,13.181225,80.265065,8.0,1,low,0.3,Open,0.0,16.0
R0047,Z01,Z04,13.121351,80.255185,12.884835,80.121577,8.0,2,low,0.6,Open,0.01,17.0
R0048,Z05,Z01,13.152326,80.110816,13.170822,80.195504,8.0,5,low,0.45,Open,0.11,15.0
R0049,Z01,Z03,13.171261,80.192267,13.03324,80.223743,8.0,3,medium,0.65,Open,0.09,21.0
R0050,Z05,Z02,13.002232,80.118523,13.067617,80.271861,8.0,3,high,0.3,Open,0.09,25.0
R0051,Z01,Z01,13.094119,80.284916,13.161164,80.21271,8.0,3,high,0.65,Open,0.06,31.0
R0052,Z05,Z05,12.976348,80.167709,13.035809,80.170197,8.0,3,high,0.45,Open,0.09,25.0
R0053,Z04,Z04,12.857455,80.136116,12.923608,80.226417,8.0,3,medium,0.8,Open,0.09,22.0
R0054,Z04,Z01,12.861826,80.265206,13.117888,80.234359,8.0,1,high,0.45,Open,0.01,24.0
R0055,Z04,Z02,12.821681,80.163466,13.050483,80.266499,8.0,3,medium,0.1,Open,0.11,21.0
R0056,Z04,Z04,12.948804,80.158977,12.832497,80.256613,8.0,3,medium,0.45,Open,0.08,20.0
R0057,Z01,Z02,13.177969,80.157725,13.088205,80.282326,8.0,1,medium,0.1,Open,0.01,22.0
R0058,Z02,Z03,13.057548,80.234556,12.967702,80.295155,8.0,4,medium,0.45,Open,0.05,22.0
R0059,Z05,Z03,13.051843,80.101492,12.96236,80.293919,8.0,3,high,0.1,Open,0.08,27.0
R0060,Z05,Z04,13.045682,80.130743,12.932201,80.171009,8.0,3,medium,0.65,Open,0.02,19.0
R0061,Z05,Z05,12.956083,80.12766,13.053856,80.199701,8.0,5,high,0.45,Open,0.05,25.0
R0062,Z04,Z01,12.888891,80.251456,13.167547,80.144491,8.0,3,high,0.75,Open,0.1,25.0
R0063,Z02,Z03,13.108131,80.205146,12.96236,80.293919,8.0,2,medium,0.1,Open,0.11,23.0
R0064,Z01,Z05,13.103774,80.258784,13.129312,80.155801,8.0,3,high,0.65,Open,0.11,28.0
R0065,Z05,Z04,13.00575,80.194874,12.958422,80.16674,7.47,2,low,0.65,Open,0.11,18.0
R0066,Z05,Z04,13.132168,80.140299,12.892055,80.122731,8.0,3,low,0.45,Open,0.0,18.0
R0067,Z04,Z01,12.909653,80.186383,13.105254,80.251276,8.0,3,high,0.25,Open,0.03,29.0
R0068,Z03,Z04,12.990661,80.299722,12.800942,80.141466,8.0,1,medium,0.1,Open,0.07,23.0
R0069,Z01,Z05,13.196432,80.163663,13.101488,80.166135,8.0,4,medium,0.3,Open,0.02,21.0
R0070,Z04,Z01,12.842658,80.154615,13.149879,80.255234,8.0,6,high,0.25,Open,0.02,31.0
R0071,Z04,Z04,12.838715,80.152143,12.879266,80.115344,7.3,1,medium,0.45,Open,0.0,20.0
R0072,Z04,Z01,12.86642,80.247011,13.194883,80.239893,8.0,3,medium,0.45,Open,0.02,20.0
R0073,Z01,Z04,13.193623,80.18198,12.91542,80.168664,8.0,3,medium,0.65,Open,0.05,24.0
R0074,Z04,Z05,12.812884,80.252648,13.032944,80.159342,8.0,4,medium,0.45,Open,0.06,19.0
R0075,Z02,Z05,13.098467,80.234911,12.997029,80.180985,8.0,4,medium,0.45,Open,0.09,23.0
R0076,Z02,Z04,13.043664,80.258363,12.95539,80.180246,8.0,4,medium,0.65,Open,0.02,20.0
R0077,Z02,Z04,13.106529,80.237467,12.851906,80.237577,8.0,4,high,0.25,Open,0.07,29.0
R0078,Z04,Z01,12.942369,80.162074,13.094119,80.284916,8.0,2,high,0.3,Open,0.08,31.0
R0079,Z04,Z04,12.924645,80.211452,12.849446,80.297604,8.0,3,low,0.8,Open,0.12,18.0
R0080,Z05,Z01,13.055432,80.177971,13.191099,80.2506,8.0,1,low,0.45,Open,0.04,16.0
R0081,Z05,Z05,13.06505,80.182482,13.045682,80.130743,7.06,1,low,0.45,Open,0.02,16.0
R0082,Z04,Z03,12.861826,80.265206,12.990661,80.299722,8.0,4,high,0.45,Open,0.07,25.0
R0083,Z01,Z05,13.169345,80.289694,13.064537,80.113732,8.0,3,medium,0.65,Open,0.03,20.0
R0084,Z05,Z01,13.08804,80.194476,13.177969,80.157725,8.0,6,medium,0.3,Open,0.02,21.0
R0085,Z02,Z03,13.041202,80.281153,13.01833,80.254082,4.66,2,low,0.3,Open,0.08,10.0
R0086,Z05,Z05,12.945861,80.117513,13.106379,80.121158,8.0,4,medium,0.25,Open,0.03,24.0
R0087,Z05,Z03,13.109903,80.151201,12.990992,80.266618,8.0,4,high,0.8,Open,0.0,29.0
R0088,Z04,Z04,12.898188,80.15184,12.942028,80.277695,8.0,1,medium,0.45,Open,0.11,24.0
R0089,Z04,Z05,12.87369,80.122421,13.062244,80.117455,8.0,1,medium,0.8,Open,0.12,21.0
R0090,Z01,Z01,13.142228,80.220438,13.184974,80.224829,5.96,3,medium,0.45,Open,0.05,15.0
R0091,Z01,Z04,13.147494,80.297726,12.964817,80.251759,8.0,3,high,0.1,Open,0.05,26.0
R0092,Z04,Z02,12.810145,80.159297,13.050483,80.266499,8.0,1,high,0.8,Open,0.03,29.0
R0093,Z04,Z04,12.813072,80.283457,12.904797,80.254944,8.0,3,medium,0.65,Open,0.08,18.0
R0094,Z04,Z04,12.891806,80.187451,12.883825,80.14831,5.06,3,medium,0.8,Open,0.01,14.0
R0095,Z04,Z01,12.875143,80.123884,13.105067,80.276132,8.0,2,low,0.65,Open,0.03,17.0
R0096,Z04,Z04,12.924645,80.211452,12.847954,80.110627,8.0,3,medium,0.45,Open,0.06,19.0
R0097,Z04,Z01,12.92456,80.1695,13.169345,80.289694,8.0,5,low,0.1,Open,0.01,18.0
R0098,Z01,Z05,13.147743,80.284721,13.044436,80.130103,8.0,4,low,0.1,Open,0.0,15.0
R0099,Z05,Z05,13.000316,80.142753,13.014101,80.1717,4.12,4,low,0.45,Open,0.05,8.0
R0100,Z01,Z01,13.169345,80.289694,13.193623,80.18198,8.0,2,high,0.65,Open,0.03,24.0
R0101,Z03,Z02,12.967702,80.295155,13.092675,80.222162,8.0,5,medium,0.45,Open,0.04,21.0
R0102,Z04,Z04,12.898931,80.202202,12.894591,80.133396,8.0,4,medium,0.45,Open,0.02,22.0
R0103,Z05,Z01,12.976348,80.167709,13.129196,80.193715,8.0,2,medium,0.45,Open,0.11,22.0
R0104,Z01,Z05,13.167691,80.214004,12.99902,80.15525,8.0,4,high,0.1,Open,0.07,28.0
R0105,Z02,Z05,13.068834,80.22901,12.988979,80.169063,8.0,3,low,0.45,Open,0.06,18.0
R0106,Z01,Z01,13.149476,80.247158,13.174765,80.208693,5.99,3,medium,0.45,Open,0.04,17.0
R0107,Z05,Z04,13.081149,80.198629,12.812437,80.226885,8.0,1,low,0.3,Open,0.01,16.0
R0108,Z05,Z01,13.107108,80.178339,13.142228,80.220438,7.21,4,high,0.45,Open,0.1,29.0
R0109,Z03,Z04,12.998076,80.256593,12.817928,80.195278,8.0,5,high,0.1,Open,0.01,26.0
R0110,Z02,Z04,13.067617,80.271861,12.879417,80.282199,8.0,5,high,0.45,Open,0.02,26.0
R0111,Z05,Z02,13.150376,80.129118,13.081824,80.21119,8.0,3,high,0.1,Open,0.11,28.0
R0112,Z01,Z01,13.137073,80.212321,13.18451,80.114959,8.0,1,high,0.8,Open,0.0,27.0
R0113,Z01,Z05,13.167547,80.144491,13.042466,80.21764,8.0,4,medium,0.25,Open,0.08,18.0
R0114,Z04,Z01,12.907477,80.287235,13.16312,80.183735,8.0,3,medium,0.1,Open,0.0,21.0
R0115,Z05,Z02,12.987818,80.100186,13.106529,80.237467,8.0,2,medium,0.45,Open,0.02,18.0
R0116,Z05,Z04,13.091225,80.155214,12.932051,80.148993,8.0,4,low,0.45,Open,0.01,19.0
R0117,Z05,Z04,13.047683,80.153537,12.958391,80.172063,8.0,1,low,0.25,Blocked,0.83,
R0118,Z04,Z04,12.859067,80.231287,12.943812,80.259902,8.0,2,high,0.25,Open,0.11,25.0
R0119,Z05,Z04,13.12541,80.121223,12.87369,80.122421,8.0,5,low,0.8,Open,0.11,15.0
R0120,Z03,Z04,12.980328,80.276252,12.891836,80.196124,8.0,1,medium,0.45,Open,0.09,21.0
R0121,Z01,Z05,13.149476,80.247158,13.123045,80.148689,8.0,5,high,0.6,Open,0.08,24.0
R0122,Z03,Z04,12.999059,80.280725,12.926157,80.209326,8.0,1,low,0.1,Open,0.0,18.0
R0123,Z04,Z04,12.842879,80.206219,12.875182,80.149177,8.0,5,low,0.3,Open,0.08,17.0
R0124,Z03,Z04,12.999181,80.277455,12.808191,80.293183,8.0,4,high,0.8,Open,0.06,31.0
R0125,Z05,Z04,12.961216,80.143204,12.838996,80.122011,8.0,3,medium,0.25,Open,0.07,20.0
R0126,Z01,Z04,13.16345,80.183127,12.894547,80.239536,8.0,3,high,0.45,Open,0.05,27.0
R0127,Z05,Z01,12.987569,80.123886,13.12168,80.276868,8.0,1,low,0.4,Open,0.07,18.0
R0128,Z01,Z04,13.135463,80.162444,12.861826,80.265206,8.0,4,medium,0.45,Open,0.11,23.0
R0129,Z04,Z01,12.811739,80.285293,13.158031,80.28661,8.0,3,low,0.45,Open,0.08,16.0
R0130,Z03,Z05,12.975701,80.277032,13.06505,80.182482,8.0,2,medium,0.3,Open,0.04,23.0
R0131,Z05,Z01,13.035809,80.170197,13.167903,80.176007,8.0,3,low,0.45,Open,0.09,17.0
R0132,Z01,Z05,13.140114,80.294483,12.976976,80.118113,8.0,3,medium,0.45,Open,0.06,22.0
R0133,Z04,Z05,12.872674,80.164163,13.008102,80.163526,8.0,5,high,0.25,Open,0.03,25.0
R0134,Z04,Z04,12.893003,80.238972,12.886495,80.169046,8.0,4,medium,0.45,Open,0.05,22.0
R0135,Z04,Z03,12.975961,80.243145,12.973798,80.263565,2.6,2,medium,0.45,Open,0.05,6.0
R0136,Z04,Z05,12.867406,80.178225,13.062486,80.134961,8.0,2,high,0.25,Open,0.05,24.0
R0137,Z03,Z04,12.96236,80.293919,12.915258,80.278309,6.83,2,medium,0.8,Open,0.08,19.0
R0138,Z04,Z01,12.900778,80.288994,13.177552,80.271978,8.0,2,low,0.45,Open,0.02,16.0
R0139,Z01,Z01,13.143699,80.197399,13.166828,80.188292,3.41,5,low,0.25,Open,0.08,7.0
R0140,Z01,Z04,13.184877,80.180381,12.873679,80.223603,8.0,1,medium,0.25,Open,0.05,19.0
R0141,Z04,Z01,12.870341,80.234878,13.094119,80.284916,8.0,2,low,0.25,Open,0.02,18.0
R0142,Z02,Z04,13.111716,80.222097,12.942369,80.162074,8.0,3,high,0.1,Open,0.08,31.0
R0143,Z03,Z04,12.966488,80.267471,12.906363,80.241672,8.0,4,high,0.65,Open,0.04,32.0
R0144,Z01,Z05,13.177969,80.157725,13.08506,80.150247,8.0,2,medium,0.3,Open,0.11,21.0
R0145,Z01,Z04,13.159211,80.181916,12.957745,80.233285,8.0,3,medium,0.45,Open,0.08,23.0
R0146,Z04,Z04,12.891836,80.196124,12.854975,80.142989,8.0,2,medium,0.45,Open,0.11,19.0
R0147,Z04,Z04,12.961039,80.232411,12.971146,80.213738,2.74,2,low,0.65,Open,0.07,5.0
R0148,Z04,Z04,12.842658,80.154615,12.869193,80.188647,5.66,1,medium,0.3,Blocked,1.05,
R0149,Z02,Z01,13.09037,80.256853,13.129933,80.280226,6.23,3,low,0.65,Open,0.06,13.0
R0150,Z04,Z05,12.889813,80.170269,13.032356,80.200645,8.0,3,medium,0.3,Open,0.08,20.0
R0151,Z02,Z04,13.088205,80.282326,12.812437,80.226885,8.0,5,low,0.1,Open,0.1,16.0
R0152,Z05,Z02,12.99838,80.191239,13.087316,80.226797,8.0,4,medium,0.45,Open,0.04,24.0
R0153,Z05,Z01,13.064537,80.113732,13.121918,80.212704,8.0,6,high,0.5,Open,0.03,27.0
R0154,Z04,Z03,12.945768,80.149835,12.97823,80.296513,8.0,3,medium,0.45,Open,0.01,19.0
R0155,Z01,Z01,13.181795,80.130798,13.186773,80.223555,8.0,3,medium,0.45,Open,0.0,21.0
R0156,Z04,Z04,12.886631,80.227444,12.943812,80.259902,8.0,4,medium,0.3,Open,0.02,19.0
R0157,Z03,Z01,12.993764,80.252691,13.187635,80.248699,8.0,1,high,0.6,Open,0.04,29.0
R0158,Z03,Z01,13.009107,80.261191,13.191555,80.225763,8.0,2,medium,0.8,Open,0.01,19.0
R0159,Z04,Z04,12.812437,80.226885,12.869058,80.103925,8.0,3,low,0.6,Open,0.04,15.0
R0160,Z04,Z01,12.952884,80.217683,13.132385,80.271048,8.0,3,medium,0.3,Open,0.05,19.0
R0161,Z05,Z01,13.09512,80.128594,13.093869,80.295687,8.0,2,medium,0.65,Open,0.09,19.0
R0162,Z05,Z05,12.961216,80.143204,12.997809,80.156798,5.36,6,medium,0.25,Open,0.05,13.0
R0163,Z05,Z04,12.990756,80.164036,12.85634,80.186779,8.0,5,high,0.3,Open,0.06,27.0
R0164,Z03,Z04,13.012712,80.282714,12.842031,80.250212,8.0,5,high,0.25,Open,0.06,26.0
R0165,Z02,Z01,13.068598,80.292772,13.131262,80.286444,8.0,4,low,0.45,Open,0.11,16.0
R0166,Z05,Z05,13.101572,80.122991,13.109903,80.151201,3.74,4,medium,0.1,Open,0.05,10.0
R0167,Z04,Z04,12.906044,80.187186,12.942369,80.162074,5.95,4,medium,0.8,Open,0.07,17.0
R0168,Z05,Z04,13.118581,80.15622,12.807691,80.256604,8.0,5,medium,0.8,Open,0.01,20.0
R0169,Z05,Z01,13.064537,80.113732,13.166652,80.263692,8.0,2,low,0.1,Open,0.06,16.0
R0170,Z01,Z05,13.162541,80.20427,13.049983,80.218772,8.0,3,medium,0.1,Open,0.11,22.0
R0171,Z02,Z04,13.108131,80.205146,12.813706,80.248714,8.0,1,medium,0.45,Open,0.07,23.0
R0172,Z03,Z04,13.009107,80.261191,12.955984,80.227487,8.0,3,medium,0.45,Open,0.11,19.0
R0173,Z02,Z05,13.053037,80.256862,13.06505,80.182482,8.0,1,low,0.45,Open,0.09,17.0
R0174,Z04,Z04,12.80087,80.220097,12.874943,80.165694,8.0,3,high,0.45,Open,0.02,27.0
R0175,Z01,Z05,13.173527,80.257474,13.04665,80.155475,8.0,4,medium,0.45,Open,0.11,24.0
R0176,Z04,Z03,12.954767,80.197839,12.935986,80.285514,8.0,3,high,0.65,Open,0.05,31.0
R0177,Z05,Z05,13.0745,80.173078,12.956083,80.12766,8.0,6,low,0.3,Open,0.08,15.0
R0178,Z01,Z05,13.127236,80.250878,13.137303,80.112927,8.0,2,medium,0.25,Open,0.03,21.0
R0179,Z04,Z01,12.839494,80.177933,13.165904,80.143318,8.0,4,medium,0.1,Open,0.01,19.0
R0180,Z03,Z03,12.964571,80.275668,12.995462,80.268444,4.38,4,medium,0.65,Open,0.03,12.0
R0181,Z04,Z01,12.923608,80.226417,13.118676,80.26437,8.0,5,high,0.8,Open,0.0,24.0
R0182,Z03,Z04,12.939717,80.288367,12.838715,80.152143,8.0,4,medium,0.25,Open,0.07,18.0
R0183,Z03,Z01,12.964571,80.275668,13.188372,80.210934,8.0,2,high,0.4,Open,0.08,28.0
R0184,Z04,Z04,12.845869,80.164399,12.913284,80.291148,8.0,4,high,0.65,Open,0.09,29.0
R0185,Z05,Z04,13.035809,80.170197,12.950513,80.235487,8.0,6,medium,0.8,Open,0.07,24.0
R0186,Z05,Z04,13.091225,80.155214,12.964245,80.198068,8.0,6,low,0.6,Open,0.04,17.0
R0187,Z04,Z01,12.849446,80.297604,13.172928,80.157062,8.0,1,low,0.45,Open,0.08,16.0
R0188,Z01,Z05,13.162541,80.20427,13.017884,80.180292,8.0,3,low,0.45,Open,0.02,16.0
R0189,Z04,Z01,12.815252,80.187181,13.128612,80.230974,8.0,3,high,0.3,Open,0.0,31.0
R0190,Z05,Z04,13.065783,80.176373,12.954767,80.197839,8.0,3,medium,0.3,Open,0.11,23.0
R0191,Z01,Z03,13.149879,80.255234,13.03324,80.223743,8.0,2,high,0.45,Open,0.1,30.0
R0192,Z05,Z02,13.081496,80.105161,13.080749,80.244853,8.0,6,high,0.25,Open,0.11,28.0
R0193,Z03,Z02,12.935516,80.290446,13.11454,80.20678,8.0,4,medium,0.45,Open,0.09,19.0
R0194,Z05,Z04,13.014101,80.1717,12.987802,80.242276,8.0,3,low,0.3,Open,0.03,17.0
R0195,Z04,Z03,12.867469,80.25476,13.026355,80.287258,8.0,5,low,0.65,Open,0.07,18.0
R0196,Z04,Z02,12.906455,80.268365,13.087712,80.208296,8.0,5,high,0.1,Open,0.05,24.0
R0197,Z01,Z04,13.100773,80.262566,12.813706,80.248714,8.0,3,low,0.45,Open,0.09,18.0
R0198,Z05,Z04,13.176593,80.10742,12.932051,80.148993,8.0,3,medium,0.3,Open,0.07,22.0
R0199,Z04,Z05,12.952884,80.217683,13.049284,80.173524,8.0,2,low,0.25,Open,0.02,16.0
R0200,Z01,Z01,13.155989,80.182345,13.147494,80.297726,8.0,2,high,0.3,Open,0.09,25.0
R0201,Z03,Z05,13.01833,80.254082,13.06505,80.182482,8.0,3,low,0.45,Open,0.03,18.0
R0202,Z05,Z05,13.007891,80.196701,13.097721,80.137652,8.0,1,medium,0.3,Open,0.11,20.0
R0203,Z05,Z05,12.945861,80.117513,13.008078,80.132941,8.0,3,medium,0.1,Open,0.04,22.0
R0204,Z01,Z05,13.195995,80.247978,13.154714,80.110486,8.0,3,medium,0.85,Open,0.01,24.0
R0205,Z02,Z04,13.081824,80.21119,12.885827,80.187077,8.0,1,low,0.45,Open,0.02,17.0
R0206,Z02,Z05,13.058866,80.265862,13.153794,80.125494,8.0,2,medium,0.6,Open,0.12,24.0
R0207,Z03,Z01,13.03915,80.231203,13.128761,80.276771,8.0,2,low,0.65,Open,0.09,19.0
R0208,Z05,Z01,12.984628,80.119289,13.193955,80.193922,8.0,4,low,0.6,Open,0.09,16.0
R0209,Z04,Z05,12.994957,80.201406,13.007891,80.196701,1.89,2,medium,0.45,Open,0.0,6.0
R0210,Z05,Z01,13.046763,80.11623,13.127236,80.250878,8.0,2,high,1.0,Blocked,1.14,
R0211,Z04,Z04,12.939106,80.205161,12.875156,80.19871,8.0,3,high,0.45,Open,0.06,30.0
R0212,Z01,Z05,13.106815,80.243752,12.945861,80.117513,8.0,3,medium,0.1,Open,0.08,23.0
R0213,Z04,Z05,12.948804,80.158977,12.99717,80.150724,6.79,3,low,0.1,Open,0.05,12.0
R0214,Z04,Z04,12.971275,80.177049,12.868863,80.161858,8.0,4,medium,0.8,Open,0.01,22.0
R0215,Z05,Z01,12.986734,80.15425,13.134177,80.290553,8.0,2,medium,0.3,Open,0.06,21.0
R0216,Z03,Z04,12.935986,80.285514,12.922646,80.237274,6.37,2,low,0.3,Open,0.08,15.0
R0217,Z04,Z04,12.92935,80.201991,12.898931,80.202202,4.22,3,medium,0.45,Blocked,0.61,
R0218,Z05,Z04,13.032356,80.200645,12.831183,80.13847,8.0,5,medium,0.45,Open,0.1,20.0
R0219,Z05,Z04,13.019148,80.172093,12.945712,80.191529,8.0,4,high,1.0,Open,0.03,28.0
R0220,Z01,Z04,13.193623,80.18198,12.843655,80.272743,8.0,6,high,0.65,Open,0.03,29.0
R0221,Z02,Z04,13.079539,80.290415,12.958422,80.16674,8.0,2,medium,0.1,Open,0.0,19.0
R0222,Z05,Z04,12.961216,80.143204,12.869193,80.188647,8.0,2,medium,0.45,Open,0.11,19.0
R0223,Z01,Z04,13.160828,80.197208,12.873369,80.104395,8.0,4,medium,0.1,Open,0.11,23.0
R0224,Z04,Z04,12.845198,80.228129,12.850497,80.230316,0.79,6,low,0.65,Open,0.04,2.0
R0225,Z05,Z05,13.042466,80.21764,13.150067,80.119374,8.0,3,medium,0.45,Open,0.03,20.0
R0226,Z04,Z01,12.93666,80.280177,13.173527,80.257474,8.0,2,medium,0.6,Open,0.09,22.0
R0227,Z01,Z04,13.188013,80.109279,12.860095,80.242405,8.0,2,high,0.1,Open,0.05,31.0
R0228,Z04,Z04,12.999528,80.213555,12.867929,80.29808,8.0,5,low,0.3,Open,0.01,17.0
R0229,Z01,Z04,13.134177,80.290553,12.817781,80.109314,8.0,1,low,0.65,Open,0.05,17.0
R0230,Z01,Z01,13.158031,80.28661,13.166828,80.188292,8.0,2,medium,0.4,Open,0.12,22.0
R0231,Z05,Z03,13.034166,80.209832,12.990661,80.299722,8.0,3,medium,0.6,Open,0.0,19.0
R0232,Z04,Z05,12.971146,80.213738,12.965027,80.149211,8.0,4,high,0.25,Open,0.01,27.0
R0233,Z04,Z03,12.825091,80.189388,13.03042,80.246426,8.0,4,low,0.45,Open,0.03,16.0
R0234,Z01,Z04,13.181225,80.265065,12.894547,80.239536,8.0,4,low,0.1,Open,0.03,15.0
R0235,Z04,Z04,12.803447,80.190025,12.875182,80.149177,8.0,2,medium,0.1,Open,0.01,23.0
R0236,Z05,Z04,12.977825,80.148657,12.810332,80.237123,8.0,4,medium,0.65,Open,0.11,24.0
R0237,Z04,Z05,12.803783,80.148517,13.014101,80.1717,8.0,2,medium,0.75,Open,0.01,20.0
R0238,Z04,Z04,12.828512,80.133987,12.83582,80.152778,2.58,5,low,0.4,Open,0.03,5.0
R0239,Z04,Z05,12.917935,80.266571,13.075732,80.122892,8.0,3,medium,0.65,Open,0.12,20.0
R0240,Z02,Z04,13.081824,80.21119,12.892252,80.203265,8.0,2,high,0.25,Open,0.09,26.0
R0241,Z04,Z01,12.916615,80.103924,13.172928,80.157062,8.0,3,medium,0.1,Open,0.07,18.0
R0242,Z01,Z04,13.163468,80.170432,12.803783,80.148517,8.0,4,high,0.1,Blocked,1.2,
R0243,Z02,Z01,13.049683,80.244644,13.183117,80.261954,8.0,5,low,0.45,Open,0.11,15.0
R0244,Z04,Z01,12.840434,80.180347,13.162541,80.20427,8.0,3,high,0.45,Open,0.04,24.0
R0245,Z04,Z04,12.832497,80.256613,12.875156,80.19871,8.0,3,high,0.1,Open,0.03,32.0
R0246,Z03,Z05,13.032946,80.298525,12.968578,80.157711,8.0,3,low,0.45,Open,0.08,18.0
R0247,Z04,Z05,12.838996,80.122011,13.15716,80.108805,8.0,1,medium,0.3,Open,0.02,21.0
R0248,Z02,Z04,13.095082,80.241801,12.884422,80.152359,8.0,4,low,0.25,Open,0.04,15.0
R0249,Z04,Z02,12.971146,80.213738,13.095916,80.223158,8.0,5,medium,0.85,Open,0.1,19.0
