event_id,cell_id,zone_id,zone_name,rainfall_mm_day,flood_index,response_stage,hour,minute
E00084,Z02-022,Z02,Central Chennai,7.3,0.793,Evacuation,8,3
E00085,Z04-044,Z04,Velachery,7.0,1.168,Emergency,9,26
E00086,Z01-037,Z01,North Chennai,7.3,1.021,Emergency,11,22
E00087,Z03-063,Z03,Adyar,8.1,1.431,Emergency,0,12
E00088,Z04-100,Z04,Velachery,8.3,1.135,Warning,19,19
E00089,Z04-070,Z04,Velachery,21.3,2.189,Evacuation,12,56
E00090,Z02-008,Z02,Central Chennai,12.0,1.141,Warning,4,32
E00091,Z01-045,Z01,North Chennai,20.4,2.554,Normal,17,30
E00092,Z02-037,Z02,Central Chennai,14.1,1.169,Emergency,12,45
E00093,Z02-019,Z02,Central Chennai,12.2,1.317,Evacuation,21,39
E00094,Z01-041,Z01,North Chennai,20.1,2.782,Warning,1,56
E00095,Z01-010,Z01,North Chennai,8.0,1.41,Normal,11,49
E00096,Z05-008,Z05,South-West Chennai,12.4,1.923,Evacuation,1,47
E00097,Z03-032,Z03,Adyar,7.6,0.879,Warning,17,31
E00098,Z05-085,Z05,South-West Chennai,3.2,0.285,Evacuation,17,54
E00099,Z01-002,Z01,North Chennai,14.7,1.98,Emergency,4,49
E00100,Z04-094,Z04,Velachery,3.0,0.398,Evacuation,0,24
E00101,Z02-044,Z02,Central Chennai,8.2,0.927,Warning,20,10
E00102,Z01-037,Z01,North Chennai,7.6,1.067,Emergency,23,14
E00103,Z05-097,Z05,South-West Chennai,2.0,0.271,Warning,16,41
E00104,Z02-098,Z02,Central Chennai,15.7,1.8,Warning,21,51
E00105,Z01-040,Z01,North Chennai,12.3,1.794,Normal,6,21
E00106,Z03-016,Z03,Adyar,11.2,1.66,Warning,11,9
E00107,Z04-057,Z04,Velachery,9.3,1.105,Evacuation,3,8
E00108,Z03-054,Z03,Adyar,3.0,0.306,Emergency,1,55
E00109,Z01-007,Z01,North Chennai,3.3,0.429,Evacuation,11,49
E00110,Z02-073,Z02,Central Chennai,8.2,0.906,Warning,6,28
E00111,Z02-002,Z02,Central Chennai,2.0,0.269,Emergency,0,40
E00112,Z03-065,Z03,Adyar,14.2,1.832,Warning,23,11
E00113,Z03-034,Z03,Adyar,8.3,1.16,Evacuation,16,11
E00114,Z04-005,Z04,Velachery,2.7,0.346,Warning,16,51
E00115,Z01-083,Z01,North Chennai,16.1,1.567,Emergency,13,5
E00116,Z05-074,Z05,South-West Chennai,3.3,0.314,Evacuation,8,12
E00117,Z02-039,Z02,Central Chennai,2.7,0.288,Evacuation,22,21
E00118,Z03-083,Z03,Adyar,3.9,0.326,Evacuation,3,46
E00119,Z01-057,Z01,North Chennai,2.4,0.368,Evacuation,4,10
E00120,Z04-014,Z04,Velachery,12.8,1.457,Evacuation,10,33
E00121,Z03-023,Z03,Adyar,8.0,0.995,Evacuation,11,42
E00122,Z02-093,Z02,Central Chennai,2.3,0.264,Normal,9,38
E00123,Z01-005,Z01,North Chennai,11.8,1.043,Warning,12,33
E00124,Z02-082,Z02,Central Chennai,8.2,0.81,Warning,7,53
E00125,Z04-055,Z04,Velachery,9.5,1.291,Evacuation,11,43
E00126,Z01-073,Z01,North Chennai,10.5,1.079,Warning,12,34
E00127,Z05-032,Z05,South-West Chennai,2.0,0.211,Normal,20,16
E00128,Z01-051,Z01,North Chennai,2.6,0.362,Emergency,18,40
E00129,Z03-091,Z03,Adyar,14.9,1.74,Evacuation,4,44
E00130,Z02-085,Z02,Central Chennai,2.4,0.29,Evacuation,6,25
E00131,Z02-097,Z02,Central Chennai,2.4,0.23,Evacuation,1,41
E00132,Z01-081,Z01,North Chennai,14.0,2.244,Normal,5,45
E00133,Z03-089,Z03,Adyar,3.0,0.346,Warning,2,48
E00134,Z05-024,Z05,South-West Chennai,9.4,0.841,Emergency,2,8
E00135,Z04-100,Z04,Velachery,8.8,1.235,Warning,2,22
E00136,Z05-007,Z05,South-West Chennai,3.3,0.237,Evacuation,16,34
E00137,Z02-097,Z02,Central Chennai,2.0,0.266,Warning,19,35
E00138,Z05-042,Z05,South-West Chennai,2.4,0.232,Normal,2,25
E00139,Z01-028,Z01,North Chennai,2.5,0.284,Warning,12,57
E00140,Z01-009,Z01,North Chennai,2.9,0.292,Warning,17,29
E00141,Z04-099,Z04,Velachery,11.7,1.432,Evacuation,6,22
E00142,Z04-051,Z04,Velachery,10.4,1.226,Emergency,19,35
E00143,Z05-015,Z05,South-West Chennai,20.9,1.577,Warning,11,47
E00144,Z04-066,Z04,Velachery,10.3,1.237,Evacuation,20,59
E00145,Z03-033,Z03,Adyar,7.7,1.235,Warning,7,26
E00146,Z05-022,Z05,South-West Chennai,12.0,1.428,Evacuation,17,46
E00147,Z02-001,Z02,Central Chennai,8.4,0.928,Evacuation,21,48
E00148,Z03-084,Z03,Adyar,12.5,1.785,Normal,3,57
E00149,Z01-089,Z01,North Chennai,9.1,0.821,Warning,20,11
E00150,Z01-019,Z01,North Chennai,7.3,0.994,Evacuation,11,2
E00151,Z03-054,Z03,Adyar,2.3,0.308,Warning,13,4
E00152,Z01-050,Z01,North Chennai,2.6,0.264,Emergency,18,32
E00153,Z03-009,Z03,Adyar,7.0,0.89,Warning,4,15
E00154,Z02-039,Z02,Central Chennai,2.9,0.324,Evacuation,1,12
E00155,Z03-035,Z03,Adyar,9.8,1.542,Evacuation,3,58
E00156,Z04-048,Z04,Velachery,8.7,1.289,Evacuation,1,6
E00157,Z05-045,Z05,South-West Chennai,2.9,0.285,Warning,12,22
E00158,Z05-016,Z05,South-West Chennai,8.6,0.889,Normal,18,14
E00159,Z03-097,Z03,Adyar,13.5,1.967,Emergency,5,23
E00160,Z02-009,Z02,Central Chennai,3.5,0.276,Warning,17,28
E00161,Z05-055,Z05,South-West Chennai,14.6,1.675,Evacuation,19,0
E00162,Z01-044,Z01,North Chennai,16.0,1.536,Warning,6,3
E00163,Z04-065,Z04,Velachery,11.7,2.077,Warning,5,42
E00164,Z05-043,Z05,South-West Chennai,12.2,1.089,Warning,8,15
E00165,Z04-002,Z04,Velachery,3.0,0.332,Normal,21,14
E00166,Z02-006,Z02,Central Chennai,2.3,0.233,Normal,4,10
E00167,Z05-055,Z05,South-West Chennai,16.2,1.575,Evacuation,10,32
E00168,Z05-087,Z05,South-West Chennai,16.2,2.289,Evacuation,16,10
E00169,Z03-090,Z03,Adyar,9.1,1.149,Warning,19,40
E00170,Z05-057,Z05,South-West Chennai,7.8,0.753,Evacuation,7,55
E00171,Z04-089,Z04,Velachery,11.7,1.455,Warning,16,37
E00172,Z05-065,Z05,South-West Chennai,19.3,1.523,Evacuation,18,31
E00173,Z03-035,Z03,Adyar,8.9,1.303,Evacuation,6,24
E00174,Z03-072,Z03,Adyar,3.8,0.438,Evacuation,11,49
E00175,Z01-032,Z01,North Chennai,11.9,1.201,Warning,13,58
E00176,Z01-060,Z01,North Chennai,9.5,1.242,Evacuation,18,39
E00177,Z02-078,Z02,Central Chennai,16.5,1.804,Normal,14,45
E00178,Z04-093,Z04,Velachery,9.5,1.133,Evacuation,9,48
E00179,Z02-037,Z02,Central Chennai,9.3,1.098,Normal,14,0
E00180,Z05-092,Z05,South-West Chennai,11.4,0.98,Emergency,4,20
E00181,Z02-095,Z02,Central Chennai,15.6,1.523,Normal,5,28
E00182,Z01-054,Z01,North Chennai,3.6,0.446,Normal,12,47
E00183,Z05-075,Z05,South-West Chennai,2.6,0.225,Evacuation,10,6
E00184,Z02-047,Z02,Central Chennai,7.7,0.822,Evacuation,17,16
E00185,Z01-037,Z01,North Chennai,7.4,1.218,Warning,7,4
E00186,Z02-016,Z02,Central Chennai,17.0,1.494,Evacuation,11,11
E00187,Z03-043,Z03,Adyar,2.5,0.311,Normal,15,19
E00188,Z03-058,Z03,Adyar,3.0,0.288,Warning,16,55
E00189,Z02-085,Z02,Central Chennai,3.3,0.24,Evacuation,20,34
E00190,Z03-068,Z03,Adyar,2.2,0.246,Emergency,4,49
E00191,Z04-085,Z04,Velachery,2.6,0.311,Warning,1,1
E00192,Z01-004,Z01,North Chennai,13.0,1.513,Warning,14,9
E00193,Z01-006,Z01,North Chennai,9.4,1.014,Warning,21,55
E00194,Z02-029,Z02,Central Chennai,2.7,0.327,Warning,15,10
E00195,Z03-070,Z03,Adyar,18.6,1.959,Evacuation,18,57
E00196,Z04-021,Z04,Velachery,17.2,1.785,Warning,14,27
E00197,Z04-015,Z04,Velachery,2.4,0.385,Warning,4,56
E00198,Z02-035,Z02,Central Chennai,6.9,0.758,Warning,11,45
E00199,Z05-036,Z05,South-West Chennai,3.3,0.366,Warning,7,9
E00200,Z05-061,Z05,South-West Chennai,9.3,1.064,Evacuation,22,53
E00201,Z04-084,Z04,Velachery,2.4,0.346,Evacuation,3,58
E00202,Z05-008,Z05,South-West Chennai,16.0,1.793,Evacuation,20,35
E00203,Z01-020,Z01,North Chennai,8.2,0.82,Emergency,20,58
E00204,Z05-025,Z05,South-West Chennai,9.8,0.794,Evacuation,8,29
E00205,Z05-014,Z05,South-West Chennai,9.0,1.011,Evacuation,12,40
E00206,Z01-068,Z01,North Chennai,3.2,0.434,Warning,13,14
E00207,Z03-008,Z03,Adyar,11.5,1.151,Evacuation,13,28
E00208,Z05-070,Z05,South-West Chennai,20.8,1.761,Warning,21,13
E00209,Z02-100,Z02,Central Chennai,9.0,0.813,Evacuation,5,9
E00210,Z03-080,Z03,Adyar,15.2,1.758,Warning,14,31
E00211,Z04-038,Z04,Velachery,10.9,1.614,Evacuation,0,33
E00212,Z02-070,Z02,Central Chennai,9.2,0.928,Evacuation,3,46
E00213,Z02-100,Z02,Central Chennai,6.5,0.967,Warning,13,34
E00214,Z05-012,Z05,South-West Chennai,2.5,0.287,Warning,2,5
E00215,Z05-096,Z05,South-West Chennai,2.7,0.26,Evacuation,13,29
E00216,Z01-073,Z01,North Chennai,9.7,1.143,Normal,1,54
E00217,Z03-003,Z03,Adyar,3.0,0.329,Evacuation,21,44
E00218,Z03-053,Z03,Adyar,9.6,1.435,Emergency,4,29
E00219,Z05-089,Z05,South-West Chennai,3.1,0.284,Warning,21,57
E00220,Z02-026,Z02,Central Chennai,3.1,0.311,Evacuation,13,47
E00221,Z03-079,Z03,Adyar,12.3,1.259,Warning,7,28
E00222,Z04-045,Z04,Velachery,17.0,1.939,Evacuation,17,23
E00223,Z05-008,Z05,South-West Chennai,17.4,1.444,Emergency,17,12
E00224,Z01-015,Z01,North Chennai,12.8,2.147,Evacuation,23,57
E00225,Z04-019,Z04,Velachery,10.4,1.666,Evacuation,18,59
E00226,Z02-069,Z02,Central Chennai,8.4,0.845,Normal,0,8
E00227,Z05-062,Z05,South-West Chennai,12.9,1.625,Warning,1,34
E00228,Z05-049,Z05,South-West Chennai,3.1,0.314,Warning,11,35
E00229,Z01-023,Z01,North Chennai,9.5,1.066,Warning,22,46
E00230,Z03-067,Z03,Adyar,2.3,0.347,Normal,10,40
E00231,Z03-093,Z03,Adyar,10.8,1.033,Warning,2,44
E00232,Z03-042,Z03,Adyar,9.4,1.148,Warning,22,38
E00233,Z02-047,Z02,Central Chennai,8.4,1.054,Emergency,7,8
E00234,Z01-056,Z01,North Chennai,2.7,0.341,Normal,7,27
E00235,Z02-039,Z02,Central Chennai,2.2,0.3,Evacuation,2,7
E00236,Z02-099,Z02,Central Chennai,22.1,1.43,Evacuation,10,31
E00237,Z03-062,Z03,Adyar,3.0,0.295,Warning,14,42
E00238,Z04-052,Z04,Velachery,17.8,2.274,Emergency,9,59
E00239,Z03-065,Z03,Adyar,12.3,1.513,Normal,4,59
E00240,Z02-100,Z02,Central Chennai,7.9,0.92,Warning,13,11
E00241,Z05-026,Z05,South-West Chennai,11.0,1.177,Evacuation,2,15
E00242,Z01-011,Z01,North Chennai,2.4,0.351,Normal,13,12
E00243,Z02-032,Z02,Central Chennai,8.7,0.825,Evacuation,22,59
E00244,Z05-074,Z05,South-West Chennai,3.3,0.313,Emergency,8,5
E00245,Z04-014,Z04,Velachery,9.0,1.508,Emergency,13,0
E00246,Z04-021,Z04,Velachery,11.8,1.521,Normal,19,15
E00247,Z05-042,Z05,South-West Chennai,2.8,0.205,Warning,14,7
E00248,Z05-039,Z05,South-West Chennai,7.7,1.0,Warning,10,6
E00249,Z03-033,Z03,Adyar,8.6,0.971,Warning,9,40
E00250,Z02-030,Z02,Central Chennai,8.9,0.863,Emergency,0,15
E00251,Z03-032,Z03,Adyar,9.1,1.053,Warning,6,1
E00252,Z04-008,Z04,Velachery,6.1,1.197,Evacuation,12,52
E00253,Z05-036,Z05,South-West Chennai,3.6,0.331,Warning,11,40
E00254,Z03-048,Z03,Adyar,8.4,1.188,Normal,16,22
E00255,Z05-007,Z05,South-West Chennai,2.4,0.221,Warning,0,59
E00256,Z04-002,Z04,Velachery,3.2,0.287,Evacuation,13,7
E00257,Z04-002,Z04,Velachery,2.4,0.338,Evacuation,11,29
E00258,Z01-056,Z01,North Chennai,3.1,0.33,Warning,2,48
E00259,Z02-065,Z02,Central Chennai,13.1,1.369,Evacuation,16,14
E00260,Z04-051,Z04,Velachery,8.9,1.16,Evacuation,6,18
E00261,Z01-062,Z01,North Chennai,7.4,0.888,Emergency,1,20
E00262,Z01-089,Z01,North Chennai,7.1,0.997,Evacuation,7,14
E00263,Z01-032,Z01,North Chennai,12.3,1.477,Warning,7,35
E00264,Z05-009,Z05,South-West Chennai,1.8,0.234,Normal,14,16
E00265,Z03-076,Z03,Adyar,3.1,0.309,Normal,4,37
E00266,Z01-043,Z01,North Chennai,8.7,1.359,Warning,3,10
E00267,Z03-028,Z03,Adyar,10.5,1.322,Warning,15,54
E00268,Z05-025,Z05,South-West Chennai,7.8,0.757,Normal,6,28
E00269,Z04-045,Z04,Velachery,16.3,1.949,Normal,6,6
E00270,Z02-003,Z02,Central Chennai,2.8,0.345,Warning,10,25
E00271,Z02-065,Z02,Central Chennai,10.7,1.107,Emergency,16,24
E00272,Z05-080,Z05,South-West Chennai,9.0,0.807,Warning,11,47
E00273,Z03-095,Z03,Adyar,10.2,0.869,Evacuation,3,45
E00274,Z04-003,Z04,Velachery,16.9,2.081,Evacuation,4,7
E00275,Z04-029,Z04,Velachery,12.5,1.359,Emergency,23,45
E00276,Z01-033,Z01,North Chennai,9.0,1.064,Warning,20,58
E00277,Z02-072,Z02,Central Chennai,13.2,1.207,Normal,23,17
E00278,Z05-037,Z05,South-West Chennai,10.5,0.993,Evacuation,10,17
E00279,Z04-089,Z04,Velachery,12.0,1.491,Evacuation,17,32
E00280,Z03-074,Z03,Adyar,2.1,0.223,Warning,3,4
E00281,Z04-046,Z04,Velachery,9.1,0.953,Emergency,19,0
E00282,Z05-073,Z05,South-West Chennai,12.2,1.603,Warning,8,7
E00283,Z02-020,Z02,Central Chennai,3.0,0.293,Warning,7,32
E00284,Z02-094,Z02,Central Chennai,12.8,1.238,Warning,0,57
E00285,Z03-004,Z03,Adyar,3.3,0.321,Normal,5,25
E00286,Z03-014,Z03,Adyar,7.7,0.936,Warning,21,25
E00287,Z01-040,Z01,North Chennai,16.0,1.914,Emergency,16,31
E00288,Z01-049,Z01,North Chennai,15.4,1.478,Evacuation,14,19
E00289,Z03-027,Z03,Adyar,23.3,1.846,Emergency,11,7
E00290,Z01-100,Z01,North Chennai,10.7,1.478,Warning,19,44
E00291,Z02-036,Z02,Central Chennai,20.0,1.798,Evacuation,17,30
E00292,Z03-004,Z03,Adyar,2.5,0.36,Evacuation,8,15
E00293,Z02-052,Z02,Central Chennai,10.5,0.894,Normal,11,53
E00294,Z03-051,Z03,Adyar,7.6,1.138,Normal,22,13
E00295,Z01-089,Z01,North Chennai,6.1,0.836,Normal,2,52
E00296,Z02-057,Z02,Central Chennai,9.8,1.062,Emergency,7,3
E00297,Z05-021,Z05,South-West Chennai,19.8,2.177,Evacuation,16,2
E00298,Z01-089,Z01,North Chennai,8.6,0.93,Warning,23,50
E00299,Z03-033,Z03,Adyar,8.3,1.113,Evacuation,18,12
E00300,Z05-098,Z05,South-West Chennai,8.9,0.863,Warning,3,11
E00301,Z04-095,Z04,Velachery,20.8,2.012,Warning,6,55
E00302,Z05-011,Z05,South-West Chennai,17.1,1.761,Warning,9,46
E00303,Z03-017,Z03,Adyar,6.2,0.758,Warning,4,35
E00304,Z01-030,Z01,North Chennai,9.1,0.947,Emergency,1,3
E00305,Z03-060,Z03,Adyar,7.3,0.838,Evacuation,20,18
E00306,Z01-072,Z01,North Chennai,2.0,0.321,Normal,16,10
E00307,Z04-018,Z04,Velachery,3.3,0.397,Normal,18,34
E00308,Z01-084,Z01,North Chennai,9.5,1.334,Warning,6,28
E00309,Z05-040,Z05,South-West Chennai,2.3,0.321,Warning,12,28
E00310,Z01-042,Z01,North Chennai,9.9,1.655,Warning,16,47
E00311,Z03-039,Z03,Adyar,7.4,1.257,Warning,11,45
E00312,Z02-058,Z02,Central Chennai,10.7,0.914,Normal,13,0
E00313,Z04-084,Z04,Velachery,3.3,0.353,Normal,19,37
E00314,Z04-054,Z04,Velachery,9.0,1.583,Emergency,9,21
E00315,Z05-036,Z05,South-West Chennai,4.0,0.345,Warning,0,56
E00316,Z03-093,Z03,Adyar,9.4,1.331,Warning,4,16
E00317,Z01-002,Z01,North Chennai,12.9,1.921,Normal,23,9
E00318,Z02-047,Z02,Central Chennai,7.9,0.824,Normal,5,15
E00319,Z01-008,Z01,North Chennai,9.9,1.667,Emergency,20,19
E00320,Z01-096,Z01,North Chennai,6.7,1.036,Evacuation,19,26
E00321,Z02-011,Z02,Central Chennai,3.0,0.321,Evacuation,6,45
E00322,Z03-076,Z03,Adyar,2.7,0.251,Evacuation,3,8
E00323,Z03-001,Z03,Adyar,10.4,0.933,Normal,18,5
E00324,Z02-011,Z02,Central Chennai,2.5,0.262,Evacuation,15,50
E00325,Z01-079,Z01,North Chennai,10.5,1.406,Warning,11,59
E00326,Z02-045,Z02,Central Chennai,12.6,1.404,Evacuation,20,40
E00327,Z05-089,Z05,South-West Chennai,2.8,0.3,Evacuation,23,9
E00328,Z05-074,Z05,South-West Chennai,2.8,0.318,Evacuation,13,30
E00329,Z05-070,Z05,South-West Chennai,17.8,1.639,Evacuation,10,39
E00330,Z05-067,Z05,South-West Chennai,2.7,0.28,Emergency,21,15
E00331,Z05-038,Z05,South-West Chennai,8.4,0.767,Warning,10,47
E00332,Z01-066,Z01,North Chennai,16.6,2.042,Warning,6,48
E00333,Z02-034,Z02,Central Chennai,9.8,0.886,Warning,13,1
E00334,Z04-073,Z04,Velachery,10.8,1.434,Warning,11,15
E00335,Z02-097,Z02,Central Chennai,2.0,0.26,Warning,18,1
E00336,Z02-047,Z02,Central Chennai,9.9,0.8,Emergency,21,49
E00337,Z04-026,Z04,Velachery,7.9,1.063,Evacuation,20,46
E00338,Z04-049,Z04,Velachery,21.4,3.052,Warning,19,38
E00339,Z04-039,Z04,Velachery,16.7,2.443,Evacuation,3,34
E00340,Z04-100,Z04,Velachery,6.7,1.391,Warning,0,54
E00341,Z05-085,Z05,South-West Chennai,2.5,0.295,Evacuation,15,48
E00342,Z04-060,Z04,Velachery,3.3,0.438,Evacuation,4,43
E00343,Z04-100,Z04,Velachery,10.4,1.189,Evacuation,14,19
E00344,Z04-077,Z04,Velachery,9.2,1.351,Evacuation,11,39
E00345,Z01-049,Z01,North Chennai,16.7,1.6,Evacuation,21,19
E00346,Z02-010,Z02,Central Chennai,8.5,0.87,Warning,7,14
E00347,Z04-020,Z04,Velachery,7.6,0.995,Normal,14,52
E00348,Z05-020,Z05,South-West Chennai,18.0,1.966,Evacuation,12,17
E00349,Z01-046,Z01,North Chennai,7.1,0.942,Evacuation,0,37
E00350,Z04-013,Z04,Velachery,12.4,1.146,Warning,3,8
E00351,Z04-022,Z04,Velachery,1.9,0.345,Normal,9,14
E00352,Z02-066,Z02,Central Chennai,2.0,0.221,Evacuation,9,50
E00353,Z01-084,Z01,North Chennai,10.9,1.137,Emergency,5,35
E00354,Z04-043,Z04,Velachery,2.8,0.309,Warning,2,23
E00355,Z05-030,Z05,South-West Chennai,18.5,2.035,Evacuation,11,36
E00356,Z01-085,Z01,North Chennai,8.9,0.789,Warning,16,31
E00357,Z01-081,Z01,North Chennai,14.8,2.108,Warning,2,24
E00358,Z04-041,Z04,Velachery,11.4,1.088,Normal,9,36
E00359,Z02-049,Z02,Central Chennai,2.1,0.24,Warning,5,27
E00360,Z05-059,Z05,South-West Chennai,3.7,0.353,Emergency,2,17
E00361,Z01-069,Z01,North Chennai,2.3,0.354,Evacuation,13,34
E00362,Z02-051,Z02,Central Chennai,2.9,0.397,Normal,2,23
E00363,Z02-045,Z02,Central Chennai,17.7,1.286,Evacuation,20,18
E00364,Z02-075,Z02,Central Chennai,15.0,1.929,Evacuation,4,49
E00365,Z03-081,Z03,Adyar,13.3,1.862,Normal,23,20
E00366,Z03-018,Z03,Adyar,2.1,0.338,Evacuation,12,39
E00367,Z04-012,Z04,Velachery,2.8,0.359,Emergency,5,19
E00368,Z04-027,Z04,Velachery,3.1,0.314,Normal,19,58
E00369,Z03-062,Z03,Adyar,2.5,0.338,Warning,9,7
E00370,Z05-042,Z05,South-West Chennai,2.8,0.271,Evacuation,19,55
E00371,Z04-099,Z04,Velachery,10.9,1.296,Evacuation,18,39
E00372,Z03-052,Z03,Adyar,12.3,1.375,Evacuation,3,56
E00373,Z02-030,Z02,Central Chennai,11.4,1.093,Evacuation,5,33
E00374,Z04-078,Z04,Velachery,11.0,1.058,Normal,1,9
