building_id,name,zone_id,latitude,longitude,capacity,building_type,availability,temporary_shelter_eligible
PUB-085,Public Building / School 085,Z05,13.018776,80.183521,1315,School,Available,Yes
PUB-086,Public Building / School 086,Z01,13.131877,80.275268,439,Community Hall,Partially Available,No
PUB-087,Public Building / School 087,Z02,13.05325,80.27354,1655,School,Available,No
PUB-088,Public Building / School 088,Z03,13.00276,80.255203,1596,School,Available,Yes
PUB-089,Public Building / School 089,Z04,12.991261,80.219187,1743,School,Available,Yes
PUB-090,Public Building / School 090,Z05,13.025257,80.163831,409,Corporation Building,Available,No
PUB-091,Public Building / School 091,Z01,13.101915,80.296432,1464,School,Available,Yes
PUB-092,Public Building / School 092,Z02,13.069255,80.2618,268,Community Hall,Available,Yes
PUB-093,Public Building / School 093,Z03,12.999605,80.256472,1007,School,Available,No
PUB-094,Public Building / School 094,Z04,12.984122,80.200523,1385,School,Available,Yes
PUB-095,Public Building / School 095,Z05,13.035913,80.174612,771,School,Occupied,No
PUB-096,Public Building / School 096,Z01,13.101276,80.282839,1533,Community Hall,Partially Available,Yes
PUB-097,Public Building / School 097,Z02,13.061707,80.272758,1004,School,Available,Yes
PUB-098,Public Building / School 098,Z03,13.000466,80.265566,504,School,Available,Yes
PUB-099,Public Building / School 099,Z04,12.972355,80.197585,1543,School,Available,Yes
PUB-100,Public Building / School 100,Z05,13.023964,80.194784,432,College,Partially Available,Yes
PUB-101,Public Building / School 101,Z01,13.114811,80.27619,590,Community Hall,Available,Yes
PUB-102,Public Building / School 102,Z02,13.084368,80.277093,1313,College,Partially Available,No
PUB-103,Public Building / School 103,Z03,12.990999,80.265841,1588,School,Available,Yes
PUB-104,Public Building / School 104,Z04,12.965387,80.221993,611,School,Available,Yes
PUB-105,Public Building / School 105,Z05,13.033375,80.175351,333,Community Hall,Available,Yes
PUB-106,Public Building / School 106,Z01,13.118619,80.300466,783,College,Available,Yes
PUB-107,Public Building / School 107,Z02,13.079632,80.259048,210,School,Occupied,Yes
PUB-108,Public Building / School 108,Z03,13.028389,80.250528,523,Corporation Building,Available,Yes
PUB-109,Public Building / School 109,Z04,12.978435,80.210374,645,School,Available,Yes
PUB-110,Public Building / School 110,Z05,13.027104,80.190357,460,College,Available,No
PUB-111,Public Building / School 111,Z01,13.125846,80.296436,998,Community Hall,Available,No
PUB-112,Public Building / School 112,Z02,13.069606,80.272301,595,Corporation Building,Available,Yes
PUB-113,Public Building / School 113,Z03,13.007603,80.282228,710,Community Hall,Available,Yes
PUB-114,Public Building / School 114,Z04,12.98069,80.216069,689,School,Partially Available,Yes
PUB-115,Public Building / School 115,Z05,13.028794,80.205928,456,College,Available,No
PUB-116,Public Building / School 116,Z01,13.110609,80.264527,724,Community Hall,Partially Available,Yes
PUB-117,Public Building / School 117,Z02,13.075178,80.278381,1767,School,Partially Available,No
PUB-118,Public Building / School 118,Z03,13.011725,80.25448,1347,College,Available,No
PUB-119,Public Building / School 119,Z04,12.973805,80.190634,911,Corporation Building,Available,Yes
PUB-120,Public Building / School 120,Z05,13.030954,80.193318,1299,School,Available,Yes
PUB-121,Public Building / School 121,Z01,13.137725,80.266176,914,Community Hall,Partially Available,No
PUB-122,Public Building / School 122,Z02,13.077155,80.287827,890,School,Available,Yes
PUB-123,Public Building / School 123,Z03,13.019331,80.257778,265,College,Partially Available,Yes
PUB-124,Public Building / School 124,Z04,12.979156,80.205315,522,School,Available,Yes
PUB-125,Public Building / School 125,Z05,13.027076,80.209054,796,School,Partially Available,Yes
PUB-126,Public Building / School 126,Z01,13.12478,80.270752,1794,Corporation Building,Occupied,No
PUB-127,Public Building / School 127,Z02,13.098253,80.261175,1180,School,Available,Yes
PUB-128,Public Building / School 128,Z03,12.999612,80.243631,912,School,Partially Available,Yes
PUB-129,Public Building / School 129,Z04,12.995314,80.228095,868,Corporation Building,Available,Yes
PUB-130,Public Building / School 130,Z05,13.003544,80.161248,1497,School,Available,Yes
PUB-131,Public Building / School 131,Z01,13.118079,80.309357,880,School,Available,No
PUB-132,Public Building / School 132,Z02,13.084674,80.268427,281,School,Available,Yes
PUB-133,Public Building / School 133,Z03,13.002725,80.267236,226,School,Available,No
PUB-134,Public Building / School 134,Z04,12.971322,80.208852,1320,Corporation Building,Occupied,No
PUB-135,Public Building / School 135,Z05,13.00359,80.18909,1022,School,Available,No
PUB-136,Public Building / School 136,Z01,13.1351,80.282506,879,School,Available,Yes
PUB-137,Public Building / School 137,Z02,13.0838,80.27115,1669,College,Partially Available,Yes
PUB-138,Public Building / School 138,Z03,13.005166,80.245426,1027,School,Occupied,Yes
PUB-139,Public Building / School 139,Z04,12.985866,80.19039,1105,School,Occupied,Yes
PUB-140,Public Building / School 140,Z05,13.024489,80.171271,1241,School,Available,Yes
PUB-141,Public Building / School 141,Z01,13.127604,80.296505,1716,Corporation Building,Available,Yes
PUB-142,Public Building / School 142,Z02,13.063047,80.260948,1628,Corporation Building,Available,No
PUB-143,Public Building / School 143,Z03,13.018082,80.249274,1300,School,Available,Yes
PUB-144,Public Building / School 144,Z04,12.987871,80.22914,768,School,Occupied,Yes
PUB-145,Public Building / School 145,Z05,13.001374,80.192119,1129,College,Available,Yes
PUB-146,Public Building / School 146,Z01,13.132944,80.26803,1005,Corporation Building,Available,Yes
PUB-147,Public Building / School 147,Z02,13.078531,80.285568,1045,School,Available,Yes
PUB-148,Public Building / School 148,Z03,12.999885,80.267893,603,Community Hall,Partially Available,Yes
PUB-149,Public Building / School 149,Z04,12.98789,80.192129,514,Community Hall,Available,No
PUB-150,Public Building / School 150,Z05,13.027203,80.172892,318,School,Occupied,Yes
PUB-151,Public Building / School 151,Z01,13.109142,80.276631,1290,Corporation Building,Available,Yes
PUB-152,Public Building / School 152,Z02,13.071062,80.281678,777,College,Available,Yes
PUB-153,Public Building / School 153,Z03,12.999886,80.270649,726,School,Available,No
PUB-154,Public Building / School 154,Z04,12.975149,80.221744,240,College,Partially Available,No
PUB-155,Public Building / School 155,Z05,13.017809,80.169128,1301,Community Hall,Available,Yes
PUB-156,Public Building / School 156,Z01,13.103626,80.272693,470,Corporation Building,Available,No
PUB-157,Public Building / School 157,Z02,13.059307,80.268651,1094,School,Occupied,Yes
PUB-158,Public Building / School 158,Z03,13.013328,80.254265,1248,School,Available,No
PUB-159,Public Building / School 159,Z04,12.968847,80.216428,1214,Community Hall,Occupied,Yes
PUB-160,Public Building / School 160,Z05,13.022981,80.187003,1468,Community Hall,Available,No
PUB-161,Public Building / School 161,Z01,13.126369,80.269048,1672,School,Occupied,Yes
PUB-162,Public Building / School 162,Z02,13.094595,80.281504,1708,Community Hall,Available,Yes
PUB-163,Public Building / School 163,Z03,13.026972,80.249972,677,School,Available,Yes
PUB-164,Public Building / School 164,Z04,12.985697,80.206902,311,Corporation Building,Occupied,No
PUB-165,Public Building / School 165,Z05,13.026238,80.178306,1275,School,Available,Yes
PUB-166,Public Building / School 166,Z01,13.11882,80.291512,206,School,Available,No
PUB-167,Public Building / School 167,Z02,13.059612,80.277709,1585,Community Hall,Occupied,Yes
PUB-168,Public Building / School 168,Z03,12.996828,80.251356,645,Corporation Building,Partially Available,Yes
PUB-169,Public Building / School 169,Z04,12.977936,80.221443,411,College,Available,No
PUB-170,Public Building / School 170,Z05,13.002088,80.188882,1196,School,Occupied,Yes
PUB-171,Public Building / School 171,Z01,13.129372,80.272492,418,Community Hall,Partially Available,Yes
PUB-172,Public Building / School 172,Z02,13.073108,80.270255,236,School,Available,Yes
PUB-173,Public Building / School 173,Z03,13.025308,80.27138,1654,School,Available,No
PUB-174,Public Building / School 174,Z04,12.969085,80.201283,1280,College,Available,Yes
PUB-175,Public Building / School 175,Z05,12.998829,80.175351,1436,School,Occupied,No
PUB-176,Public Building / School 176,Z01,13.141605,80.284856,536,Corporation Building,Available,Yes
PUB-177,Public Building / School 177,Z02,13.079241,80.270743,252,School,Available,No
PUB-178,Public Building / School 178,Z03,13.009488,80.238806,640,School,Available,Yes
PUB-179,Public Building / School 179,Z04,12.98577,80.234543,733,School,Available,Yes
PUB-180,Public Building / School 180,Z05,13.030253,80.164546,1079,School,Occupied,Yes
PUB-181,Public Building / School 181,Z01,13.108616,80.314522,1570,College,Available,Yes
PUB-182,Public Building / School 182,Z02,13.088551,80.257733,1607,Community Hall,Available,Yes
PUB-183,Public Building / School 183,Z03,13.008374,80.243306,969,College,Available,No
PUB-184,Public Building / School 184,Z04,12.956247,80.212456,1267,School,Occupied,Yes
PUB-185,Public Building / School 185,Z05,13.035271,80.169265,1630,School,Available,Yes
PUB-186,Public Building / School 186,Z01,13.108629,80.278872,572,College,Available,Yes
PUB-187,Public Building / School 187,Z02,13.080817,80.262219,1689,Corporation Building,Partially Available,Yes
PUB-188,Public Building / School 188,Z03,13.003459,80.252191,756,Community Hall,Available,No
PUB-189,Public Building / School 189,Z04,12.986196,80.223764,1717,School,Partially Available,Yes
PUB-190,Public Building / School 190,Z05,13.010803,80.159737,1110,College,Occupied,Yes
PUB-191,Public Building / School 191,Z01,13.133979,80.291601,1024,College,Occupied,Yes
PUB-192,Public Building / School 192,Z02,13.081283,80.274931,1399,School,Available,Yes
PUB-193,Public Building / School 193,Z03,13.016974,80.248425,205,College,Partially Available,Yes
PUB-194,Public Building / School 194,Z04,12.97777,80.199867,1238,School,Partially Available,Yes
PUB-195,Public Building / School 195,Z05,13.029693,80.170596,1665,School,Partially Available,No
PUB-196,Public Building / School 196,Z01,13.122161,80.284876,1797,Corporation Building,Available,Yes
PUB-197,Public Building / School 197,Z02,13.081559,80.281007,1359,School,Occupied,Yes
PUB-198,Public Building / School 198,Z03,13.023208,80.2639,880,School,Available,No
PUB-199,Public Building / School 199,Z04,12.99592,80.205422,1620,School,Partially Available,Yes
PUB-200,Public Building / School 200,Z05,13.006248,80.183323,449,School,Occupied,Yes
